,gene_short_name,V515-06187-A1,TNT-50,17-00111-2_S4_cufflinks,TNT-197,TNT-113,TNT-111,TNT-271,TNT-192,TNT-252,17-00113-4_S11_cufflinks,TNT-297
0,ABCA8,1.07397,6.27059,3.13612,3.13417,6.802,14.8562,19.3019,119.155,8.54573,15.3024,17.0174
1,ADRA2A,0.196819,0.613286,1.38168,0.245942,1.08531,1.03917,0.10425,0.801336,0.303387,1.17333,0.223559
2,AKAP12,3.75243,15.7193,6.91818,8.95121,12.1145,15.7074,9.75869,35.9662,3.34193,3.48712,31.1722
3,ALDH3B2,34.613,19.4221,7.41563,1.98131,4.95691,575.453,0.0485039,68.1928,0.0,0.0,0.0910294
4,APOD,101.548,34.8661,53.9198,62.4847,207.709,10225.5,18.8019,11869.7,7.80339,364.672,190.081
5,ART3,19.2103,0.671865,0.0,4.63307,4.94533,0.175385,8.40444,0.0,0.337303,34.7165,22.3735
6,ASPN,31.1651,72.6274,172.134,53.4652,14.3444,130.499,13.9833,142.614,15.8789,24.2658,14.1299
7,AZGP1,64.9749,94.0011,35.5573,1.52872,17.8315,1218.82,22.8252,771.028,7.40158,1.9705,130.727
8,BLVRB,6.57613,4.233,5.90259,1.616,3.42228,7.4401,2.31812,5.36615,0.871201,1.36413,2.36929
9,C7,0.29143,5.63905,2.30553,0.729716,1.1787,2.59044,16.2719,4.10235,24.0301,1.0167,12.4278
10,CCL5,1.03708,2.46692,20.6348,19.9773,31.8243,1.97053,5.6622,18.4049,2.64418,18.6956,2.51066
11,CD36,36.5005,17.4704,34.8274,38.1309,31.2782,94.8575,17.8922,134.586,13.2741,17.7305,12.2558
12,CD52,5.15236,26.2153,43.6633,30.7753,157.061,24.4018,56.5306,123.244,437.321,10.3919,9.06244
13,CDC20,19.1111,6.63309,1.21622,16.499,50.0459,3.73782,15.4698,4.20426,7.2855,13.2209,42.1959
14,CHI3L1,52.4824,23.1543,13.5814,25.4191,12.6521,7.57694,2.46457,0.0,0.0682052,14.252,75.8848
15,COL2A1,124.822,0.7584,0.361854,0.0496131,0.0,0.0,2.82534,0.0,0.0,40.7805,8.03179
16,COL5A1,145.37,129.285,238.76,33.6054,13.4753,219.154,17.2159,49.6839,2.78046,68.1556,58.3068
