,gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,TNT-167,TNT-111,TNT-18,TNT-152,TNT-202,TNT-204,17-00163-6_S7Aligned_cufflinks,TNT-195,17-00123-8_S16Aligned_cufflinks
0,ABCA8,1.07397,55.5194,2.02615,14.8562,10.5629,28.3027,0.419579,22.5552,0.770148,30.7235,6.17733
1,ADRA2A,0.196819,4.31788,0.0,1.03917,0.337047,0.562541,0.104238,0.51488,0.0657186,0.22465,0.984298
2,AKAP12,3.75243,25.364,7.73556,15.7074,10.1055,19.0715,2.88543,5.24104,1.2357,21.7435,6.51828
3,ALDH3B2,34.613,14.4216,172.847,575.453,1.59088,134.872,9.39125,10.6186,2.97506,1.14113,8.4669
4,APOD,101.548,136.705,7071.89,10225.5,126.366,3238.15,11.7008,431.157,57.5143,604.388,38.787
5,ART3,19.2103,0.0,0.0,0.175385,3.08163,0.0,33.6664,0.0,80.791,9.55098,1.05535
6,ASPN,31.1651,44.1739,45.1213,130.499,127.877,89.7133,19.8095,25.8341,20.2771,55.6316,60.2143
7,AZGP1,64.9749,178.998,166.089,1218.82,0.397821,678.875,174.741,91.8052,59.9678,268.497,11.2503
8,BLVRB,6.57613,5.03918,25.1259,7.4401,0.272242,9.51428,0.838176,5.31772,8.24161,4.4294,2.48037
9,C7,0.29143,19.783,0.157557,2.59044,11.973,41.1971,0.491271,1.40697,1.01661,32.9843,11.3646
10,CCL5,1.03708,2.22877,1.86065,1.97053,84.2759,12.9609,2.81882,10.1049,0.0,35.4418,10.7819
11,CD36,36.5005,182.748,25.8007,94.8575,68.0838,35.2708,18.456,78.1711,19.9552,82.4024,14.5033
12,CD52,5.15236,0.0,26.8185,24.4018,238.279,82.2545,22.4442,132.064,4.53303,161.817,18.0695
13,CDC20,19.1111,0.0,4.66745,3.73782,11.1176,4.50527,43.366,2.72803,33.2568,6.47849,27.82
14,CHI3L1,52.4824,5.63374,1.77787,7.57694,18.0344,0.786117,23.2638,0.915721,183.889,23.4869,3.6709
15,COL2A1,124.822,0.0,1.94589,0.0,0.0,0.0,0.0214933,0.0145825,8.5081,2.00073,0.522
16,COL5A1,145.37,160.153,147.642,219.154,103.642,108.138,31.7171,23.136,40.8437,144.053,137.917
17,COL5A2,202.313,136.536,115.101,458.394,167.425,322.448,55.4751,44.7471,41.0361,131.694,174.571
18,CRAT,3.09639,20.777,22.9121,70.4712,4.53159,31.2169,0.301212,8.49002,9.7429,8.42276,4.87752
19,CROT,17.2031,4.49909,39.1676,61.6759,3.88368,26.5717,4.69295,12.996,5.1833,21.0095,18.6583
