,gene_short_name,V515-06187-A1,TNT-187,17-00140-2_S2_cufflinks,TNT-219,TNT-81,17-00112-1_S7_cufflinks,TNT-278,TNT-16,TNT-210,TNT-267,TNT-218
0,ABCA8,1.07397,12.5347,4.1809,11.2782,1.02282,0.0,6.09487,16.1221,9.09564,14.0161,0.231117
1,ADRA2A,0.196819,0.0689046,0.974128,0.249391,0.0734277,0.403755,0.0,1.7823,0.335962,0.0,1.20816
2,AKAP12,3.75243,10.9667,1.05279,10.7207,3.73951,1.65867,4.77909,14.6167,6.16654,34.7771,2.32421
3,ALDH3B2,34.613,7.42946,25.7805,6.22725,3.98663,5.14396,1.87834,303.041,8.86323,0.0,16.6609
4,APOD,101.548,32.7622,4.29317,53.501,14.2743,1.08372,86.3132,3948.76,9.57364,0.187089,3.9072
5,ART3,19.2103,3.3322,9.72088,1.06999,495.448,24.2354,0.0,0.0,1.00164,26.3716,42.4891
6,ASPN,31.1651,55.6868,10.1457,27.237,10.681,10.7154,11.8417,169.588,7.55605,36.7956,8.27807
7,AZGP1,64.9749,85.9447,60.7934,100.254,482.125,4.52898,134.856,362.406,22.0424,5.04708,17.1262
8,BLVRB,6.57613,2.38092,3.62414,4.64941,1.83979,5.08205,0.0,6.56034,2.09601,0.0,1.33646
9,C7,0.29143,4.16421,0.0,122.073,0.195679,0.246947,19.5287,16.1138,64.0085,0.880913,14.321
10,CCL5,1.03708,2.99886,0.0,18.7046,8.62397,5.41056,8.68593,2.45249,4.16558,31.6815,2.72617
11,CD36,36.5005,36.7609,44.8475,16.0908,13.4593,4.14895,36.6558,33.7502,32.1363,11.7456,5.77646
12,CD52,5.15236,9.19472,6.33001,123.578,16.5691,9.67866,147.046,9.98149,785.451,198.714,124.915
13,CDC20,19.1111,15.332,9.59021,3.64656,22.4607,28.2348,1.44794,4.69409,11.3893,4.05045,6.84373
14,CHI3L1,52.4824,9.608,31.4808,0.043036,147.222,38.8357,0.1863,2.78629,6.51311,0.374262,50.4066
15,COL2A1,124.822,0.771233,0.0222491,4.67146,0.299693,6.85636,0.0171505,0.0761304,0.364705,0.0,0.315638
16,COL5A1,145.37,147.105,87.0433,47.8762,24.3791,33.8627,27.0808,148.389,4.59031,17.0328,11.295
17,COL5A2,202.313,314.266,50.7685,49.8738,58.7019,43.6341,52.0394,246.925,6.9018,1.08796,6.21086
18,CRAT,3.09639,6.443,6.3588,3.71347,2.05338,6.98667,0.810681,23.7683,1.08367,5.19579,0.593193
19,CROT,17.2031,5.30959,18.901,18.417,4.48754,2.18058,24.512,70.0792,22.811,6.68751,12.5985
20,CXCL10,2.29941,79.7082,63.1842,25.0919,121.374,6.59414,105.664,2.78132,18.9374,14.0868,39.2311
21,CXCL11,0.642556,15.2041,18.5376,4.67742,8.79376,2.54401,8.25464,0.439709,5.38728,0.0,3.00026
22,CXCL13,0.0413495,8.6131,16.208,13.2194,9.30649,2.94027,50.2738,0.740487,174.019,39.7643,63.1377
23,CYP4F8,0.0480191,0.301548,0.467581,0.0,0.0,0.0,3.90855,1.66215,0.0,0.0418865,2.64287
24,DBI,412.371,147.524,52.3533,76.507,212.48,126.042,90.4076,229.267,66.3788,8.62491,52.9657
25,DEFB1,3.16262,0.744099,7.87098,0.0,0.684066,0.655946,0.0,7.23493,3.5428,0.341007,0.263783
26,DHCR24,38.1374,19.7136,18.332,68.512,34.6919,17.7634,7.5602,160.55,10.8391,0.146062,24.8616
27,DUSP5,2.66143,6.91371,7.34486,6.56814,2.93328,2.17358,1.86001,19.7283,3.76666,0.359641,2.54009
28,FABP7,2.25652,0.230612,5.74169,0.0,0.310352,1.26749,0.475457,4.11583,5.07499,8.49745,0.101355
29,FASN,124.609,41.1579,107.343,53.3196,33.2144,61.5871,1.5303,955.989,6.79925,3.40307,3.91481
30,FGFR4,2.32432,3.14713,0.622948,0.0,2.73629,0.935502,0.381338,13.4786,0.630999,1.03641,1.14783
31,FGL2,2.48121,4.42777,3.84026,6.80796,4.93832,3.14896,6.26563,3.33994,12.5431,8.86134,6.97558
32,FOXA1,1.38574,1.14651,0.725695,91.4593,0.618512,0.139388,70.669,106.896,0.49807,4.93459,0.0661844
33,FOXC1,9.10755,34.9737,17.2027,0.735023,40.557,90.645,0.656008,4.09098,17.6875,4.4918,33.0458
34,GABRP,8.66089,331.8,275.553,0.0,181.197,22.9519,17.6287,2.34216,194.545,3.02588,1786.59
35,GALNT7,12.4003,13.8611,14.8314,42.2046,41.0609,7.13278,177.51,103.531,34.6812,17.9817,15.9673
36,GBP1,41.394,517.396,94.1626,95.0405,169.347,60.3429,53.7536,76.4035,105.32,16.5986,121.512
37,GCHFR,0.422531,0.0,0.55353,0.0,0.216991,0.129631,0.0,1.26429,0.0,0.0,0.0
38,GPR87,0.951488,0.828652,4.25574,0.96726,0.404947,0.195888,0.0,0.616439,1.70914,0.0,1.34816
39,GZMB,1.4986,0.52895,5.9785,4.36542,8.98988,6.01382,8.82977,0.716539,17.1947,0.709413,6.5088
40,HGD,4.21735,5.11633,1.28299,5.92545,5.39687,5.72912,2.51632,71.809,1.94053,0.0,0.947161
