,gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,TNT-58,17-00121-8_S12_cufflinks,TNT-138,TNT-259,TNT-53,TNT-71,17-00174-6_S15Aligned_cufflinks,TNT-141,TNT-50
0,ABCA8,1.07397,7.99826,0.0,43.7288,12.6791,7.3788,12.7482,12.9025,1.75724,68.4435,6.27059
1,ADRA2A,0.196819,0.145057,0.0,1.48313,1.91297,0.0622414,0.0994593,0.126597,0.124234,1.30754,0.613286
2,AKAP12,3.75243,0.644769,6.38661,26.8543,7.20418,10.4078,2.72579,3.09258,3.42367,7.14621,15.7193
3,ALDH3B2,34.613,28.0666,3.93287,14.3473,12.4995,2.39888,0.586071,24.6302,14.6796,2.52334,19.4221
4,APOD,101.548,6.77016,100.746,574.763,27.4739,16.1725,108.636,769.014,20.8128,265.929,34.8661
5,ART3,19.2103,6.09762,0.0,0.115521,0.473306,2.83927,384.85,47.9684,9.87219,0.0,0.671865
6,ASPN,31.1651,3.64492,46.5225,30.3876,46.9364,59.7246,30.5316,21.4233,4.02062,101.719,72.6274
7,AZGP1,64.9749,56.5053,3.73036,177.346,30.0339,0.0,239.112,39.1429,130.353,113.574,94.0011
8,BLVRB,6.57613,1.03463,0.152304,5.30482,9.23049,1.77913,2.26478,2.8226,6.01812,1.96374,4.233
9,C7,0.29143,0.923272,0.0578067,23.1979,0.29318,1.07913,2.08852,0.806282,4.77522,3.17775,5.63905
10,CCL5,1.03708,0.26264,0.0831699,0.0,5.65268,24.4902,29.3619,7.98503,3.03196,13.5378,2.46692
11,CD36,36.5005,96.9286,8.52927,104.969,30.2316,36.2403,35.2486,18.241,93.6689,83.8034,17.4704
12,CD52,5.15236,0.315542,0.0,9.90376,35.721,178.9,13.2733,27.5781,12.6645,19.6056,26.2153
13,CDC20,19.1111,15.73,10.7521,0.207432,7.31879,10.0606,16.9774,7.51188,11.3567,0.0477458,6.63309
14,CHI3L1,52.4824,3.18682,0.872301,9.01373,4.73091,17.9288,47.8151,304.561,205.727,0.177651,23.1543
15,COL2A1,124.822,0.0598273,2.1362,1.51601,28.685,0.0,31.4125,0.165655,0.0402543,0.0,0.7584
16,COL5A1,145.37,12.4204,9.41421,34.9603,104.083,40.4405,57.393,30.2796,116.103,76.7943,129.285
17,COL5A2,202.313,14.4705,34.2399,40.3863,180.779,44.154,62.0196,70.6025,95.3652,68.5018,232.429
18,CRAT,3.09639,12.0212,0.44309,4.42961,21.3933,4.1209,4.58664,6.56194,5.54589,17.8855,9.18802
