,gene_short_name,V515-06187-A1,TNT-219,TNT-73,17-00112-1_S7_cufflinks,TNT-269,TNT-24,17-00269-8_S12Aligned_cufflinks,TNT-62,TNT-115,TNT-274,17-00141-7_S14Aligned_cufflinks
0,ABCA8,1.07397,11.2782,7.78546,0.0,9.26357,4.7176,10.5754,6.79048,1.17188,1.87787,10.5345
1,ADRA2A,0.196819,0.249391,0.224004,0.403755,0.0965076,0.167515,0.231559,0.338394,0.172526,0.0,1.99187
2,AKAP12,3.75243,10.7207,6.59172,1.65867,11.6325,3.76727,3.77041,11.6889,2.92812,2.28224,12.7907
3,ALDH3B2,34.613,6.22725,8.95057,5.14396,1.61673,0.891775,3.69538,0.220724,7.47531,4.41511,3.54849
4,APOD,101.548,53.501,2468.97,1.08372,17.7364,95.7435,55.1521,305.796,39.9082,1713.18,24.0673
5,ART3,19.2103,1.06999,37.2875,24.2354,33.2699,20.4122,42.777,30.5461,121.997,9.25212,0.899191
6,ASPN,31.1651,27.237,20.8746,10.7154,31.201,29.0862,28.712,53.1139,9.31432,14.8356,73.3324
7,AZGP1,64.9749,100.254,4.87138,4.52898,58.5012,54.919,109.388,169.289,239.319,9.61207,44.7696
8,BLVRB,6.57613,4.64941,0.227389,5.08205,0.896836,5.63407,3.27189,2.32839,3.141,0.0,3.11342
9,C7,0.29143,122.073,3.75633,0.246947,6.17838,3.52878,9.23125,0.517314,1.27179,0.905123,5.79552
10,CCL5,1.03708,18.7046,5.16692,5.41056,3.93235,34.721,16.1353,6.88384,11.9906,1.50133,2.20958
11,CD36,36.5005,16.0908,29.3908,4.14895,33.2638,13.4455,88.0077,14.0796,12.2627,6.41063,8.51482
12,CD52,5.15236,123.578,22.8146,9.67866,24.7288,55.9095,16.4224,22.6616,76.2585,13.366,3.28078
13,CDC20,19.1111,3.64656,6.30304,28.2348,10.3008,27.8803,24.4458,14.1862,14.9562,3.08772,3.57694
14,CHI3L1,52.4824,0.043036,17.4637,38.8357,22.9312,31.8305,49.4362,18.4108,32.3937,6.41977,49.6044
15,COL2A1,124.822,4.67146,0.257811,6.85636,3.86954,111.174,0.383356,68.7017,0.0,0.114744,6.22864
16,COL5A1,145.37,47.8762,28.7026,33.8627,91.8004,80.0339,46.8246,60.9466,23.0038,20.4873,179.457
17,COL5A2,202.313,49.8738,55.1583,43.6341,109.732,150.156,95.8911,69.9364,62.6035,25.2911,139.583
18,CRAT,3.09639,3.71347,7.99856,6.98667,4.34124,8.24192,5.72902,2.38769,2.79293,1.1721,13.306
19,CROT,17.2031,18.417,8.95417,2.18058,6.66257,3.43788,5.47545,6.43286,9.14946,2.95221,11.8014
20,CXCL10,2.29941,25.0919,79.1191,6.59414,41.6064,216.143,109.851,48.9493,324.884,325.168,1.77745
21,CXCL11,0.642556,4.67742,17.9889,2.54401,5.55652,61.4537,38.6206,6.47729,47.492,35.8203,0.511637
22,CXCL13,0.0413495,13.2194,25.8386,2.94027,13.0681,102.936,10.1775,19.8752,92.5893,3.7417,0.10165
23,CYP4F8,0.0480191,0.0,0.116758,0.0,0.585101,0.444958,0.0,0.467952,0.980398,0.285248,0.0
24,DBI,412.371,76.507,191.018,126.042,128.767,169.278,139.231,120.785,264.715,228.334,41.5496
25,DEFB1,3.16262,0.0,82.746,0.655946,1.89863,2.59478,1.12128,0.0,4.61075,0.0,0.928965
26,DHCR24,38.1374,68.512,24.2594,17.7634,26.682,37.4488,35.2547,18.6129,12.9893,13.0241,8.79103
27,DUSP5,2.66143,6.56814,2.62585,2.17358,9.34232,10.3833,2.6019,3.29349,5.81537,0.0136769,9.1031
28,FABP7,2.25652,0.0,0.245451,1.26749,1.82876,0.489068,711.522,49.2833,0.359381,0.847085,0.729541
29,FASN,124.609,53.3196,2.2914,61.5871,3.15494,41.3008,37.527,9.07795,5.79216,2.94285,110.826
30,FGFR4,2.32432,0.0,0.103253,0.935502,0.270629,2.47027,0.468103,1.12382,0.486908,1.53433,1.23672
31,FGL2,2.48121,6.80796,5.20114,3.14896,7.52936,8.67615,7.09258,6.69295,9.94236,3.15432,2.91686
32,FOXA1,1.38574,91.4593,0.840333,0.139388,1.54293,1.60243,5.58076,5.66134,1.13544,2.99895,22.9237
33,FOXC1,9.10755,0.735023,39.4518,90.645,19.7763,88.3583,15.7271,32.0002,14.4227,122.176,18.3546
34,GABRP,8.66089,0.0,788.549,22.9519,834.386,896.727,110.373,410.733,284.178,0.0,145.533
