,gene_short_name,V515-06187-A1,17-00118-2_S5Aligned_cufflinks,TNT-283,TNT-277,17-00166-3_S11Aligned_cufflinks,TNT-219,TNT-326,TNT-85,TNT-154,TNT-211,TNT-293
0,ABCA8,1.07397,24.4092,5.2258,126.537,0.8668450000000001,11.2782,0.03846,13.9148,0.0856442,61.2901,8.951360000000001
1,ADRA2A,0.196819,3.19406,0.0,0.268735,0.32516300000000004,0.24939099999999997,0.917432,0.126968,0.0192695,0.395498,0.0
2,AKAP12,3.7524300000000004,14.0568,3.43169,21.3352,3.7136400000000003,10.7207,7.45648,9.65515,2.75083,10.4024,2.2178400000000003
3,ALDH3B2,34.613,3.2972599999999996,2.4243200000000003,3.3049800000000005,3.38865,6.22725,4.993580000000001,3.0914200000000003,2.17118,1.13534,16.92
4,APOD,101.54799999999999,185.233,134.119,274.556,35.2126,53.501000000000005,12.6566,880.669,28.4883,44.836000000000006,9.12083
5,ART3,19.2103,0.0,1.3833,0.0,98.6914,1.06999,12.2091,23.9716,83.5134,8.18542,0.088062
6,ASPN,31.1651,16.7672,148.766,80.4627,41.3579,27.237,15.8107,34.7116,41.7317,6.6100699999999994,10.0876
7,AZGP1,64.9749,72.8132,6.21353,12.0988,376.11699999999996,100.25399999999999,30.6143,35.7304,496.663,115.596,42.7428
8,BLVRB,6.57613,1.8396400000000002,3.29221,0.734987,3.4410800000000004,4.64941,0.0,1.67536,4.764390000000001,2.0169,3.3330699999999998
9,C7,0.29143,24.8705,1.21194,322.762,0.843649,122.073,6.06215,2.5042,0.06028340000000001,68.3765,6.76911
10,CCL5,1.03708,3.56215,13.0437,13.4918,4.18384,18.7046,15.9662,8.38996,28.65,5.11297,3.0321700000000003
11,CD36,36.5005,119.60700000000001,37.5269,51.4948,4.51973,16.0908,9.50935,17.1364,27.1698,9.93661,929.357
12,CD52,5.15236,2.24641,9.26877,437.41,5.31024,123.57799999999999,164.90900000000002,20.4057,2.16431,147.344,12.8056
13,CDC20,19.1111,0.0,9.884360000000001,0.0293837,11.8555,3.64656,6.93203,9.41933,5.5199300000000004,1.34979,9.34047
