,gene_short_name,V515-06187-A1,TNT-182,TNT-245,TNT-45,17-00132-8_S16Aligned_cufflinks,TNT-76,TNT-211,TNT-30,TNT-186,17-00174-6_S15Aligned_cufflinks,TNT-281
0,ABCA8,1.07397,5.73898,8.9799,69.6238,19.4248,1.71208,61.2901,3.51604,7.37154,1.75724,39.0365
1,ADRA2A,0.196819,0.0891861,0.139203,0.0861151,3.61611,0.216004,0.395498,0.202828,0.864678,0.124234,0.0
2,AKAP12,3.75243,13.2235,5.12106,3.04989,5.52166,4.07696,10.4024,9.44357,15.2398,3.42367,10.6971
3,ALDH3B2,34.613,0.223333,4.80485,0.95725,6.77506,1.20211,1.13534,10.5998,4.60629,14.6796,4.00447
4,APOD,101.548,108.309,6.02412,41.6221,40.374,226.991,44.836,78.6344,97.3845,20.8128,0.109307
5,ART3,19.2103,39.255,5.12479,13.519,0.0,61.9652,8.18542,2.3747,63.2559,9.87219,34.497
6,ASPN,31.1651,102.374,12.6273,28.9929,33.8587,61.5295,6.61007,73.809,390.19,4.02062,7.35584
7,AZGP1,64.9749,87.2981,0.815736,34.8083,12.8789,279.97,115.596,43.5564,1.162,130.353,48.4283
8,BLVRB,6.57613,1.31899,2.28742,0.760424,10.2189,2.58846,2.0169,4.9334,0.0,6.01812,0.0
9,C7,0.29143,4.2449,11.4507,0.936934,12.4255,0.703238,68.3765,0.511494,9.53212,4.77522,18.9547
10,CCL5,1.03708,9.13623,4.07395,1.6864,0.0,10.1325,5.11297,4.70011,13.7499,3.03196,6.88903
11,CD36,36.5005,31.6866,9.4337,35.4874,32.1853,9.87183,9.93661,15.5684,39.8265,93.6689,17.1781
12,CD52,5.15236,63.4951,207.293,10.8174,20.3585,16.4339,147.344,11.0281,29.1361,12.6645,13.2159
13,CDC20,19.1111,8.12888,4.63374,8.45575,0.805591,20.9927,1.34979,5.88238,11.82,11.3567,44.7677
14,CHI3L1,52.4824,54.8576,1.14299,22.6098,4.97049,11.3194,1.69353,52.7601,4.82633,205.727,10.2393
15,COL2A1,124.822,7.76564,0.0,42.1761,0.0,8.18038,0.726554,0.0929615,8.11158,0.0402543,6.14411
16,COL5A1,145.37,91.7031,19.2176,30.6618,187.404,128.055,11.6013,179.379,194.264,116.103,57.647
17,COL5A2,202.313,167.344,12.1055,58.7905,187.753,199.463,8.71812,246.265,232.826,95.3652,29.8201
18,CRAT,3.09639,4.19317,6.39344,1.07721,27.5127,7.59948,2.71205,4.45403,4.23051,5.54589,0.0595784
19,CROT,17.2031,4.71211,14.0462,5.64661,9.84456,11.5114,55.7176,9.49973,17.5123,18.127,6.07646
20,CXCL10,2.29941,167.102,69.0365,43.0563,5.40403,59.3069,26.1821,24.6676,6.97502,3.53341,63.3418
21,CXCL11,0.642556,20.1739,12.5715,13.4844,0.0,14.2748,0.0,2.20598,4.2247,0.954956,0.856393
22,CXCL13,0.0413495,8.86429,43.5915,1.80252,3.34468,23.8366,8.82121,7.55091,2.33203,1.16539,61.5422
23,CYP4F8,0.0480191,0.0,10.0754,0.113976,16.5797,0.0,0.0,0.0,0.358575,1.4973,1.11157
24,DBI,412.371,255.496,37.6406,61.8241,22.3556,80.9435,90.8411,185.61,100.988,69.2038,104.124
25,DEFB1,3.16262,0.832102,10.5864,0.17211,0.0,0.967678,0.0,3.46823,0.0,7.12312,0.755909
26,DHCR24,38.1374,57.4009,29.3965,6.56267,1.5266,38.0718,0.456036,21.093,3.76716,82.1604,11.9895
27,DUSP5,2.66143,8.58565,5.52204,2.98412,8.86489,3.34565,2.08853,5.77455,1.65471,2.09469,1.57865
28,FABP7,2.25652,0.320356,0.0,19.2089,0.569974,0.09458,0.0475985,4.77493,6.08378,0.0,59.3406
29,FASN,124.609,2.86796,1.73233,7.90951,129.708,28.3466,7.09244,33.5896,21.0554,92.0659,21.6485
30,FGFR4,2.32432,0.0,0.0,0.676813,0.0,3.80263,0.0,2.3529,0.564881,0.56631,10.5211
31,FGL2,2.48121,9.52411,11.3854,2.29528,3.52666,6.17449,29.2128,3.95632,3.35606,2.71377,6.78257
32,FOXA1,1.38574,8.27237,18.2225,4.18446,6.5881,3.33958,0.0259267,0.279061,0.0,3.41172,1.55029
33,FOXC1,9.10755,15.3841,10.5082,82.3449,4.69982,12.8646,42.6333,28.9814,30.2613,29.4622,8.70012
34,GABRP,8.66089,1005.45,591.755,429.953,12.2303,1458.83,174.106,193.312,336.445,1.23011,175.713
35,GALNT7,12.4003,12.5692,38.4835,34.2443,14.666,15.4459,26.8887,6.88271,17.261,11.8491,8.25552
36,GBP1,41.394,698.158,138.955,124.809,191.461,210.724,61.8333,178.531,31.443,135.247,535.638
37,GCHFR,0.422531,0.0,0.0,0.342741,0.0,0.0,0.0,0.153757,0.0,1.3619,0.0
38,GPR87,0.951488,0.516754,2.33446,3.55765,0.0,2.75671,0.0,0.514935,0.0,4.33496,0.519255
39,GZMB,1.4986,14.4144,8.37932,3.96746,8.95933,6.6532,2.34563,1.30313,1.24923,1.89397,6.77791
40,HGD,4.21735,1.69461,0.0,0.926136,2.49273,0.21181,0.0,0.539208,0.0,9.09241,8.12714
41,HTRA1,91.2943,102.285,10.2875,23.6414,105.08,69.2555,5.43417,72.8846,107.346,38.6136,9.95982
42,IDO1,0.291424,10.5988,54.219,4.55117,5.1959,18.8168,38.5196,6.29501,4.64251,21.1778,24.7108
43,IGFBP4,13.3498,0.994875,0.650443,0.610431,34.9053,3.32934,0.972145,6.21226,11.6178,18.0548,0.510661
44,IGHM,55.219,156.569,253.913,60.1804,0.0,245.813,64.7857,25.1123,35.694,13.6533,213.67
45,IGJ,20.0186,296.668,224.598,113.147,113.281,103.539,182.497,71.54,13.7983,20.4514,378.825
46,IGKC,182.346,2932.66,2347.46,5655.79,8891.08,3662.27,664.077,887.219,604.516,533.576,2270.71
47,IL23A,0.0490073,0.0,1.12968,0.226546,0.0,0.232573,0.0,0.0,0.0,0.294789,0.147824
48,IL33,0.883329,4.03582,7.17298,0.455691,17.0119,0.642472,3.07225,0.679134,9.13099,2.28455,1.07443
49,INPP4B,37.1722,10.1651,50.3025,10.6943,26.0415,26.9969,29.2064,14.2863,38.1567,19.0709,3.00811
50,ITM2A,5.13433,35.8787,16.9192,7.11034,31.5453,7.44424,33.4304,3.2629,20.667,5.51003,68.0098
51,JAM2,11.2143,6.3976,7.40358,6.61829,10.9357,5.43176,16.7301,6.0877,9.36512,5.43396,5.9953
52,KCNK5,7.32046,1.76055,0.478414,2.44618,0.14339,1.52393,1.87083,3.35824,4.71198,3.38603,1.91526
53,KIAA1324,6.46799,25.3218,11.1041,47.721,4.05597,0.643353,25.574,9.0147,23.6354,7.09193,4.29164
54,KMO,1.44589,1.57964,14.3286,5.06744,3.94718,4.02581,0.175948,1.48064,0.0,1.93187,24.4904
55,KRT14,118.371,192.158,3.29522,3.86085,20.9046,96.6137,49.2563,129.012,115.407,708.661,276.062
56,KRT16,91.0343,91.2358,72.4084,16.9141,4.42811,90.576,2.0638,121.75,80.1762,2146.49,349.521
57,KRT17,105.347,365.74,50.6806,73.8602,40.8994,166.12,11.2516,731.945,252.606,1735.05,219.024
58,KRT6A,54.2242,53.3406,501.908,8.03037,130.384,134.951,5.8905,165.653,11.3892,3704.04,622.647
59,KRT6B,86.6584,46.4606,57.1734,63.3655,27.5115,530.787,0.268239,213.366,14.0925,1377.33,180.32
60,KYNU,14.7879,12.2051,51.3641,11.9074,10.0373,9.09878,0.293491,5.51139,1.89882,23.7252,2.55798
61,LBP,0.573258,12.4536,3.30363,0.496781,0.0,0.510202,0.0236002,0.599718,0.0,17.4641,0.296391
62,LHFP,2.0952,1.32484,0.786022,0.711071,5.48734,1.54434,0.437994,2.68666,0.928019,1.14329,0.0228533
63,MFAP4,1.60954,2.04239,3.01022,1.58376,19.1872,2.12753,2.02946,2.07128,8.51124,0.591203,0.112547
64,MIA,21.0747,6.42661,2.50099,18.2909,0.0,6.86349,10.3593,31.8349,6.00948,4.79669,10.8148
65,MID1,36.2366,24.2511,53.1071,26.6167,9.59732,43.0015,1.72139,18.5919,13.0862,30.2772,14.8445
66,MYBL1,4.60362,19.1182,24.6381,2.2844,1.53662,16.8039,8.68051,11.4295,15.4172,7.91887,4.13731
67,NEK2,17.1321,12.3498,10.7359,13.142,0.682503,29.3384,0.0248886,14.0968,18.2987,6.29062,30.6035
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0,0.0227539,0.0,0.0,0.0
69,OGN,1.27872,8.4231,23.8909,6.62343,7.98102,11.7997,27.8165,5.48295,23.8106,0.432418,36.5507
70,PI3,0.0,5.8118,9.06803,39.2395,0.0,74.0994,0.372091,0.479464,0.0,224.86,15.133
71,PLEKHB1,14.583,0.536067,0.1661,2.29668,0.0,3.5639,0.0457857,3.95367,0.984544,0.316141,0.380533
72,PMAIP1,1.62393,0.497764,1.51889,1.80954,0.0,0.979012,0.0,0.607298,0.0,4.27063,10.6012
73,PSMB9,0.0,10.517,13.948,12.4823,0.0,14.6465,11.3307,14.799,3.80924,0.0,40.9199
74,PTGDS,1.49063,1.53705,5.40318,0.506409,18.3436,1.42082,13.5679,0.476359,2.08391,11.0692,1.77386
75,RARRES3,10.7933,40.3436,20.4484,19.0444,14.6898,13.0092,15.4604,12.062,26.9351,17.8571,40.4701
76,RTP4,0.772275,1.94452,2.42213,3.73465,1.0854,1.6689,0.0,2.34622,3.53268,1.87541,4.15161
77,S100A1,196.638,7.35982,0.429034,3.91214,0.0,2.02478,18.989,64.0962,10.2827,33.4893,0.109232
78,S100A7,6.57916,4.83983,10.0773,5.92037,8.46634,1.74903,19.6219,2.47008,0.0,854.889,58.7633
79,S100A8,3.49996,3.06508,23.884,35.7846,2.52279,8.5793,1.99659,1.96562,0.598796,589.559,14.3193
80,SCRG1,23.222,2.32754,3.6547,2.241,0.0,0.15075,6.41476,10.3783,2.6831,0.046442,0.372302
81,SEMA3C,89.189,33.6478,53.3267,66.4924,23.1293,31.7132,3.79178,72.1543,34.5495,30.0744,32.1716
82,SERHL2,5.02658,2.16735,6.5431,1.33335,10.0127,2.36334,0.0659862,2.18186,0.0,16.4697,0.112596
83,SFRP1,35.3095,9.46982,0.0,21.9643,0.651243,10.8045,13.1442,17.7648,22.216,6.85617,4.82991
84,SIDT1,0.909009,1.16947,15.6307,3.27007,8.83893,2.9025,21.0913,1.85744,4.63482,1.85686,5.19909
85,SOX10,3.84721,1.41359,0.0,1.79304,0.189706,4.68407,0.52432,4.68053,1.85598,0.0243124,0.0
86,SPDEF,0.141878,0.0,0.0,0.332551,0.0,0.0,0.613094,0.263268,1.47995,0.604543,0.0
87,SPRR1B,0.0944781,0.0,0.0,0.0,7.15657,0.0,0.0,0.494599,0.0,267.837,0.0904638
88,SPTLC2,28.7351,74.3666,36.6645,47.2347,23.3392,40.9352,17.2824,40.6402,30.6768,60.9163,43.3611
89,SRPX,12.4869,5.44512,0.502636,3.68179,11.9724,8.16291,13.1963,7.81561,11.4884,13.6723,0.0
90,TCF7L1,11.751,17.4982,4.09108,8.33778,7.31608,26.0239,8.44293,23.802,17.1422,3.74559,4.37187
91,TFAP2B,1.18026,0.296831,0.586359,0.199188,0.0,0.0480311,21.8357,0.241457,0.129733,11.5213,0.00802045
92,THBS4,8.67223,34.1712,1.95089,2.1029,9.82158,26.1723,61.5473,7.56554,28.225,2.54931,2.93782
93,TNFAIP8,5.97248,28.5502,68.8324,27.8568,25.2074,13.5345,56.6026,14.5838,3.41552,14.5558,22.9848
94,TNFSF10,24.8142,18.4707,44.0606,22.0889,8.99834,11.8922,42.6141,14.1526,29.4987,48.0731,43.6615
95,TRIM68,7.67148,1.91287,1.58243,1.82696,1.59547,1.46487,1.46171,3.72164,8.30637,7.05044,13.5519
96,TSC22D3,7.24202,7.29858,13.0707,5.14667,18.3978,27.685,4.71404,12.506,1.6837,19.1824,6.87321
97,UBD,0.0,124.224,35.3229,35.8375,13.8943,15.4731,6.29265,2.27631,3.08227,0.0,137.485
98,UGT2B28,0.0,0.0342243,0.617993,0.236981,0.0,0.0,0.0,0.21224,0.0,0.0391407,5.3234
99,XBP1,26.3139,78.4326,112.543,94.0816,45.1453,64.7398,36.583,33.6367,24.5811,57.3706,35.2366
100,ZCCHC24,0.75321,0.863832,0.0,0.53233,3.27612,1.41876,0.546381,0.876461,0.581619,0.433047,0.0
