,gene_short_name,V515-06187-A1,17-00271-8_S16Aligned_cufflinks,TNT-281,TNT-158,17-00174-6_S15Aligned_cufflinks,TNT-187,17-00104-2_S7Aligned_cufflinks,17-00149-2_S3_cufflinks,17-00123-8_S16Aligned_cufflinks,TNT-16,17-00269-8_S12Aligned_cufflinks
0,ABCA8,1.07397,43.1719,39.0365,8.55308,1.75724,12.5347,7.99826,32.3573,6.17733,16.1221,10.5754
1,ADRA2A,0.196819,3.57135,0.0,0.0,0.124234,0.0689046,0.145057,1.055,0.984298,1.7823,0.231559
2,AKAP12,3.75243,19.8129,10.6971,1.99925,3.42367,10.9667,0.644769,14.0612,6.51828,14.6167,3.77041
3,ALDH3B2,34.613,111.376,4.00447,0.0,14.6796,7.42946,28.0666,3.87839,8.4669,303.041,3.69538
4,APOD,101.548,1551.18,0.109307,46.1631,20.8128,32.7622,6.77016,446.564,38.787,3948.76,55.1521
5,ART3,19.2103,1.09477,34.497,7.39338,9.87219,3.3322,6.09762,12.8534,1.05535,0.0,42.777
6,ASPN,31.1651,74.2365,7.35584,132.456,4.02062,55.6868,3.64492,14.5927,60.2143,169.588,28.712
7,AZGP1,64.9749,545.611,48.4283,26.0583,130.353,85.9447,56.5053,40.5716,11.2503,362.406,109.388
8,BLVRB,6.57613,20.7679,0.0,8.05673,6.01812,2.38092,1.03463,9.78599,2.48037,6.56034,3.27189
9,C7,0.29143,53.4988,18.9547,5.04266,4.77522,4.16421,0.923272,91.1891,11.3646,16.1138,9.23125
10,CCL5,1.03708,8.84458,6.88903,14.6772,3.03196,2.99886,0.26264,37.03,10.7819,2.45249,16.1353
11,CD36,36.5005,333.499,17.1781,24.866,93.6689,36.7609,96.9286,166.339,14.5033,33.7502,88.0077
12,CD52,5.15236,25.8897,13.2159,56.19,12.6645,9.19472,0.315542,25.8994,18.0695,9.98149,16.4224
13,CDC20,19.1111,2.31267,44.7677,21.2697,11.3567,15.332,15.73,5.02223,27.82,4.69409,24.4458
14,CHI3L1,52.4824,15.912,10.2393,37.3911,205.727,9.608,3.18682,18.9358,3.6709,2.78629,49.4362
15,COL2A1,124.822,2.00287,6.14411,69.285,0.0402543,0.771233,0.0598273,0.127527,0.522,0.0761304,0.383356
16,COL5A1,145.37,124.007,57.647,62.7231,116.103,147.105,12.4204,27.3903,137.917,148.389,46.8246
17,COL5A2,202.313,327.722,29.8201,103.473,95.3652,314.266,14.4705,92.603,174.571,246.925,95.8911
18,CRAT,3.09639,17.4382,0.0595784,2.67745,5.54589,6.443,12.0212,24.4152,4.87752,23.7683,5.72902
19,CROT,17.2031,30.4582,6.07646,8.12291,18.127,5.30959,20.2671,2.63143,18.6583,70.0792,5.47545
20,CXCL10,2.29941,25.2463,63.3418,63.0364,3.53341,79.7082,0.414279,49.8271,30.3093,2.78132,109.851
21,CXCL11,0.642556,9.27016,0.856393,9.6686,0.954956,15.2041,0.0733103,13.9609,15.3951,0.439709,38.6206
22,CXCL13,0.0413495,14.9373,61.5422,7.40388,1.16539,8.6131,0.20138,13.0693,14.291,0.740487,10.1775
23,CYP4F8,0.0480191,1.0552,1.11157,0.190086,1.4973,0.301548,0.0,0.0,0.0991234,1.66215,0.0
24,DBI,412.371,474.352,104.124,694.721,69.2038,147.524,51.5305,98.0767,64.7748,229.267,139.231
25,DEFB1,3.16262,3.06845,0.755909,0.0,7.12312,0.744099,6.74654,1.72424,0.544689,7.23493,1.12128
26,DHCR24,38.1374,118.108,11.9895,17.0556,82.1604,19.7136,67.6527,13.2626,53.6317,160.55,35.2547
27,DUSP5,2.66143,8.58584,1.57865,3.37139,2.09469,6.91371,2.25617,5.49924,8.27994,19.7283,2.6019
28,FABP7,2.25652,220.93,59.3406,0.591094,0.0,0.230612,16.3438,1.94644,0.668057,4.11583,711.522
29,FASN,124.609,620.299,21.6485,15.7474,92.0659,41.1579,49.9543,63.1845,147.439,955.989,37.527
30,FGFR4,2.32432,0.310467,10.5211,0.248822,0.56631,3.14713,0.516594,0.991191,7.51737,13.4786,0.468103
31,FGL2,2.48121,17.2755,6.78257,3.65538,2.71377,4.42777,0.393938,22.3538,8.57437,3.33994,7.09258
32,FOXA1,1.38574,86.8978,1.55029,0.319701,3.41172,1.14651,7.66108,8.11944,4.29772,106.896,5.58076
33,FOXC1,9.10755,7.0417,8.70012,24.0372,29.4622,34.9737,21.056,8.85273,131.829,4.09098,15.7271
34,GABRP,8.66089,19.9296,175.713,174.048,1.23011,331.8,26.6801,9.4546,277.334,2.34216,110.373
