,gene_short_name,V515-06187-A1,TNT-166,17-00270-5_S14Aligned_cufflinks,TNT-98,TNT-194,TNT-328,TNT-195,TNT-220,17-00141-7_S14Aligned_cufflinks,TNT-289,TNT-57
0,ABCA8,1.07397,8.04194,2.10963,46.1161,13.5865,9.23817,30.7235,29.3376,10.5345,7.5326,6.46901
1,ADRA2A,0.196819,0.172444,0.785147,0.44963,0.308895,0.0,0.22465,1.45258,1.99187,0.0190859,0.408656
2,AKAP12,3.75243,11.4176,3.93642,5.98117,10.3491,9.39584,21.7435,15.2167,12.7907,16.4518,6.26016
3,ALDH3B2,34.613,11.936,173.954,8.66927,2.39483,14.562,1.14113,0.906112,3.54849,0.340181,0.100817
4,APOD,101.548,59.2515,1702.36,165.228,20.1919,32.4682,604.388,121.15,24.0673,86.5343,51.8919
5,ART3,19.2103,20.1966,0.0,0.235613,91.6903,13.5651,9.55098,53.4512,0.899191,11.7816,29.1496
6,ASPN,31.1651,58.4273,97.1702,28.8722,138.753,15.9623,55.6316,24.9223,73.3324,99.797,78.5235
7,AZGP1,64.9749,279.162,433.668,5.12935,56.8318,39.4368,268.497,129.656,44.7696,22.8969,118.518
8,BLVRB,6.57613,3.27208,17.5144,6.78249,2.52836,1.26662,4.4294,1.24432,3.11342,1.22331,4.33147
9,C7,0.29143,1.81001,0.913499,25.5063,2.26536,0.0,32.9843,368.54,5.79552,2.7102,2.87842
10,CCL5,1.03708,2.824,0.0,25.8249,4.14474,1.60917,35.4418,16.9124,2.20958,1.12449,3.70974
11,CD36,36.5005,87.4212,5.78937,44.3127,52.8562,18.5983,82.4024,25.9295,8.51482,18.9896,21.4543
12,CD52,5.15236,16.3847,25.8947,94.6313,30.274,0.0,161.817,233.482,3.28078,1.74964,16.7951
13,CDC20,19.1111,15.1124,2.98538,1.15338,12.6889,10.2348,6.47849,0.0,3.57694,40.1167,26.4927
14,CHI3L1,52.4824,33.8687,16.8958,4.21273,14.9525,30.5357,23.4869,3.21441,49.6044,14.14,15.99
15,COL2A1,124.822,26.8688,0.0,0.0772557,11.6999,147.203,2.00073,0.333077,6.22864,47.6574,0.548056
16,COL5A1,145.37,226.456,159.398,42.4369,142.663,38.532,144.053,10.2585,179.457,387.034,87.4963
17,COL5A2,202.313,340.562,332.476,46.0351,192.696,25.6229,131.694,17.6737,139.583,272.664,121.088
18,CRAT,3.09639,7.41778,35.1876,25.9658,6.37593,3.56428,8.42276,4.51501,13.306,4.72182,8.62563
19,CROT,17.2031,5.9184,61.1756,8.24655,6.02665,8.11488,21.0095,16.9421,11.8014,11.3478,4.78488
20,CXCL10,2.29941,11.8491,47.1377,197.953,67.1186,8.52238,96.1112,18.2258,1.77745,5.73014,4.72286
21,CXCL11,0.642556,4.78148,17.4057,53.6756,6.41966,0.0,15.4312,1.35964,0.511637,0.569746,0.976804
22,CXCL13,0.0413495,2.45979,13.6215,12.9855,13.1159,0.0,37.6107,26.0305,0.10165,1.20819,2.67622
23,CYP4F8,0.0480191,0.0,2.87166,21.6456,0.602536,0.0,0.439154,0.0,0.0,0.773279,0.859841
24,DBI,412.371,270.719,458.192,74.6477,534.099,61.6366,141.929,205.258,41.5496,82.4001,123.693
25,DEFB1,3.16262,0.57757,2.34702,24.0657,0.0,3.21684,2.00535,0.0,0.928965,1.06093,0.239474
26,DHCR24,38.1374,90.6298,130.198,50.351,14.7549,9.57038,15.8205,0.44259,8.79103,17.0317,26.688
27,DUSP5,2.66143,7.79961,3.94306,4.34839,4.69127,3.33009,4.06994,4.8123,9.1031,3.52254,2.64648
28,FABP7,2.25652,4.6843,202.65,0.713272,15.2167,7.26256,3.66641,2.41871,0.729541,13.5345,33.7576
