,gene_short_name,V515-06187-A1,17-00156-7_S13Aligned_cufflinks,TNT-252,17-00125-8_S13Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,TNT-277,17-00113-4_S11_cufflinks,17-00119-5_S5_cufflinks,17-00103-7_S3Aligned_cufflinks,TNT-304,TNT-289
0,ABCA8,1.07397,0.0,8.54573,55.5194,13.7512,126.537,15.3024,4.38939,17.5334,3.65161,7.5326
1,ADRA2A,0.196819,0.0,0.303387,4.31788,0.841984,0.268735,1.17333,1.83867,1.10499,0.0,0.0190859
2,AKAP12,3.75243,1.81444,3.34193,25.364,12.1297,21.3352,3.48712,12.7491,7.26494,1.82451,16.4518
3,ALDH3B2,34.613,0.0,0.0,14.4216,1.86877,3.30498,0.0,2.70957,4.13598,1.69334,0.340181
4,APOD,101.548,147.881,7.80339,136.705,91.0254,274.556,364.672,24.8244,23.9471,171.879,86.5343
5,ART3,19.2103,0.0,0.337303,0.0,8.68211,0.0,34.7165,0.22605,8.81953,181.128,11.7816
6,ASPN,31.1651,0.943362,15.8789,44.1739,364.705,80.4627,24.2658,12.4372,75.8475,54.125,99.797
7,AZGP1,64.9749,99.7284,7.40158,178.998,14.9506,12.0988,1.9705,8.47719,2.74417,300.948,22.8969
8,BLVRB,6.57613,0.0,0.871201,5.03918,9.71763,0.734987,1.36413,2.12154,4.59856,4.18302,1.22331
9,C7,0.29143,0.0,24.0301,19.783,13.6514,322.762,1.0167,415.24,3.04093,1.88416,2.7102
10,CCL5,1.03708,0.0,2.64418,2.22877,12.2628,13.4918,18.6956,0.0,0.0,9.38296,1.12449
11,CD36,36.5005,0.0,13.2741,182.748,257.01,51.4948,17.7305,39.1275,25.8122,40.2595,18.9896
12,CD52,5.15236,0.0,437.321,0.0,72.2506,437.41,10.3919,114.693,22.1463,85.9483,1.74964
13,CDC20,19.1111,0.0,7.2855,0.0,5.4295,0.0293837,13.2209,2.32812,10.9556,16.8101,40.1167
14,CHI3L1,52.4824,0.0,0.0682052,5.63374,65.1865,0.246048,14.252,1.54651,49.4244,5.51471,14.14
15,COL2A1,124.822,19.4398,0.0,0.0,0.0569473,0.0,40.7805,0.0473942,0.114516,219.151,47.6574
16,COL5A1,145.37,17.3758,2.78046,160.153,210.984,39.8868,68.1556,23.2912,134.716,19.8955,387.034
17,COL5A2,202.313,4.19188,6.94899,136.536,460.013,67.0038,101.402,27.0054,139.918,47.714,272.664
18,CRAT,3.09639,0.0,0.663326,20.777,5.89197,1.53874,2.69333,3.23364,7.02926,1.28039,4.72182
