,gene_short_name,V515-06187-A1,TNT-139,TNT-50,TNT-83,TNT-218,17-00127-8_S3Aligned_cufflinks,TNT-76,TNT-58,TNT-269,17-00110-9_S15Aligned_cufflinks,TNT-214
0,ABCA8,1.07397,4.2190199999999995,6.27059,5.2367099999999995,0.23111700000000002,5.2732,1.7120799999999998,0.0,9.26357,0.943892,6.30619
1,ADRA2A,0.196819,0.358636,0.613286,0.048419699999999996,1.2081600000000001,0.0,0.216004,0.0,0.0965076,0.184313,0.5343899999999999
2,AKAP12,3.7524300000000004,4.57451,15.7193,10.1537,2.32421,1.2662,4.07696,6.38661,11.6325,0.618114,6.27307
3,ALDH3B2,34.613,4.68061,19.4221,11.9552,16.6609,3.25937,1.20211,3.93287,1.61673,21.1902,5.43093
4,APOD,101.54799999999999,1392.61,34.8661,45.576,3.9072,81.4037,226.99099999999999,100.74600000000001,17.7364,0.8471620000000001,78.8272
5,ART3,19.2103,83.5008,0.6718649999999999,1.52685,42.4891,34.0727,61.9652,0.0,33.2699,1.7045400000000002,92.4518
6,ASPN,31.1651,37.7036,72.6274,19.273,8.27807,0.0,61.5295,46.5225,31.201,8.79653,5.46924
7,AZGP1,64.9749,111.613,94.0011,89.7751,17.1262,195.738,279.97,3.7303599999999997,58.5012,71.6802,603.7869999999999
8,BLVRB,6.57613,1.9139400000000002,4.2330000000000005,6.63001,1.33646,0.0,2.58846,0.152304,0.8968360000000001,3.21779,2.09444
9,C7,0.29143,5.49728,5.63905,1.0988,14.321,0.0,0.703238,0.0578067,6.178380000000001,0.145938,19.8767
10,CCL5,1.03708,4.08448,2.46692,8.35195,2.72617,0.0,10.1325,0.08316989999999999,3.93235,0.0,9.4678
11,CD36,36.5005,19.0127,17.4704,764.051,5.77646,0.0,9.871830000000001,8.52927,33.2638,4.6544,20.8269
12,CD52,5.15236,12.3884,26.2153,28.8448,124.915,0.0,16.4339,0.0,24.7288,4.91219,80.1085
13,CDC20,19.1111,39.6781,6.633089999999999,6.66027,6.84373,19.4809,20.9927,10.7521,10.3008,36.4559,33.0613
14,CHI3L1,52.4824,11.9292,23.1543,3.39355,50.4066,3.8606199999999995,11.3194,0.872301,22.9312,0.8237700000000001,1.5293
15,COL2A1,124.822,14.4149,0.7584,0.13314700000000002,0.31563800000000003,9.34079,8.18038,2.1362,3.86954,20.099,0.0
16,COL5A1,145.37,75.3596,129.285,51.9884,11.295,74.985,128.055,9.41421,91.8004,58.6796,23.8546
17,COL5A2,202.313,97.3976,232.429,109.75200000000001,6.21086,26.139,199.463,34.2399,109.73200000000001,36.052,19.3943
18,CRAT,3.09639,2.73225,9.18802,9.24005,0.5931930000000001,0.737631,7.599480000000001,0.44309,4.34124,7.7762199999999995,0.567394
19,CROT,17.2031,11.9831,5.88813,16.4538,12.5985,21.1361,11.5114,13.287,6.66257,4.61565,12.2198
20,CXCL10,2.29941,66.1195,15.6837,54.7547,39.2311,14.1618,59.3069,0.0,41.6064,4.36531,45.9677
21,CXCL11,0.642556,28.2921,1.4391100000000001,29.7078,3.00026,0.0,14.2748,0.0,5.55652,0.758763,17.160999999999998
22,CXCL13,0.0413495,4.47169,5.55664,20.3493,63.1377,0.0,23.8366,0.583879,13.0681,0.6656380000000001,24.9894
23,CYP4F8,0.048019099999999995,0.0,0.31056500000000004,9.35929,2.6428700000000003,0.0,0.0,0.0,0.585101,0.0,0.0
24,DBI,412.371,272.91700000000003,139.829,121.336,52.9657,94.0731,80.9435,221.39700000000002,128.767,126.947,624.36
25,DEFB1,3.16262,0.762547,10.9841,0.0,0.263783,0.0,0.967678,0.0,1.8986299999999998,0.0,0.0
26,DHCR24,38.1374,18.4995,61.7799,75.9645,24.8616,9.27006,38.0718,8.594660000000001,26.682,56.8192,7.07305
27,DUSP5,2.6614299999999997,7.58368,4.47715,14.2512,2.54009,2.0363,3.34565,0.667679,9.342319999999999,1.6976,0.619154
28,FABP7,2.25652,4.85553,0.0,0.405342,0.101355,4.2431,0.09458,5.85369,1.82876,0.0770102,2.13492
29,FASN,124.609,26.8524,57.4616,155.987,3.9148099999999997,36.2518,28.3466,12.6822,3.1549400000000003,174.738,1.35786
30,FGFR4,2.32432,0.487249,1.32382,16.3501,1.14783,0.755862,3.80263,2.1019400000000004,0.270629,3.48613,0.29037199999999996
