,gene_short_name,V515-06187-A1,17-00166-3_S11Aligned_cufflinks,TNT-322,TNT-20,17-00165-0_S10Aligned_cufflinks,TNT-318,17-00105-7_S10_cufflinks,TNT-293,17-00159-1_S1Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,TNT-157
0,ABCA8,1.07397,0.866845,2.96949,5.37171,16.9844,1.60268,15.2433,8.95136,1.78272,0.969992,16.5316
1,ADRA2A,0.196819,0.325163,0.471202,0.689524,0.861454,0.37137,1.61281,0.0,0.424612,0.117883,0.0535747
2,AKAP12,3.75243,3.71364,10.0738,7.36849,6.21113,7.96738,20.4997,2.21784,1.92959,3.1793,5.01157
3,ALDH3B2,34.613,3.38865,2.39686,119.299,1.16447,1.01293,2.31326,16.92,6.39422,9.692,44.3463
4,APOD,101.548,35.2126,43.1584,62.0416,126.973,29.2845,82.3389,9.12083,18.7033,100.422,388.876
5,ART3,19.2103,98.6914,30.7849,3.30585,44.8952,123.448,0.372426,0.088062,4.70398,2.1157,11.9946
6,ASPN,31.1651,41.3579,71.8074,256.864,13.6802,98.3062,41.4929,10.0876,19.8562,23.3006,10.4886
7,AZGP1,64.9749,376.117,78.8806,356.516,200.774,1.34766,5.05436,42.7428,48.381,21.4744,13.2232
8,BLVRB,6.57613,3.44108,1.60934,3.05144,4.50545,2.31512,2.24939,3.33307,2.25105,1.61289,1.7414
9,C7,0.29143,0.843649,6.31146,3.58075,14.7516,0.160282,18.676,6.76911,1.47221,0.0133464,12.9084
10,CCL5,1.03708,4.18384,1.69886,2.0571,12.1232,17.1213,5.25453,3.03217,6.76955,1.71611,14.6772
11,CD36,36.5005,4.51973,28.7743,45.423,83.1513,44.9068,26.3072,929.357,5.67052,9.85445,33.1401
12,CD52,5.15236,5.31024,13.838,11.4556,40.0504,94.2685,2.14786,12.8056,14.8266,2.09752,93.599
13,CDC20,19.1111,11.8555,6.0292,6.79373,9.73773,13.9145,2.38084,9.34047,11.108,18.1155,21.6145
14,CHI3L1,52.4824,6.08895,35.8325,7.92085,37.6528,68.8217,4.30004,7.55722,50.8293,5.95113,42.6231
15,COL2A1,124.822,0.927259,53.7069,0.442754,1.37617,3.97345,0.613052,0.109884,0.0353123,1.56677,0.165699
16,COL5A1,145.37,124.721,112.952,220.455,43.5904,137.63,145.623,32.5814,52.709,99.6617,18.2057
17,COL5A2,202.313,174.918,161.199,493.817,65.8261,225.741,236.741,33.3523,119.371,144.19,26.7943
18,CRAT,3.09639,5.89456,4.34071,3.80492,5.4019,4.9586,10.8298,2.81116,18.9193,1.68144,1.38838
19,CROT,17.2031,7.40678,12.2274,42.461,8.93674,14.1979,13.6305,6.16501,9.75512,13.1921,8.91636
20,CXCL10,2.29941,28.1471,18.7623,7.82904,19.6909,130.123,3.53507,140.839,25.0864,3.2994,91.8598
21,CXCL11,0.642556,12.1489,4.62877,3.55107,7.80281,13.0947,1.68925,34.2832,19.2674,0.923691,8.91782
22,CXCL13,0.0413495,3.38269,3.45115,35.8027,17.615,28.7339,1.16042,11.5668,8.60834,0.491278,46.1831
23,CYP4F8,0.0480191,0.0,0.319508,14.2902,0.362664,0.0,0.0,73.739,0.0,0.0,0.0
24,DBI,412.371,46.0439,322.902,327.348,113.507,116.994,24.5286,89.8314,107.402,144.903,134.685
25,DEFB1,3.16262,0.498385,0.0,10.0555,0.496301,0.610028,0.0,1.13114,3.38358,7.16452,0.135413
26,DHCR24,38.1374,26.1331,13.3313,97.5112,28.1741,11.4754,10.2971,25.4588,27.97,68.2719,74.3837
27,DUSP5,2.66143,2.81645,3.62308,14.6225,3.21569,3.1831,7.98056,14.419,2.60064,1.50819,6.9571
28,FABP7,2.25652,0.403842,9.84249,1157.06,1.89392,0.788269,0.132922,0.0,3.41217,8.46856,0.0547732
29,FASN,124.609,45.6413,4.11901,21.9527,103.232,9.75475,33.3583,27.7993,88.7778,52.0136,41.2107
30,FGFR4,2.32432,1.89591,1.26775,0.456456,2.18025,0.0277075,6.27721,7.47289,0.476452,1.10201,4.54072
31,FGL2,2.48121,5.58276,4.80815,2.6246,11.3333,7.74637,1.65977,5.11273,6.80476,1.70668,10.3349
32,FOXA1,1.38574,3.05573,3.72445,30.6374,2.32873,0.753702,2.09953,141.468,1.33065,0.169467,1.01931
33,FOXC1,9.10755,70.048,53.1081,3.61987,49.3215,32.566,8.20116,1.44127,35.2897,116.096,28.4132
34,GABRP,8.66089,457.054,9.75716,1.24448,213.666,262.378,25.1786,0.892506,225.11,400.965,503.14
35,GALNT7,12.4003,38.6016,8.96135,64.223,30.3282,19.94,11.0325,27.0483,24.6473,22.6302,12.2184
36,GBP1,41.394,191.847,72.4958,59.1961,174.017,656.55,291.445,105.467,275.592,38.8152,527.597
37,GCHFR,0.422531,0.525515,0.0,0.276117,0.132039,0.2555,0.0,0.0,0.160495,0.259813,0.0
38,GPR87,0.951488,8.13279,0.811492,11.7334,0.0951555,0.376912,0.160558,0.345952,0.104302,0.842406,0.402631
39,GZMB,1.4986,0.877462,2.85827,0.237031,23.5314,8.29775,1.21038,1.97432,4.56122,2.00797,6.50588
40,HGD,4.21735,2.14065,0.723087,7.81192,1.43833,2.33301,10.301,9.78665,0.833944,0.573859,2.29015
41,HTRA1,91.2943,76.5058,89.2861,226.529,52.5467,120.001,146.353,17.1681,47.9099,101.754,21.359
