,gene_short_name,V515-06187-A1,TNT-1,17-00271-8_S16Aligned_cufflinks,TNT-132,TNT-30,17-00131-5_S8Aligned_cufflinks,TNT-296,17-00156-7_S13Aligned_cufflinks,TNT-26,TNT-225,17-00112-1_S7_cufflinks
0,ABCA8,1.07397,47.3435,43.1719,13.1009,3.51604,3.02603,12.0717,0.0,4.23117,19.7157,0.0
1,ADRA2A,0.196819,0.120636,3.57135,0.0,0.202828,0.425611,0.51861,0.0,0.999606,0.313514,0.403755
2,AKAP12,3.75243,4.00906,19.8129,10.4829,9.44357,0.384289,3.8555,1.81444,16.1452,11.701,1.65867
3,ALDH3B2,34.613,8.46557,111.376,14.3204,10.5998,15.5005,2.50943,0.0,2.66442,0.0,5.14396
4,APOD,101.548,6.4374,1551.18,905.295,78.6344,1.23954,16.3223,147.881,23.2556,86.1188,1.08372
5,ART3,19.2103,0.194101,1.09477,0.0,2.3747,0.635686,4.89082,0.0,11.4363,44.2138,24.2354
6,ASPN,31.1651,38.4711,74.2365,168.678,73.809,2.46604,13.9013,0.943362,99.8197,112.768,10.7154
7,AZGP1,64.9749,13.4994,545.611,66.7659,43.5564,5.05111,0.852334,99.7284,8.42855,68.2212,4.52898
8,BLVRB,6.57613,23.8841,20.7679,5.60583,4.9334,2.44601,0.378983,0.0,1.88214,0.938568,5.08205
9,C7,0.29143,0.277686,53.4988,39.2885,0.511494,0.593221,12.4669,0.0,1.55763,7.47819,0.246947
10,CCL5,1.03708,5.85725,8.84458,37.3394,4.70011,5.70474,2.0144,0.0,0.328596,2.44293,5.41056
11,CD36,36.5005,12.6625,333.499,220.64,15.5684,9.64332,18.1203,0.0,27.8522,47.8398,4.14895
12,CD52,5.15236,28.6878,25.8897,145.508,11.0281,3.68263,23.3851,0.0,2.72588,54.5642,9.67866
13,CDC20,19.1111,10.419,2.31267,1.11341,5.88238,8.15222,21.6756,0.0,14.2065,16.8549,28.2348
14,CHI3L1,52.4824,5.10433,15.912,0.735538,52.7601,168.771,10.3386,0.0,20.8098,13.4776,38.8357
15,COL2A1,124.822,0.0,2.00287,0.0,0.0929615,0.0350637,0.276578,19.4398,105.473,2.20486,6.85636
16,COL5A1,145.37,136.494,124.007,86.3879,179.379,11.9765,16.8683,17.3758,269.701,113.037,33.8627
17,COL5A2,202.313,181.264,327.722,115.257,246.265,14.2269,13.0316,4.19188,409.89,173.274,43.6341
18,CRAT,3.09639,8.60203,17.4382,49.512,4.45403,1.26799,1.49166,0.0,3.72703,1.33989,6.98667
19,CROT,17.2031,8.03371,30.4582,76.9528,9.49973,5.52752,21.9133,0.0,5.29179,8.52486,2.18058
20,CXCL10,2.29941,18.7691,25.2463,60.3684,24.6676,58.1687,12.8441,0.0,4.17567,8.15851,6.59414
21,CXCL11,0.642556,4.29667,9.27016,0.809112,2.20598,8.21909,2.58412,0.0,0.0,0.637592,2.54401
22,CXCL13,0.0413495,16.4184,14.9373,55.4755,7.55091,9.9852,12.7154,0.0,1.4694,6.32163,2.94027
23,CYP4F8,0.0480191,0.0,1.0552,6.69571,0.0,0.0,0.800571,0.0,0.0,0.169669,0.0
24,DBI,412.371,88.0907,474.352,281.14,185.61,19.1439,92.3906,289.493,99.8671,130.439,126.042
25,DEFB1,3.16262,0.0,3.06845,5.28935,3.46823,2.9607,0.186356,0.0,0.0,0.0909353,0.655946
26,DHCR24,38.1374,85.4416,118.108,36.6759,21.093,7.69733,7.1537,54.2997,15.2315,9.11603,17.7634
27,DUSP5,2.66143,4.9567,8.58584,10.068,5.77455,1.1767,7.56295,0.0,4.38127,4.35424,2.17358
28,FABP7,2.25652,0.0,220.93,0.260094,4.77493,0.609712,41.4076,0.0,1.10902,54.5626,1.26749
29,FASN,124.609,71.0935,620.299,209.081,33.5896,141.922,8.63939,38.7403,5.82045,1.28864,61.5871
30,FGFR4,2.32432,2.29939,0.310467,12.2067,2.3529,0.555021,0.749579,21.8094,0.560783,0.044059,0.935502
31,FGL2,2.48121,4.36658,17.2755,8.49231,3.95632,9.03785,3.56203,5.3298,1.51398,7.08488,3.14896
32,FOXA1,1.38574,61.0078,86.8978,88.9966,0.279061,0.399233,30.7378,0.0,0.363042,1.95141,0.139388
33,FOXC1,9.10755,0.485797,7.0417,2.14003,28.9814,71.1802,15.1327,41.8526,62.2426,23.0437,90.645
34,GABRP,8.66089,0.0561244,19.9296,21.6841,193.312,192.759,85.2671,467.371,138.871,369.529,22.9519
35,GALNT7,12.4003,42.6968,28.8384,29.4882,6.88271,13.0624,17.9387,0.0,19.6479,29.7218,7.13278
36,GBP1,41.394,324.355,153.619,119.359,178.531,226.399,50.2438,0.0,54.4518,106.125,60.3429
37,GCHFR,0.422531,0.707112,0.39272,0.271182,0.153757,0.589551,0.0,0.0,0.1355,0.166209,0.129631
38,GPR87,0.951488,7.8752,2.26563,7.79938,0.514935,1.20162,3.55664,0.0,0.826563,5.90917,0.195888
39,GZMB,1.4986,15.83,4.72534,31.8713,1.30313,5.46104,8.28493,0.0,0.119188,1.69408,6.01382
40,HGD,4.21735,15.9397,23.7782,10.573,0.539208,0.948775,6.16313,509.638,0.244245,3.43558,5.72912
41,HTRA1,91.2943,36.8865,221.531,81.7669,72.8846,5.30595,15.8886,22.5573,169.942,176.986,21.3345
42,IDO1,0.291424,6.85727,9.55688,25.0906,6.29501,17.0065,32.1341,81.5059,0.879626,3.65246,1.5041
43,IGFBP4,13.3498,16.5499,57.7482,7.65827,6.21226,2.89407,0.627519,0.0,1.37054,0.558173,6.50565
44,IGHM,55.219,62.2751,336.897,172.449,25.1123,145.031,34.2648,0.0,3.04095,6.72957,0.0
45,IGJ,20.0186,22.5761,446.489,370.1,71.54,34.6306,37.8897,45.924,21.932,36.8565,250.085
46,IGKC,182.346,396.902,2529.53,1759.1,887.219,2381.84,1035.63,5465.48,127.93,343.623,11629.5
47,IL23A,0.0490073,0.0712402,0.0,0.0,0.0,0.157318,4.28803,0.0,0.083901,0.0341362,0.0
48,IL33,0.883329,0.878771,7.25951,7.50391,0.679134,1.05634,1.301,0.0,1.17252,1.94563,0.0231033
49,INPP4B,37.1722,63.8126,30.2415,53.3265,14.2863,6.39065,4.70777,106.644,13.2894,14.5634,7.44908
50,ITM2A,5.13433,5.07621,67.9227,144.044,3.2629,12.5426,7.45732,0.0,6.31847,33.9687,5.68974
51,JAM2,11.2143,2.33896,20.8529,10.4549,6.0877,1.4881,5.70155,0.0,10.5988,14.1057,1.48826
52,KCNK5,7.32046,0.0888601,0.399446,0.0,3.35824,3.68354,0.295017,1.21499,8.64592,0.961422,5.90846
53,KIAA1324,6.46799,1.43479,28.2916,26.2765,9.0147,2.73313,6.12043,148.542,31.4718,2.77433,45.812
54,KMO,1.44589,0.897208,11.096,42.1064,1.48064,9.83803,10.6676,0.0,0.646642,7.30783,5.09386
55,KRT14,118.371,1.22776,111.476,18.8049,129.012,4.12401,0.113856,598.006,491.849,125.86,148.933
56,KRT16,91.0343,14.0226,6.56254,2.54488,121.75,0.898924,1.69401,806.332,147.095,16.3566,106.581
57,KRT17,105.347,25.952,169.488,15.6965,731.945,55.7211,0.0,533.669,165.311,84.9056,1.45916
58,KRT6A,54.2242,1012.79,26.0383,0.0533936,165.653,81.4641,23.9963,2951.55,1080.32,39.4656,2.22255
59,KRT6B,86.6584,30.132,11.7636,0.838378,213.366,22.3315,0.169457,870.998,476.639,137.366,6.2199
60,KYNU,14.7879,371.408,91.1552,145.011,5.51139,7.79387,9.53512,0.0,4.17852,19.8934,2.99107
61,LBP,0.573258,0.317489,30.34,5.49965,0.599718,23.1821,1.49229,0.0,0.125061,0.0337865,0.158261
62,LHFP,2.0952,0.81526,6.7217,3.70533,2.68666,0.825841,0.252562,0.0,3.19932,0.92133,1.05402
63,MFAP4,1.60954,0.564544,41.3266,19.215,2.07128,4.31629,0.49814,0.0,6.91442,2.71187,0.217392
64,MIA,21.0747,0.406346,0.9598,0.0,31.8349,1.95772,0.0,0.0,40.5309,3.69805,13.1502
65,MID1,36.2366,34.466,14.4386,22.0039,18.5919,43.2326,20.5392,0.0,18.2572,31.1013,33.329
66,MYBL1,4.60362,1.11174,1.77691,9.64146,11.4295,1.97273,10.5008,0.0,5.37248,11.1978,24.2743
67,NEK2,17.1321,8.00005,2.752,3.18495,14.0968,10.8881,35.7655,0.0,6.49804,16.6841,15.7279
68,NTN3,0.0235576,0.0,0.0437792,0.0,0.0227539,0.0259023,0.0,0.0,0.0,0.0,0.0624546
69,OGN,1.27872,3.94282,87.9032,80.9535,5.48295,0.273895,29.086,0.0,41.2163,18.6864,2.06137
70,PI3,0.0,1.17309,0.0,0.0,0.479464,18.6768,0.0,0.0,3.94404,0.351765,0.384616
71,PLEKHB1,14.583,1.82197,0.613339,0.0,3.95367,2.03643,2.82426,0.0,1.02927,0.585629,1.02114
72,PMAIP1,1.62393,1.54581,2.49894,0.0,0.607298,2.45003,1.76168,0.0,5.10806,4.02694,0.170902
73,PSMB9,0.0,51.6017,0.0,16.4014,14.799,0.0,26.9052,0.0,3.97282,6.16222,10.1796
74,PTGDS,1.49063,0.0,32.4277,6.72747,0.476359,0.348463,0.210943,48.2798,0.735852,1.73676,0.737796
75,RARRES3,10.7933,214.764,31.4226,37.6985,12.062,51.4591,7.02486,12.3192,3.30263,10.7116,12.5541
76,RTP4,0.772275,1.68055,0.11482,3.84331,2.34622,3.67307,3.45682,0.0,0.268113,1.93616,0.44722
77,S100A1,196.638,0.0,8.57125,0.0,64.0962,4.78204,0.0,17.41,4.30791,16.3815,188.155
78,S100A7,6.57916,1.695,116.993,37.4403,2.47008,1.1964,0.20705,0.0,4.43188,0.36267,0.0
79,S100A8,3.49996,6.86933,98.5857,74.959,1.96562,1.6705,6.76212,93.6986,4.205,1.96069,0.0
80,SCRG1,23.222,1.23273,0.162206,0.0,10.3783,0.0,2.43223,0.0,28.1591,19.2951,0.73371
81,SEMA3C,89.189,26.6623,68.2334,24.1565,72.1543,24.4515,4.72316,0.966204,41.0773,29.3055,11.1491
82,SERHL2,5.02658,0.603352,574.127,9.62371,2.18186,3.3933,0.739515,0.0,3.61966,1.07147,33.4034
83,SFRP1,35.3095,0.445617,4.81089,3.43042,17.7648,5.26698,11.6134,1.76527,4.2071,11.2392,20.9305
84,SIDT1,0.909009,14.2356,8.51488,21.0521,1.85744,6.67357,1.30631,0.0,1.23219,2.56792,2.31862
85,SOX10,3.84721,0.283338,0.709455,0.0750195,4.68053,0.0,0.0,6.01954,2.23205,1.36651,7.67526
86,SPDEF,0.141878,10.6382,3.82498,4.62556,0.263268,0.0544585,0.0,0.0,0.592224,0.0600407,3.70993
87,SPRR1B,0.0944781,5.85202,0.0,0.0,0.494599,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,32.4383,49.9711,15.6968,40.6402,20.6005,17.2495,0.0,38.188,50.3319,50.6829
89,SRPX,12.4869,3.72821,30.9274,7.88364,7.81561,0.210772,0.0834734,0.0,10.7936,5.677,3.01482
90,TCF7L1,11.751,2.02222,6.54781,2.52194,23.802,38.0919,11.2977,0.0,4.24741,4.43431,9.5899
91,TFAP2B,1.18026,0.0,8.73733,18.4351,0.241457,0.0,0.187122,0.0,0.561269,0.551706,0.508347
92,THBS4,8.67223,0.761345,11.9439,13.3943,7.56554,0.588586,7.62169,15.8989,10.4444,57.9839,1.58262
93,TNFAIP8,5.97248,12.598,10.2542,58.0308,14.5838,18.0039,15.7102,0.0,5.72812,17.7713,10.0954
94,TNFSF10,24.8142,34.7003,18.0931,32.1512,14.1526,282.779,38.096,173.023,11.9174,15.0652,4.87246
95,TRIM68,7.67148,6.65522,5.80638,2.88826,3.72164,5.80985,6.33707,0.0,2.65182,2.18322,0.323584
96,TSC22D3,7.24202,19.0169,125.664,25.4171,12.506,4.80127,7.56735,139.387,11.3808,21.8741,9.21764
97,UBD,0.0,28.7398,0.0,15.0962,2.27631,36.2625,189.131,0.0,1.8393,3.05274,0.0
98,UGT2B28,0.0,0.0,533.419,260.887,0.21224,0.103177,10.9314,0.0,0.0,1.0251,0.0
99,XBP1,26.3139,50.1395,71.8158,90.569,33.6367,41.0862,27.0571,106.709,30.2075,46.1754,135.78
100,ZCCHC24,0.75321,0.502634,2.3669,2.47759,0.876461,0.866055,0.0278627,0.0,1.37962,0.562095,0.520299
