,gene_short_name,V515-06187-A1,TNT-152,TNT-204,17-00163-6_S7Aligned_cufflinks,TNT-100,17-00101-5_S19Aligned_cufflinks,TNT-321,TNT-167,17-00131-5_S8Aligned_cufflinks,TNT-2,17-00156-7_S13Aligned_cufflinks
0,ABCA8,1.07397,28.3027,22.5552,0.770148,10.2128,0.969992,1.1144,2.02615,3.02603,11.3424,0.0
1,ADRA2A,0.196819,0.562541,0.51488,0.0657186,0.218344,0.117883,0.0,0.0,0.425611,0.725975,0.0
2,AKAP12,3.75243,19.0715,5.24104,1.2357,6.21779,3.1793,4.92338,7.73556,0.384289,4.33016,1.81444
3,ALDH3B2,34.613,134.872,10.6186,2.97506,3.95048,9.692,0.0,172.847,15.5005,59.8633,0.0
4,APOD,101.548,3238.15,431.157,57.5143,169.251,100.422,23.309,7071.89,1.23954,61.0149,147.881
5,ART3,19.2103,0.0,0.0,80.791,165.481,2.1157,13.6808,0.0,0.635686,1.16911,0.0
6,ASPN,31.1651,89.7133,25.8341,20.2771,26.1134,23.3006,16.2505,45.1213,2.46604,8.07027,0.943362
7,AZGP1,64.9749,678.875,91.8052,59.9678,6.8005,21.4744,0.95899,166.089,5.05111,166.081,99.7284
8,BLVRB,6.57613,9.51428,5.31772,8.24161,1.16798,1.61289,0.204078,25.1259,2.44601,3.12197,0.0
9,C7,0.29143,41.1971,1.40697,1.01661,3.11435,0.0133464,0.683814,0.157557,0.593221,2.34158,0.0
10,CCL5,1.03708,12.9609,10.1049,0.0,19.74,1.71611,11.291,1.86065,5.70474,69.8738,0.0
11,CD36,36.5005,35.2708,78.1711,19.9552,37.6889,9.85445,20.8781,25.8007,9.64332,39.5145,0.0
12,CD52,5.15236,82.2545,132.064,4.53303,134.336,2.09752,130.963,26.8185,3.68263,205.116,0.0
13,CDC20,19.1111,4.50527,2.72803,33.2568,8.90459,18.1155,21.4337,4.66745,8.15222,7.6301,0.0
14,CHI3L1,52.4824,0.786117,0.915721,183.889,24.0775,5.95113,1.82655,1.77787,168.771,84.8944,0.0
15,COL2A1,124.822,0.0,0.0145825,8.5081,0.112568,1.56677,0.701661,1.94589,0.0350637,0.062383,19.4398
16,COL5A1,145.37,108.138,23.136,40.8437,29.7421,99.6617,9.65089,147.642,11.9765,43.5105,17.3758
17,COL5A2,202.313,322.448,44.7471,41.0361,89.4079,144.19,16.1351,115.101,14.2269,58.4864,4.19188
18,CRAT,3.09639,31.2169,8.49002,9.7429,2.41362,1.68144,1.25434,22.9121,1.26799,3.44216,0.0
19,CROT,17.2031,26.5717,12.996,5.1833,6.30357,13.1921,5.05084,39.1676,5.52752,10.2353,0.0
20,CXCL10,2.29941,11.4495,65.778,24.1237,240.759,3.2994,166.337,8.31703,58.1687,100.163,0.0
21,CXCL11,0.642556,0.0,12.7703,1.88411,44.6731,0.923691,8.00378,0.0,8.21909,8.15934,0.0
22,CXCL13,0.0413495,15.7339,12.2053,1.72447,63.115,0.491278,31.7095,1116.82,9.9852,48.4832,0.0
23,CYP4F8,0.0480191,15.6348,0.254896,0.0,0.0,0.0,0.459008,12.9503,0.0,0.73018,0.0
24,DBI,412.371,565.778,305.276,307.908,96.7272,144.903,37.7055,722.901,19.1439,140.363,289.493
25,DEFB1,3.16262,0.0,2.15744,0.14658,3.17559,7.16452,0.0,0.0,2.9607,21.423,0.0
26,DHCR24,38.1374,94.5633,9.13265,62.1057,11.8349,68.2719,2.13481,193.393,7.69733,56.9426,54.2997
27,DUSP5,2.66143,2.44871,3.80245,0.552712,5.35534,1.50819,0.626178,5.81495,1.1767,13.1152,0.0
28,FABP7,2.25652,235.759,0.529954,5.85038,0.585031,8.46856,0.594718,4.80272,0.609712,0.0,0.0
29,FASN,124.609,218.648,27.5321,95.661,11.798,52.0136,2.64205,2436.27,141.922,30.5933,38.7403
30,FGFR4,2.32432,15.2911,7.75526,4.11049,0.757059,1.10201,1.14407,10.5636,0.555021,7.58388,21.8094
31,FGL2,2.48121,11.0158,7.28456,1.78384,11.0687,1.70668,7.86768,3.72151,9.03785,13.7442,5.3298
32,FOXA1,1.38574,26.0362,121.108,0.108081,1.26925,0.169467,1.41443,343.304,0.399233,55.8235,0.0
33,FOXC1,9.10755,0.79214,5.18437,78.4953,41.8014,116.096,1.81013,0.867287,71.1802,2.45497,41.8526
34,GABRP,8.66089,18.8446,11.243,542.833,358.421,400.965,36.8389,0.0719074,192.759,0.944281,467.371
35,GALNT7,12.4003,26.0401,31.3368,33.3183,29.8137,22.6302,20.0622,21.0465,13.0624,57.6309,0.0
36,GBP1,41.394,80.4756,194.603,46.4511,388.829,38.8152,96.45,54.6539,226.399,297.692,0.0
37,GCHFR,0.422531,1.02698,0.235974,0.465567,0.313997,0.259813,0.0,0.0,0.589551,0.886545,0.0
38,GPR87,0.951488,0.0,5.54019,0.133773,1.30861,0.842406,0.0,0.0,1.20162,0.0,0.0
39,GZMB,1.4986,0.0,5.68281,1.03451,8.78789,2.00797,1.34449,0.0,5.46104,29.9223,0.0
40,HGD,4.21735,92.871,7.77397,24.1865,0.638701,0.573859,0.0,59.5357,0.948775,6.07336,509.638
41,HTRA1,91.2943,142.922,28.7803,14.6065,46.1997,101.754,8.17597,34.9726,5.30595,34.4731,22.5573
42,IDO1,0.291424,0.843558,29.6198,1.14673,26.7969,1.78266,10.8723,4.55458,17.0065,30.9316,81.5059
43,IGFBP4,13.3498,7.36641,1.63285,4.64398,1.63244,10.0909,0.201905,7.20852,2.89407,3.42292,0.0
44,IGHM,55.219,329.702,241.665,18.7739,2633.01,0.0,12.2838,10.0345,145.031,1396.31,0.0
45,IGJ,20.0186,568.173,968.825,13.3345,1101.02,23.2122,73.5181,113.28,34.6306,761.952,45.924
46,IGKC,182.346,12039.2,3663.16,961.871,13908.6,420.755,261.971,481.564,2381.84,30004.8,5465.48
47,IL23A,0.0490073,0.0,0.0,0.0545834,0.111458,0.0,0.0,0.0,0.157318,1.4892,0.0
48,IL33,0.883329,9.99245,2.37094,0.150471,4.16297,0.0,0.654726,0.0,1.05634,1.94905,0.0
49,INPP4B,37.1722,40.6346,15.7299,6.14113,16.4583,3.88367,6.40754,46.8411,6.39065,40.8309,106.644
50,ITM2A,5.13433,61.5291,35.1851,2.36489,43.1574,0.930089,8.80774,25.8363,12.5426,68.16,0.0
51,JAM2,11.2143,14.2398,6.60453,1.97447,8.00646,5.13911,21.0118,1.4835,1.4881,7.89353,0.0
52,KCNK5,7.32046,0.0,0.248838,3.80893,0.647269,1.67155,0.207024,0.153623,3.68354,0.187149,1.21499
53,KIAA1324,6.46799,70.4997,35.5909,29.0089,22.5117,13.6502,3.41216,10.2064,2.73313,55.1968,148.542
54,KMO,1.44589,34.7041,17.6331,3.89631,4.03722,3.17228,5.43145,14.1394,9.83803,15.1833,0.0
55,KRT14,118.371,9.55122,4.93714,12.3077,17.7406,1682.5,0.558435,0.150555,4.12401,0.0,598.006
56,KRT16,91.0343,8.6163,0.516638,331.452,26.5273,944.346,0.667732,0.526784,0.898924,0.579715,806.332
57,KRT17,105.347,8.75166,5.96539,128.648,32.7619,1387.34,0.230032,7.34839,55.7211,21.4388,533.669
58,KRT6A,54.2242,20.8353,0.693673,7.01012,46.8005,2603.4,0.310825,41.3597,81.4641,5.09093,2951.55
59,KRT6B,86.6584,2.54416,2.06779,36.4685,77.5874,326.775,0.199049,0.0895952,22.3315,0.332824,870.998
60,KYNU,14.7879,107.061,36.3404,17.2676,8.12335,45.4193,4.23887,68.2565,7.79387,20.1823,0.0
61,LBP,0.573258,44.4286,9.97681,0.215567,0.0556399,1.76553,0.292255,9.54014,23.1821,0.37057,0.0
62,LHFP,2.0952,10.9071,0.393498,0.448266,1.13224,0.613725,0.108138,2.91939,0.825841,1.1423,0.0
63,MFAP4,1.60954,15.2427,1.26006,0.849838,4.33022,0.874124,0.0,0.285096,4.31629,4.55944,0.0
64,MIA,21.0747,0.0,0.902935,47.2477,1.96644,4.06612,2.7576,0.0,1.95772,0.450223,0.0
65,MID1,36.2366,19.3272,7.77771,28.5098,10.3217,21.615,7.13102,0.998935,43.2326,14.941,0.0
66,MYBL1,4.60362,2.0165,5.3623,82.4844,28.7094,13.8818,16.0403,18.9003,1.97273,4.27869,0.0
67,NEK2,17.1321,2.07293,3.68013,32.5305,17.3282,19.2704,22.3191,34.502,10.8881,7.57769,0.0
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0595422,0.0576667,0.0,0.0259023,0.0,0.0
69,OGN,1.27872,23.045,18.2162,1.08168,16.1288,15.2553,21.7832,10.6749,0.273895,6.09545,0.0
70,PI3,0.0,0.0,0.0,4.07075,4.06093,46.1418,1.18232,0.0,18.6768,0.0,0.0
71,PLEKHB1,14.583,0.0,0.0,2.10874,0.902408,0.0651375,0.24112,2.0671,2.03643,1.03345,0.0
72,PMAIP1,1.62393,0.0,5.34089,1.47062,2.55461,10.0438,5.21404,0.0,2.45003,0.335407,0.0
73,PSMB9,0.0,13.2313,13.0232,7.11358,17.9413,0.0,10.169,4.53273,0.0,30.6622,0.0
74,PTGDS,1.49063,4.11461,5.47321,1.03946,2.27118,1.18425,0.17016,0.0,0.348463,33.7755,48.2798
75,RARRES3,10.7933,83.1112,41.4027,2.74916,34.1245,2.42794,9.3398,13.385,51.4591,58.6398,12.3192
76,RTP4,0.772275,0.0,2.81104,2.11816,4.43146,0.174918,0.975912,0.0,3.67307,2.85869,0.0
77,S100A1,196.638,0.0,0.0,210.674,17.2424,20.9965,0.0,10.9158,4.78204,0.0,17.41
78,S100A7,6.57916,6.79278,3.49901,4.38432,90.8251,271.001,0.0,0.0,1.1964,0.0,0.0
79,S100A8,3.49996,29.2772,8.7204,24.6743,24.8285,100.677,0.865534,40.9234,1.6705,8.04674,93.6986
80,SCRG1,23.222,6.28695,0.700362,55.2941,0.134701,0.0193065,2.90619,0.0,0.0,1.34104,0.0
81,SEMA3C,89.189,68.4341,55.0883,13.6893,25.4714,73.134,5.44746,29.3804,24.4515,20.5534,0.966204
82,SERHL2,5.02658,270.479,56.482,2.30145,1.91457,2.86803,0.718039,475.086,3.3933,0.260188,0.0
83,SFRP1,35.3095,8.47137,1.93916,1.57306,18.3509,1.14134,11.2555,4.29796,5.26698,0.346055,1.76527
84,SIDT1,0.909009,30.1822,17.7867,0.513963,6.62159,0.697295,2.17142,43.6153,6.67357,29.3222,0.0
85,SOX10,3.84721,0.0,0.0,0.0,1.58692,0.0,1.45691,2.04258,0.0,0.0,6.01954
86,SPDEF,0.141878,4.88874,5.67909,0.223563,0.404139,0.0,0.0,18.284,0.0544585,4.22867,0.0
87,SPRR1B,0.0944781,0.0,1.11173,0.308586,0.0,3.26633,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,82.232,38.3141,32.8332,47.0239,40.5093,12.506,100.115,20.6005,51.4217,0.0
89,SRPX,12.4869,7.04573,1.88131,1.92123,3.69887,3.51572,1.2381,3.04974,0.210772,2.93003,0.0
90,TCF7L1,11.751,3.51488,2.498,26.805,12.9741,13.5439,15.7481,7.44906,38.0919,2.31134,0.0
91,TFAP2B,1.18026,41.8386,27.5623,0.956076,0.287497,0.625831,0.0,88.6032,0.0,1.66301,0.0
92,THBS4,8.67223,80.985,52.0386,1.21156,8.39324,7.68199,20.2648,13.5348,0.588586,9.77135,15.8989
93,TNFAIP8,5.97248,33.7402,55.4688,8.02079,48.5812,6.64522,25.2009,26.9164,18.0039,42.9762,0.0
94,TNFSF10,24.8142,54.9682,27.04,3.33955,108.079,31.6048,16.3129,7.97765,282.779,17.5029,173.023
95,TRIM68,7.67148,10.6999,2.84899,0.83077,0.272175,2.50059,0.240721,3.56293,5.80985,5.19011,0.0
96,TSC22D3,7.24202,85.877,16.318,18.3645,10.1657,4.73979,0.752439,81.2312,4.80127,39.5943,139.387
97,UBD,0.0,4.33349,35.4542,0.0,41.9058,0.0,41.4485,1.58e-09,36.2625,68.3213,0.0
98,UGT2B28,0.0,60.8148,0.492406,0.0,0.0,0.0,0.262825,364.95,0.103177,1.13481,0.0
99,XBP1,26.3139,158.579,341.116,39.7686,163.35,16.4091,23.6254,79.6914,41.0862,142.807,106.709
100,ZCCHC24,0.75321,4.15671,1.14291,0.257006,0.65349,0.896906,0.411487,0.764751,0.866055,1.45581,0.0
