,gene_short_name,V515-06187-A1,17-00123-8_S16Aligned_cufflinks,TNT-281,TNT-152,TNT-14,TNT-122,17-00152-9_S4Aligned_cufflinks,TNT-158,17-00119-5_S5_cufflinks,TNT-139,17-00174-6_S15Aligned_cufflinks
0,ABCA8,1.07397,6.17733,39.0365,28.3027,1.68679,88.0911,0.0,8.55308,4.38939,4.21902,1.75724
1,ADRA2A,0.196819,0.984298,0.0,0.562541,0.104517,0.408986,0.0,0.0,1.83867,0.358636,0.124234
2,AKAP12,3.75243,6.51828,10.6971,19.0715,2.16044,15.4194,0.0,1.99925,12.7491,4.57451,3.42367
3,ALDH3B2,34.613,8.4669,4.00447,134.872,5.56607,23.2977,159.809,0.0,2.70957,4.68061,14.6796
4,APOD,101.548,38.787,0.109307,3238.15,10.9277,1264.04,103.494,46.1631,24.8244,1392.61,20.8128
5,ART3,19.2103,1.05535,34.497,0.0,31.6725,0.293089,69.9625,7.39338,0.22605,83.5008,9.87219
6,ASPN,31.1651,60.2143,7.35584,89.7133,9.50099,81.4283,0.0,132.456,12.4372,37.7036,4.02062
7,AZGP1,64.9749,11.2503,48.4283,678.875,31.8473,235.846,8.79505,26.0583,8.47719,111.613,130.353
8,BLVRB,6.57613,2.48037,0.0,9.51428,7.24225,2.13867,3.61882,8.05673,2.12154,1.91394,6.01812
9,C7,0.29143,11.3646,18.9547,41.1971,0.419171,112.076,15.638,5.04266,415.24,5.49728,4.77522
10,CCL5,1.03708,10.7819,6.88903,12.9609,6.55539,4.87955,0.0,14.6772,0.0,4.08448,3.03196
11,CD36,36.5005,14.5033,17.1781,35.2708,19.3488,122.998,0.0,24.866,39.1275,19.0127,93.6689
12,CD52,5.15236,18.0695,13.2159,82.2545,20.7734,124.007,95.8765,56.19,114.693,12.3884,12.6645
13,CDC20,19.1111,27.82,44.7677,4.50527,23.4345,0.59246,0.0,21.2697,2.32812,39.6781,11.3567
14,CHI3L1,52.4824,3.6709,10.2393,0.786117,14.9398,13.0996,21.7065,37.3911,1.54651,11.9292,205.727
15,COL2A1,124.822,0.522,6.14411,0.0,0.862205,0.84342,0.0,69.285,0.0473942,14.4149,0.0402543
16,COL5A1,145.37,137.917,57.647,108.138,30.3356,117.703,18.0897,62.7231,23.2912,75.3596,116.103
17,COL5A2,202.313,174.571,29.8201,322.448,32.3981,98.3706,0.0,103.473,27.0054,97.3976,95.3652
18,CRAT,3.09639,4.87752,0.0595784,31.2169,12.9929,12.8588,0.0,2.67745,3.23364,2.73225,5.54589
19,CROT,17.2031,18.6583,6.07646,26.5717,3.99236,15.5807,85.5425,8.12291,10.7352,11.9831,18.127
20,CXCL10,2.29941,30.3093,63.3418,11.4495,29.3048,3.21177,0.0,63.0364,17.0314,66.1195,3.53341
21,CXCL11,0.642556,15.3951,0.856393,0.0,6.51251,1.27008,0.0,9.6686,11.8683,28.2921,0.954956
22,CXCL13,0.0413495,14.291,61.5422,15.7339,7.50828,41.2549,0.0,7.40388,30.9216,4.47169,1.16539
23,CYP4F8,0.0480191,0.0991234,1.11157,15.6348,0.0,5.13195,0.0,0.190086,0.0,0.0,1.4973
24,DBI,412.371,64.7748,104.124,565.778,145.792,132.105,0.0,694.721,67.8746,272.917,69.2038
25,DEFB1,3.16262,0.544689,0.755909,0.0,2.80244,2.30633,0.0,0.0,1.44756,0.762547,7.12312
26,DHCR24,38.1374,53.6317,11.9895,94.5633,86.3851,40.2215,18.8087,17.0556,4.19175,18.4995,82.1604
27,DUSP5,2.66143,8.27994,1.57865,2.44871,6.16071,7.69096,0.0,3.37139,11.8552,7.58368,2.09469
28,FABP7,2.25652,0.668057,59.3406,235.759,1.2532,1.35821,0.0,0.591094,0.571087,4.85553,0.0
29,FASN,124.609,147.439,21.6485,218.648,69.7638,23.2501,133.656,15.7474,20.8026,26.8524,92.0659
30,FGFR4,2.32432,7.51737,10.5211,15.2911,0.547024,13.4066,0.0,0.248822,1.18964,0.487249,0.56631
31,FGL2,2.48121,8.57437,6.78257,11.0158,3.21642,7.33065,0.0,3.65538,13.6287,4.23162,2.71377
32,FOXA1,1.38574,4.29772,1.55029,26.0362,0.205656,51.809,20.6189,0.319701,8.50756,8.97258,3.41172
33,FOXC1,9.10755,131.829,8.70012,0.79214,32.1182,10.7241,3.16898,24.0372,27.3498,70.1013,29.4622
34,GABRP,8.66089,277.334,175.713,18.8446,841.158,29.9995,52.1578,174.048,22.5738,663.094,1.23011
35,GALNT7,12.4003,26.1286,8.25552,26.0401,7.97859,167.879,12.9507,11.58,12.5529,16.3709,11.8491
36,GBP1,41.394,185.822,535.638,80.4756,144.463,42.1939,0.0,230.776,218.482,219.584,135.247
