,gene_short_name,V515-06187-A1,TNT-33,TNT-296,TNT-18,TNT-49,TNT-57,17-00252-2_S13Aligned_cufflinks,TNT-104,TNT-177,TNT-218,17-00103-7_S3Aligned_cufflinks
0,ABCA8,1.07397,42.1504,12.0717,10.5629,46.919,6.46901,10.1006,45.0011,9.29659,0.231117,17.5334
1,ADRA2A,0.196819,0.70351,0.51861,0.337047,0.128019,0.408656,0.666199,0.0269278,0.268389,1.20816,1.10499
2,AKAP12,3.75243,6.5784,3.8555,10.1055,3.20903,6.26016,3.59153,14.8787,2.95332,2.32421,7.26494
3,ALDH3B2,34.613,19.4297,2.50943,1.59088,9.3486,0.100817,57.0737,134.5,8.06703,16.6609,4.13598
4,APOD,101.548,462.319,16.3223,126.366,473.105,51.8919,2264.75,16699.3,139.493,3.9072,23.9471
5,ART3,19.2103,29.9479,4.89082,3.08163,31.5205,29.1496,2.61983,0.0,4.00471,42.4891,8.81953
6,ASPN,31.1651,23.2841,13.9013,127.877,46.012,78.5235,17.5097,93.4608,37.577,8.27807,75.8475
7,AZGP1,64.9749,146.048,0.852334,0.397821,53.7874,118.518,375.78,438.903,95.197,17.1262,2.74417
8,BLVRB,6.57613,3.32387,0.378983,0.272242,0.257732,4.33147,9.26335,5.2299,3.74146,1.33646,4.59856
9,C7,0.29143,16.7384,12.4669,11.973,3.14767,2.87842,11.5843,28.9865,0.643378,14.321,3.04093
10,CCL5,1.03708,55.5323,2.0144,84.2759,50.3871,3.70974,0.0,10.9451,7.50898,2.72617,0.0
11,CD36,36.5005,32.6821,18.1203,68.0838,71.9816,21.4543,40.6657,126.937,57.821,5.77646,25.8122
12,CD52,5.15236,360.047,23.3851,238.279,92.3369,16.7951,19.3989,29.5778,35.5903,124.915,22.1463
13,CDC20,19.1111,5.45902,21.6756,11.1176,4.09511,26.4927,2.81438,0.0650128,29.8034,6.84373,10.9556
14,CHI3L1,52.4824,5.50906,10.3386,18.0344,14.0802,15.99,2.7861,1.02785,11.0398,50.4066,49.4244
15,COL2A1,124.822,0.0,0.276578,0.0,26.9015,0.548056,0.157048,0.222123,246.991,0.315638,0.114516
16,COL5A1,145.37,32.1906,16.8683,103.642,37.8918,87.4963,57.8154,47.013,179.114,11.295,134.716
17,COL5A2,202.313,45.924,13.0316,167.425,53.004,121.088,105.309,87.7715,152.074,6.21086,139.918
18,CRAT,3.09639,3.40098,1.49166,4.53159,1.28012,8.62563,30.4788,22.0853,0.280142,0.593193,7.02926
19,CROT,17.2031,8.39303,21.9133,3.88368,0.621716,4.78488,37.0803,53.6453,10.992,12.5985,9.5261
