,gene_short_name,V515-06187-A1,17-00132-8_S16Aligned_cufflinks,TNT-82,TNT-76,TNT-313,TNT-69,TNT-154,17-00111-2_S4_cufflinks,17-00116-9_S2Aligned_cufflinks,TNT-310,17-00252-2_S13Aligned_cufflinks
0,ABCA8,1.07397,19.4248,7.26466,1.71208,11.8392,6.33428,0.0856442,3.13612,140.738,1.50603,10.1006
1,ADRA2A,0.196819,3.61611,0.277216,0.216004,0.166689,0.150311,0.0192695,1.38168,1.49006,0.0916352,0.666199
2,AKAP12,3.75243,5.52166,3.91678,4.07696,5.92393,8.43398,2.75083,6.91818,40.9208,5.4899,3.59153
3,ALDH3B2,34.613,6.77506,15.0004,1.20211,0.129083,2.33555,2.17118,7.41563,20.2994,18.7299,57.0737
4,APOD,101.548,40.374,15.1454,226.991,68.6262,334.261,28.4883,53.9198,620.083,9.0727,2264.75
5,ART3,19.2103,0.0,0.454395,61.9652,5.75635,11.878,83.5134,0.0,1.45964,0.270129,2.61983
6,ASPN,31.1651,33.8587,23.1488,61.5295,30.4671,32.2778,41.7317,172.134,32.8564,70.5823,17.5097
7,AZGP1,64.9749,12.8789,2.01508,279.97,86.0315,41.8629,496.663,35.5573,241.997,4.23143,375.78
8,BLVRB,6.57613,10.2189,1.51625,2.58846,2.56904,0.226859,4.76439,5.90259,2.14395,1.05937,9.26335
9,C7,0.29143,12.4255,1.10798,0.703238,2.91216,2.44299,0.0602834,2.30553,53.7412,2.81788,11.5843
10,CCL5,1.03708,0.0,1.19407,10.1325,6.95546,2.95312,28.65,20.6348,0.0,16.908,0.0
11,CD36,36.5005,32.1853,5.65798,9.87183,7.60346,24.2,27.1698,34.8274,138.951,12.1829,40.6657
12,CD52,5.15236,20.3585,7.70204,16.4339,146.87,15.9388,2.16431,43.6633,6.29418,40.1669,19.3989
13,CDC20,19.1111,0.805591,20.8091,20.9927,4.35256,31.1055,5.51993,1.21622,0.614254,24.5544,2.81438
14,CHI3L1,52.4824,4.97049,100.533,11.3194,122.696,13.2155,10.7803,13.5814,4.86842,23.7297,2.7861
15,COL2A1,124.822,0.0,0.035867,8.18038,0.485265,143.943,0.0873241,0.361854,1.07359,0.467588,0.157048
16,COL5A1,145.37,187.404,54.0508,128.055,57.3617,40.5398,42.7856,238.76,23.4437,116.302,57.8154
17,COL5A2,202.313,187.753,91.1359,199.463,79.4514,54.6831,47.9239,418.121,53.7108,217.037,105.309
18,CRAT,3.09639,27.5127,4.67668,7.59948,0.906711,5.31904,2.39557,7.61619,5.82666,4.10859,30.4788
19,CROT,17.2031,9.84456,21.2497,11.5114,9.1463,4.64999,14.3596,9.11234,26.6722,3.20186,37.0803
20,CXCL10,2.29941,5.40403,8.16181,59.3069,48.9679,83.8667,33.6507,26.4698,5.26548,111.717,17.8862
21,CXCL11,0.642556,0.0,0.708749,14.2748,3.51615,1.3225,4.87385,9.11358,1.43686,9.69977,3.95835
22,CXCL13,0.0413495,3.34468,1.32724,23.8366,64.2703,5.60261,0.332221,10.9874,2.66206,12.3011,5.9954
23,CYP4F8,0.0480191,16.5797,0.0062017,0.0,0.150132,0.54584,0.0,0.0,17.0825,0.0,0.20557
24,DBI,412.371,22.3556,108.571,80.9435,139.847,110.56,147.326,129.475,156.991,156.67,141.197
25,DEFB1,3.16262,0.0,38.2433,0.967678,0.954595,0.0,0.0,2.63568,2.59282,1.00589,0.207869
26,DHCR24,38.1374,1.5266,63.6668,38.0718,20.656,10.5851,11.695,18.9708,33.11,31.9861,108.111
27,DUSP5,2.66143,8.86489,0.992791,3.34565,7.48927,1.88482,2.10403,4.24291,16.321,13.7116,1.75253
28,FABP7,2.25652,0.569974,9.31424,0.09458,0.0867112,31.3579,0.357028,0.111069,0.903434,1.21934,7.67591
29,FASN,124.609,129.708,28.679,28.3466,2.98044,5.36818,52.6081,49.9008,21.7879,3.16328,636.474
30,FGFR4,2.32432,0.0,0.211097,3.80263,0.253247,3.41509,0.327716,0.265341,0.706173,0.0814148,12.591
