,gene_short_name,V515-06187-A1,TNT-271,TNT-30,TNT-304,17-00258-5_S5Aligned_cufflinks,TNT-231,TNT-204,TNT-81,17-00166-3_S11Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,TNT-245
0,ABCA8,1.07397,19.3019,3.51604,3.65161,6.53624,3.88278,22.5552,1.02282,0.866845,0.719822,8.9799
1,ADRA2A,0.196819,0.10425,0.202828,0.0,0.656837,1.04498,0.51488,0.0734277,0.325163,0.203424,0.139203
2,AKAP12,3.75243,9.75869,9.44357,1.82451,3.78971,8.51694,5.24104,3.73951,3.71364,1.14141,5.12106
3,ALDH3B2,34.613,0.0485039,10.5998,1.69334,0.884181,10.2769,10.6186,3.98663,3.38865,5.40626,4.80485
4,APOD,101.548,18.8019,78.6344,171.879,70.1232,279.533,431.157,14.2743,35.2126,10.1478,6.02412
5,ART3,19.2103,8.40444,2.3747,181.128,93.7437,0.0,0.0,495.448,98.6914,5.25832,5.12479
6,ASPN,31.1651,13.9833,73.809,54.125,3.796,29.2722,25.8341,10.681,41.3579,21.9529,12.6273
7,AZGP1,64.9749,22.8252,43.5564,300.948,121.947,316.875,91.8052,482.125,376.117,45.7678,0.815736
8,BLVRB,6.57613,2.31812,4.9334,4.18302,2.68466,2.59229,5.31772,1.83979,3.44108,3.17095,2.28742
9,C7,0.29143,16.2719,0.511494,1.88416,10.2181,3.38337,1.40697,0.195679,0.843649,0.745285,11.4507
10,CCL5,1.03708,5.6622,4.70011,9.38296,0.0,4.01815,10.1049,8.62397,4.18384,0.0,4.07395
11,CD36,36.5005,17.8922,15.5684,40.2595,28.5228,21.4639,78.1711,13.4593,4.51973,5.95287,9.4337
12,CD52,5.15236,56.5306,11.0281,85.9483,18.8695,72.6561,132.064,16.5691,5.31024,12.1882,207.293
13,CDC20,19.1111,15.4698,5.88238,16.8101,23.2123,24.5621,2.72803,22.4607,11.8555,12.6869,4.63374
14,CHI3L1,52.4824,2.46457,52.7601,5.51471,33.0192,0.0151373,0.915721,147.222,6.08895,40.6979,1.14299
15,COL2A1,124.822,2.82534,0.0929615,219.151,1.45759,0.111929,0.0145825,0.299693,0.927259,0.0209768,0.0
16,COL5A1,145.37,17.2159,179.379,19.8955,34.1131,87.8761,23.136,24.3791,124.721,51.4022,19.2176
17,COL5A2,202.313,18.8124,246.265,47.714,47.3189,82.9914,44.7471,58.7019,174.918,114.544,12.1055
18,CRAT,3.09639,3.4731,4.45403,1.28039,7.21592,4.96534,8.49002,2.05338,5.89456,20.0761,6.39344
19,CROT,17.2031,12.1045,9.49973,4.93747,10.1169,10.7887,12.996,4.48754,7.40678,6.76398,14.0462
20,CXCL10,2.29941,37.9725,24.6676,191.918,16.6569,39.3975,65.778,121.374,28.1471,31.7238,69.0365
21,CXCL11,0.642556,13.7021,2.20598,27.7435,7.99702,14.1107,12.7703,8.79376,12.1489,17.1679,12.5715
22,CXCL13,0.0413495,40.998,7.55091,38.1041,2.88489,52.2161,12.2053,9.30649,3.38269,5.12899,43.5915
23,CYP4F8,0.0480191,3.53668,0.0,0.0,0.0,0.010545,0.254896,0.0,0.0,0.0,10.0754
24,DBI,412.371,128.253,185.61,151.897,166.079,105.985,305.276,212.48,46.0439,180.298,37.6406
25,DEFB1,3.16262,3.92841,3.46823,3.25182,1.93523,6.56505,2.15744,0.684066,0.498385,1.33472,10.5864
26,DHCR24,38.1374,7.86456,21.093,9.19186,27.1696,52.1513,9.13265,34.6919,26.1331,40.4215,29.3965
27,DUSP5,2.66143,3.62355,5.77455,0.5457,2.8326,12.2249,3.80245,2.93328,2.81645,0.897643,5.52204
28,FABP7,2.25652,5.55782,4.77493,18.7847,2.60242,0.166318,0.529954,0.310352,0.403842,0.256128,0.0
29,FASN,124.609,6.34887,33.5896,2.77579,68.8053,11.447,27.5321,33.2144,45.6413,52.2629,1.73233
30,FGFR4,2.32432,2.49633,2.3529,0.0,0.316761,0.0,7.75526,2.73629,1.89591,0.592591,0.0
31,FGL2,2.48121,6.75181,3.95632,4.1749,6.23406,11.6829,7.28456,4.93832,5.58276,7.74095,11.3854
32,FOXA1,1.38574,4.95611,0.279061,2.88396,5.23722,107.32,121.108,0.618512,3.05573,1.38504,18.2225
33,FOXC1,9.10755,67.9424,28.9814,23.4572,38.8687,5.24262,5.18437,40.557,70.048,48.0158,10.5082
34,GABRP,8.66089,86.5647,193.312,963.374,475.426,40.2214,11.243,181.197,457.054,347.089,591.755
35,GALNT7,12.4003,16.9407,6.88271,22.0505,23.3908,45.0253,31.3368,41.0609,38.6016,24.7308,38.4835
36,GBP1,41.394,131.35,178.531,130.413,98.347,82.1542,194.603,169.347,191.847,183.034,138.955
37,GCHFR,0.422531,0.113979,0.153757,0.0,0.326596,0.0,0.235974,0.216991,0.525515,0.0872098,0.0
38,GPR87,0.951488,3.44062,0.514935,11.4268,0.0741723,0.0,5.54019,0.404947,8.13279,0.0774054,2.33446
39,GZMB,1.4986,7.38486,1.30313,2.90341,9.66196,4.58215,5.68281,8.98988,0.877462,3.31634,8.37932
40,HGD,4.21735,29.4843,0.539208,0.424599,9.84492,6.21582,7.77397,5.39687,2.14065,0.248937,0.0
41,HTRA1,91.2943,12.6539,72.8846,30.6134,30.3202,30.4542,28.7803,20.6326,76.5058,38.5339,10.2875
42,IDO1,0.291424,23.1689,6.29501,6.73041,8.022,86.3031,29.6198,7.92839,10.7333,9.38429,54.219
43,IGFBP4,13.3498,0.158976,6.21226,0.532935,18.7336,2.07548,1.63285,0.6105,9.77887,3.68364,0.650443
