,gene_short_name,V515-06187-A1,17-00159-1_S1Aligned_cufflinks,17-00280-7_S4Aligned_cufflinks,TNT-328,TNT-204,17-00114-7_S13_cufflinks,TNT-53,TNT-121,TNT-94,TNT-310,TNT-24
0,ABCA8,1.07397,1.78272,1.96104,9.23817,22.5552,4.78456,12.7482,3.96188,2.84949,1.50603,4.7176
1,ADRA2A,0.196819,0.424612,0.330945,0.0,0.51488,1.9036,0.0994593,0.0,0.0,0.0916352,0.167515
2,AKAP12,3.75243,1.92959,1.98968,9.39584,5.24104,7.9425,2.72579,11.4793,20.2867,5.4899,3.76727
3,ALDH3B2,34.613,6.39422,75.8959,14.562,10.6186,10.6038,0.586071,2.11688,22.8759,18.7299,0.891775
4,APOD,101.548,18.7033,25.2137,32.4682,431.157,15.2827,108.636,39.2727,147.095,9.0727,95.7435
5,ART3,19.2103,4.70398,0.0257765,13.5651,0.0,8.70104,384.85,10.848,22.2765,0.270129,20.4122
6,ASPN,31.1651,19.8562,12.2085,15.9623,25.8341,206.11,30.5316,56.5755,57.3841,70.5823,29.0862
7,AZGP1,64.9749,48.381,140.03,39.4368,91.8052,3.75124,239.112,13.4647,70.096,4.23143,54.919
8,BLVRB,6.57613,2.25105,4.51035,1.26662,5.31772,7.71371,2.26478,1.03409,1.20029,1.05937,5.63407
9,C7,0.29143,1.47221,1.81111,0.0,1.40697,3.69818,2.08852,0.278673,0.887843,2.81788,3.52878
10,CCL5,1.03708,6.76955,0.0,1.60917,10.1049,0.0,29.3619,6.49841,4.13599,16.908,34.721
11,CD36,36.5005,5.67052,13.3628,18.5983,78.1711,15.9088,35.2486,39.212,22.7489,12.1829,13.4455
12,CD52,5.15236,14.8266,23.5318,0.0,132.064,39.7689,13.2733,0.0,0.0,40.1669,55.9095
13,CDC20,19.1111,11.108,8.15715,10.2348,2.72803,7.44323,16.9774,15.5014,6.50334,24.5544,27.8803
14,CHI3L1,52.4824,50.8293,3.32298,30.5357,0.915721,25.4046,47.8151,13.9052,2.53769,23.7297,31.8305
15,COL2A1,124.822,0.0353123,0.0195043,147.203,0.0145825,37.2636,31.4125,20.653,6.00303,0.467588,111.174
16,COL5A1,145.37,52.709,44.028,38.532,23.136,106.224,57.393,112.066,28.5161,116.302,80.0339
17,COL5A2,202.313,119.371,82.8314,25.6229,44.7471,160.553,62.0196,133.695,26.9307,217.037,150.156
18,CRAT,3.09639,18.9193,24.1691,3.56428,8.49002,8.31036,4.58664,5.60908,8.31426,4.10859,8.24192
19,CROT,17.2031,9.75512,15.8075,8.11488,12.996,6.30745,3.75997,9.7,7.72488,3.20186,3.43788
20,CXCL10,2.29941,25.0864,50.6872,8.52238,65.778,12.5891,1027.76,25.2886,20.6893,111.717,216.143
21,CXCL11,0.642556,19.2674,10.4707,0.0,12.7703,2.87613,117.484,0.0,4.12924,9.69977,61.4537
22,CXCL13,0.0413495,8.60834,11.7207,0.0,12.2053,9.07559,13.8145,0.0,0.0,12.3011,102.936
23,CYP4F8,0.0480191,0.0,0.562419,0.0,0.254896,0.0,0.446875,0.464837,0.0,0.0,0.444958
24,DBI,412.371,107.402,128.964,61.6366,305.276,148.145,341.228,121.927,186.812,156.67,169.278
25,DEFB1,3.16262,3.38358,1.20338,3.21684,2.15744,0.373373,1.69422,0.0,0.0,1.00589,2.59478
26,DHCR24,38.1374,27.97,57.3044,9.57038,9.13265,14.1302,20.8399,7.18474,5.51588,31.9861,37.4488
27,DUSP5,2.66143,2.60064,1.67691,3.33009,3.80245,2.26818,4.52794,0.0,11.9441,13.7116,10.3833
28,FABP7,2.25652,3.41217,2.61417,7.26256,0.529954,0.439255,0.566084,6.4989,234.221,1.21934,0.489068
29,FASN,124.609,88.7778,284.185,4.8363,27.5321,21.2144,10.4043,4.28607,12.7001,3.16328,41.3008
30,FGFR4,2.32432,0.476452,7.21331,0.0,7.75526,0.0,0.230451,0.156723,0.0,0.0814148,2.47027
31,FGL2,2.48121,6.80476,9.03129,13.4369,7.28456,9.25424,5.87532,4.59367,4.01329,4.93389,8.67615
32,FOXA1,1.38574,1.33065,166.256,3.16782,121.108,0.345068,0.2382,0.0,52.9129,1.50615,1.60243
33,FOXC1,9.10755,35.2897,1.51493,11.1992,5.18437,44.4172,34.1132,31.2379,8.84632,11.1416,88.3583
34,GABRP,8.66089,225.11,5.34289,13.0795,11.243,24.0438,837.778,14.2934,392.793,187.597,896.727
35,GALNT7,12.4003,24.6473,58.7644,0.875309,31.3368,18.0233,12.0992,5.89062,59.2443,19.2626,24.1949
36,GBP1,41.394,275.592,101.148,22.652,194.603,93.6811,169.811,175.529,17.1528,338.003,317.85
37,GCHFR,0.422531,0.160495,0.738543,0.0,0.235974,0.90489,0.0,0.0,0.0,0.178939,0.280473
38,GPR87,0.951488,0.104302,0.14515,0.0,5.54019,0.0,0.657897,2.2259,3.501,3.60517,4.14233
39,GZMB,1.4986,4.56122,3.98824,0.0,5.68281,1.6308,5.61985,0.0918933,0.0,30.9291,18.8047
40,HGD,4.21735,0.833944,83.8595,9.04949,7.77397,4.69812,0.533701,2.93827,0.0,1.62972,3.29947
