,gene_short_name,V515-06187-A1,TNT-2,TNT-220,17-00258-5_S5Aligned_cufflinks,TNT-311,17-00109-8_S14Aligned_cufflinks,TNT-310,TNT-152,17-00127-8_S3Aligned_cufflinks,TNT-296,TNT-197
0,ABCA8,1.07397,11.3424,29.3376,6.53624,34.8692,94.4592,1.50603,28.3027,5.2732,12.0717,3.13417
1,ADRA2A,0.196819,0.725975,1.45258,0.656837,0.0496502,1.63707,0.0916352,0.562541,0.0,0.51861,0.245942
2,AKAP12,3.75243,4.33016,15.2167,3.78971,15.4658,66.8964,5.4899,19.0715,1.2662,3.8555,8.95121
3,ALDH3B2,34.613,59.8633,0.906112,0.884181,0.56246,1.05881,18.7299,134.872,3.25937,2.50943,1.98131
4,APOD,101.548,61.0149,121.15,70.1232,582.871,86.1078,9.0727,3238.15,81.4037,16.3223,62.4847
5,ART3,19.2103,1.16911,53.4512,93.7437,379.806,0.0,0.270129,0.0,34.0727,4.89082,4.63307
6,ASPN,31.1651,8.07027,24.9223,3.796,46.0267,162.196,70.5823,89.7133,0.0,13.9013,53.4652
7,AZGP1,64.9749,166.081,129.656,121.947,580.643,24.7804,4.23143,678.875,195.738,0.852334,1.52872
8,BLVRB,6.57613,3.12197,1.24432,2.68466,0.59776,8.9017,1.05937,9.51428,0.0,0.378983,1.616
9,C7,0.29143,2.34158,368.54,10.2181,8.6817,5.02005,2.81788,41.1971,0.0,12.4669,0.729716
10,CCL5,1.03708,69.8738,16.9124,0.0,2.70085,22.5121,16.908,12.9609,0.0,2.0144,19.9773
11,CD36,36.5005,39.5145,25.9295,28.5228,25.2541,142.117,12.1829,35.2708,0.0,18.1203,38.1309
12,CD52,5.15236,205.116,233.482,18.8695,21.335,25.0099,40.1669,82.2545,0.0,23.3851,30.7753
13,CDC20,19.1111,7.6301,0.0,23.2123,8.48748,0.0,24.5544,4.50527,19.4809,21.6756,16.499
14,CHI3L1,52.4824,84.8944,3.21441,33.0192,0.922415,0.551848,23.7297,0.786117,3.86062,10.3386,25.4191
15,COL2A1,124.822,0.062383,0.333077,1.45759,0.0,0.0370783,0.467588,0.0,9.34079,0.276578,0.0496131
16,COL5A1,145.37,43.5105,10.2585,34.1131,45.4507,246.791,116.302,108.138,74.985,16.8683,33.6054
17,COL5A2,202.313,58.4864,17.6737,47.3189,72.8625,326.53,217.037,322.448,26.139,13.0316,53.8271
18,CRAT,3.09639,3.44216,4.51501,7.21592,0.434016,11.3141,4.10859,31.2169,0.737631,1.49166,3.01341
19,CROT,17.2031,10.2353,16.9421,10.1169,4.08553,48.7835,3.20186,26.5717,21.1361,21.9133,2.8917
20,CXCL10,2.29941,100.163,18.2258,16.6569,27.689,1.17114,111.717,11.4495,14.1618,12.8441,68.2187
21,CXCL11,0.642556,8.15934,1.35964,7.99702,5.85182,5.74158,9.69977,0.0,0.0,2.58412,11.7024
22,CXCL13,0.0413495,48.4832,26.0305,2.88489,5.80727,0.0,12.3011,15.7339,0.0,12.7154,44.9298
23,CYP4F8,0.0480191,0.73018,0.0,0.0,0.149097,8.00879,0.0,15.6348,0.0,0.800571,0.271496
24,DBI,412.371,140.363,205.258,166.079,155.366,42.2468,156.67,565.778,94.0731,92.3906,115.771
25,DEFB1,3.16262,21.423,0.0,1.93523,5.24034,0.0,1.00589,0.0,0.0,0.186356,0.0
26,DHCR24,38.1374,56.9426,0.44259,27.1696,2.58974,2.16125,31.9861,94.5633,9.27006,7.1537,3.72752
27,DUSP5,2.66143,13.1152,4.8123,2.8326,1.8477,21.4802,13.7116,2.44871,2.0363,7.56295,6.03294
28,FABP7,2.25652,0.0,2.41871,2.60242,0.259635,2.38455,1.21934,235.759,4.2431,41.4076,1.85446
29,FASN,124.609,30.5933,5.13523,68.8053,3.60214,7.55502,3.16328,218.648,36.2518,8.63939,2.32471
30,FGFR4,2.32432,7.58388,0.0,0.316761,0.0657728,0.0,0.0814148,15.2911,0.755862,0.749579,0.975753
31,FGL2,2.48121,13.7442,13.1522,6.23406,6.20109,7.85378,4.93389,11.0158,0.0598873,3.56203,5.81374
32,FOXA1,1.38574,55.8235,2.55031,5.23722,0.938145,12.0454,1.50615,26.0362,5.49379,30.7378,1.1978
33,FOXC1,9.10755,2.45497,14.558,38.8687,33.2057,4.88963,11.1416,0.79214,26.7646,15.1327,32.2897
34,GABRP,8.66089,0.944281,204.752,475.426,590.01,47.4048,187.597,18.8446,223.362,85.2671,4.73335
35,GALNT7,12.4003,57.6309,18.5998,23.3908,14.3397,7.85692,19.2626,26.0401,27.8541,17.9387,24.4677
36,GBP1,41.394,297.692,79.1625,98.347,62.836,226.628,338.003,80.4756,162.607,50.2438,92.947
37,GCHFR,0.422531,0.886545,0.0,0.326596,0.0,0.0,0.178939,1.02698,0.857477,0.0,0.0
38,GPR87,0.951488,0.0,8.70819,0.0741723,31.4702,0.0,3.60517,0.0,3.83835,3.55664,1.3995
39,GZMB,1.4986,29.9223,29.3709,9.66196,2.90159,8.07085,30.9291,0.0,0.0,8.28493,26.022
40,HGD,4.21735,6.07336,1.22995,9.84492,0.233995,0.0,1.62972,92.871,27.7859,6.16313,0.0
