,gene_short_name,V515-06187-A1,TNT-138,17-00099-0_S15_cufflinks,TNT-220,17-00143-5_S2Aligned_cufflinks,TNT-275,TNT-311,TNT-41,TNT-259,TNT-54,17-00118-2_S5Aligned_cufflinks
0,ABCA8,1.07397,12.6791,2.37642,29.3376,0.809124,4.6609,34.8692,13.0061,7.3788,58.0877,24.4092
1,ADRA2A,0.196819,1.91297,1.096,1.45258,0.0726771,0.629714,0.0496502,1.04865,0.0622414,0.409427,3.19406
2,AKAP12,3.75243,7.20418,3.23311,15.2167,0.951425,4.96091,15.4658,7.11901,10.4078,14.9386,14.0568
3,ALDH3B2,34.613,12.4995,15.2987,0.906112,19.1452,4.76105,0.56246,1.4853,2.39888,9.50673,3.29726
4,APOD,101.548,27.4739,3.69936,121.15,10.9531,27.9631,582.871,56.6557,16.1725,745.2,185.233
5,ART3,19.2103,0.473306,1.17291,53.4512,0.422378,30.6309,379.806,59.7037,2.83927,3.22085,0.0
6,ASPN,31.1651,46.9364,2.13178,24.9223,3.69349,30.936,46.0267,247.642,59.7246,17.7205,16.7672
7,AZGP1,64.9749,30.0339,223.53,129.656,85.8713,0.675944,580.643,16.7207,0.0,84.4769,72.8132
8,BLVRB,6.57613,9.23049,8.86817,1.24432,3.81422,0.581462,0.59776,12.3493,1.77913,1.03403,1.83964
9,C7,0.29143,0.29318,51.6333,368.54,0.0263386,4.90062,8.6817,0.657578,1.07913,70.8319,24.8705
10,CCL5,1.03708,5.65268,9.70031,16.9124,1.59721,15.9024,2.70085,16.4867,24.4902,27.218,3.56215
11,CD36,36.5005,30.2316,54.5393,25.9295,30.0312,28.1601,25.2541,79.5482,36.2403,53.4162,119.607
12,CD52,5.15236,35.721,125.986,233.482,2.29825,41.958,21.335,49.562,178.9,206.158,2.24641
13,CDC20,19.1111,7.31879,33.8445,0.0,48.5456,12.0694,8.48748,9.8534,10.0606,3.85495,0.0
14,CHI3L1,52.4824,4.73091,17.7339,3.21441,0.326855,67.2472,0.922415,62.4796,17.9288,7.7664,12.7697
15,COL2A1,124.822,28.685,0.0618147,0.333077,0.0149873,0.233095,0.0,31.3989,0.0,0.348718,0.0
16,COL5A1,145.37,104.083,26.4936,10.2585,70.9135,48.0836,45.4507,194.514,40.4405,20.0147,52.95
17,COL5A2,202.313,180.779,15.8177,17.6737,19.6112,82.2014,72.8625,290.284,44.154,24.5429,24.6562
18,CRAT,3.09639,21.3933,64.8689,4.51501,16.3546,2.18717,0.434016,10.8437,4.1209,8.03522,10.0312
19,CROT,17.2031,25.7858,4.61783,16.9421,21.1097,6.23139,4.08553,4.9685,13.6541,7.78597,11.6213
20,CXCL10,2.29941,27.7287,11.4388,18.2258,5.9346,69.4529,27.689,100.358,384.484,37.7643,3.6803
21,CXCL11,0.642556,11.7097,2.75201,1.35964,1.10673,15.7259,5.85182,17.9766,110.538,14.0366,0.0
22,CXCL13,0.0413495,47.9078,28.2446,26.0305,4.2982,95.0912,5.80727,9.70889,627.493,33.4686,0.0
23,CYP4F8,0.0480191,0.0,1.3096,0.0,3.67657,0.0434614,0.149097,0.337205,0.184965,0.990511,0.0
24,DBI,412.371,140.302,354.092,205.258,114.674,83.2867,155.366,121.199,102.259,101.01,19.5872
25,DEFB1,3.16262,0.0,3.46354,0.0,12.7599,0.0,5.24034,1.04105,1.4857,0.0,0.0
26,DHCR24,38.1374,10.8436,70.036,0.44259,140.125,3.70262,2.58974,16.0402,27.5106,8.20185,14.4419
27,DUSP5,2.66143,12.0054,7.49855,4.8123,5.98185,3.85473,1.8477,6.13273,0.760338,6.61308,11.1119
