,gene_short_name,V515-06187-A1,TNT-313,TNT-2,17-00119-5_S5_cufflinks,TNT-289,TNT-240,TNT-271,17-00107-9_S10Aligned_cufflinks,TNT-104,TNT-225,17-00132-8_S16Aligned_cufflinks
0,ABCA8,1.07397,11.8392,11.3424,4.38939,7.5326,4.22404,19.3019,54.7654,45.0011,19.7157,19.4248
1,ADRA2A,0.196819,0.166689,0.725975,1.83867,0.0190859,0.0,0.10425,2.2659,0.0269278,0.313514,3.61611
2,AKAP12,3.75243,5.92393,4.33016,12.7491,16.4518,4.96255,9.75869,17.232,14.8787,11.701,5.52166
3,ALDH3B2,34.613,0.129083,59.8633,2.70957,0.340181,0.0,0.0485039,1.86159,134.5,0.0,6.77506
4,APOD,101.548,68.6262,61.0149,24.8244,86.5343,0.97078,18.8019,39.7176,16699.3,86.1188,40.374
5,ART3,19.2103,5.75635,1.16911,0.22605,11.7816,267.907,8.40444,0.0,0.0,44.2138,0.0
6,ASPN,31.1651,30.4671,8.07027,12.4372,99.797,11.6138,13.9833,238.974,93.4608,112.768,33.8587
7,AZGP1,64.9749,86.0315,166.081,8.47719,22.8969,1.17118,22.8252,22.0611,438.903,68.2212,12.8789
8,BLVRB,6.57613,2.56904,3.12197,2.12154,1.22331,1.01991,2.31812,3.8647,5.2299,0.938568,10.2189
9,C7,0.29143,2.91216,2.34158,415.24,2.7102,0.303186,16.2719,2.41996,28.9865,7.47819,12.4255
10,CCL5,1.03708,6.95546,69.8738,0.0,1.12449,56.2359,5.6622,0.0,10.9451,2.44293,0.0
11,CD36,36.5005,7.60346,39.5145,39.1275,18.9896,0.331216,17.8922,34.8926,126.937,47.8398,32.1853
12,CD52,5.15236,146.87,205.116,114.693,1.74964,225.587,56.5306,30.9282,29.5778,54.5642,20.3585
13,CDC20,19.1111,4.35256,7.6301,2.32812,40.1167,1.93134,15.4698,5.44464,0.0650128,16.8549,0.805591
14,CHI3L1,52.4824,122.696,84.8944,1.54651,14.14,12.467,2.46457,9.49815,1.02785,13.4776,4.97049
15,COL2A1,124.822,0.485265,0.062383,0.0473942,47.6574,12.0136,2.82534,0.126291,0.222123,2.20486,0.0
16,COL5A1,145.37,57.3617,43.5105,23.2912,387.034,6.52259,17.2159,413.834,47.013,113.037,187.404
17,COL5A2,202.313,79.4514,58.4864,27.0054,272.664,13.8008,18.8124,461.219,87.7715,173.274,187.753
18,CRAT,3.09639,0.906711,3.44216,3.23364,4.72182,4.80961,3.4731,25.2676,22.0853,1.33989,27.5127
19,CROT,17.2031,9.1463,10.2353,10.7352,11.3478,0.0727257,12.1045,6.63046,53.6453,8.52486,9.84456
