,gene_short_name,V515-06187-A1,17-00271-8_S16Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-132,TNT-238,TNT-245,TNT-197,17-00163-6_S7Aligned_cufflinks,TNT-16,TNT-111
0,ABCA8,1.07397,43.1719,0.719822,15.2433,13.1009,3.0725,8.9799,3.13417,0.770148,16.1221,14.8562
1,ADRA2A,0.196819,3.57135,0.203424,1.61281,0.0,1.4667,0.139203,0.245942,0.0657186,1.7823,1.03917
2,AKAP12,3.75243,19.8129,1.14141,20.4997,10.4829,3.91094,5.12106,8.95121,1.2357,14.6167,15.7074
3,ALDH3B2,34.613,111.376,5.40626,2.31326,14.3204,3.84186,4.80485,1.98131,2.97506,303.041,575.453
4,APOD,101.548,1551.18,10.1478,82.3389,905.295,8.408,6.02412,62.4847,57.5143,3948.76,10225.5
5,ART3,19.2103,1.09477,5.25832,0.372426,0.0,3.04012,5.12479,4.63307,80.791,0.0,0.175385
6,ASPN,31.1651,74.2365,21.9529,41.4929,168.678,7.42943,12.6273,53.4652,20.2771,169.588,130.499
7,AZGP1,64.9749,545.611,45.7678,5.05436,66.7659,15.3658,0.815736,1.52872,59.9678,362.406,1218.82
8,BLVRB,6.57613,20.7679,3.17095,2.24939,5.60583,0.465605,2.28742,1.616,8.24161,6.56034,7.4401
9,C7,0.29143,53.4988,0.745285,18.676,39.2885,22.8424,11.4507,0.729716,1.01661,16.1138,2.59044
10,CCL5,1.03708,8.84458,0.0,5.25453,37.3394,17.8954,4.07395,19.9773,0.0,2.45249,1.97053
11,CD36,36.5005,333.499,5.95287,26.3072,220.64,17.0593,9.4337,38.1309,19.9552,33.7502,94.8575
12,CD52,5.15236,25.8897,12.1882,2.14786,145.508,394.821,207.293,30.7753,4.53303,9.98149,24.4018
13,CDC20,19.1111,2.31267,12.6869,2.38084,1.11341,3.99635,4.63374,16.499,33.2568,4.69409,3.73782
14,CHI3L1,52.4824,15.912,40.6979,4.30004,0.735538,0.843568,1.14299,25.4191,183.889,2.78629,7.57694
15,COL2A1,124.822,2.00287,0.0209768,0.613052,0.0,0.0,0.0,0.0496131,8.5081,0.0761304,0.0
16,COL5A1,145.37,124.007,51.4022,145.623,86.3879,5.36673,19.2176,33.6054,40.8437,148.389,219.154
17,COL5A2,202.313,327.722,114.544,236.741,115.257,8.55259,12.1055,53.8271,41.0361,246.925,458.394
18,CRAT,3.09639,17.4382,20.0761,10.8298,49.512,5.162,6.39344,3.01341,9.7429,23.7683,70.4712
19,CROT,17.2031,30.4582,6.76398,13.6305,76.9528,8.11357,14.0462,2.8917,5.1833,70.0792,61.6759
20,CXCL10,2.29941,25.2463,31.7238,3.53507,60.3684,53.2897,69.0365,68.2187,24.1237,2.78132,3.96971
21,CXCL11,0.642556,9.27016,17.1679,1.68925,0.809112,9.54068,12.5715,11.7024,1.88411,0.439709,0.353852
22,CXCL13,0.0413495,14.9373,5.12899,1.16042,55.4755,66.4045,43.5915,44.9298,1.72447,0.740487,23.2391
23,CYP4F8,0.0480191,1.0552,0.0,0.0,6.69571,0.0,10.0754,0.271496,0.0,1.66215,10.0194
24,DBI,412.371,474.352,180.298,24.5286,281.14,37.3285,37.6406,115.771,307.908,229.267,701.686
25,DEFB1,3.16262,3.06845,1.33472,0.0,5.28935,6.17349,10.5864,0.0,0.14658,7.23493,0.0
26,DHCR24,38.1374,118.108,40.4215,10.2971,36.6759,14.4175,29.3965,3.72752,62.1057,160.55,109.752
27,DUSP5,2.66143,8.58584,0.897643,7.98056,10.068,7.09274,5.52204,6.03294,0.552712,19.7283,9.23302
28,FABP7,2.25652,220.93,0.256128,0.132922,0.260094,0.459537,0.0,1.85446,5.85038,4.11583,289.357
29,FASN,124.609,620.299,52.2629,33.3583,209.081,2.56326,1.73233,2.32471,95.661,955.989,122.384
30,FGFR4,2.32432,0.310467,0.592591,6.27721,12.2067,2.2803,0.0,0.975753,4.11049,13.4786,8.91163
31,FGL2,2.48121,17.2755,7.74095,1.65977,8.49231,17.1009,11.3854,5.81374,1.78384,3.33994,2.79398
32,FOXA1,1.38574,86.8978,1.38504,2.09953,88.9966,1.53088,18.2225,1.1978,0.108081,106.896,201.456
33,FOXC1,9.10755,7.0417,48.0158,8.20116,2.14003,8.49762,10.5082,32.2897,78.4953,4.09098,3.58246
34,GABRP,8.66089,19.9296,347.089,25.1786,21.6841,481.995,591.755,4.73335,542.833,2.34216,9.12478
35,GALNT7,12.4003,28.8384,24.7308,11.0325,29.4882,14.2293,38.4835,24.4677,33.3183,103.531,49.7457
36,GBP1,41.394,153.619,183.034,291.445,119.359,170.473,138.955,92.947,46.4511,76.4035,45.8172
37,GCHFR,0.422531,0.39272,0.0872098,0.0,0.271182,0.444785,0.0,0.0,0.465567,1.26429,1.04278
38,GPR87,0.951488,2.26563,0.0774054,0.160558,7.79938,2.2105,2.33446,1.3995,0.133773,0.616439,0.301862
39,GZMB,1.4986,4.72534,3.31634,1.21038,31.8713,12.1068,8.37932,26.022,1.03451,0.716539,2.45732
40,HGD,4.21735,23.7782,0.248937,10.301,10.573,2.00744,0.0,0.0,24.1865,71.809,24.7993
41,HTRA1,91.2943,221.531,38.5339,146.353,81.7669,6.35896,10.2875,13.698,14.6065,194.898,201.751
