,gene_short_name,V515-06187-A1,17-00123-8_S16Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-271,17-00116-9_S2Aligned_cufflinks,TNT-219,TNT-209,TNT-81,TNT-282,17-00252-2_S13Aligned_cufflinks,TNT-201
0,ABCA8,1.07397,6.17733,94.4592,19.3019,140.738,11.2782,5.75345,1.02282,4.67702,10.1006,6.47646
1,ADRA2A,0.196819,0.984298,1.63707,0.10425,1.49006,0.249391,1.18075,0.0734277,0.0181278,0.666199,0.195692
2,AKAP12,3.75243,6.51828,66.8964,9.75869,40.9208,10.7207,5.17876,3.73951,3.37991,3.59153,12.689
3,ALDH3B2,34.613,8.4669,1.05881,0.0485039,20.2994,6.22725,5.19828,3.98663,14.2492,57.0737,8.55663
4,APOD,101.548,38.787,86.1078,18.8019,620.083,53.501,12.3961,14.2743,1.37445,2264.75,127.635
5,ART3,19.2103,1.05535,0.0,8.40444,1.45964,1.06999,1.0586,495.448,1.17116,2.61983,64.8882
6,ASPN,31.1651,60.2143,162.196,13.9833,32.8564,27.237,14.174,10.681,10.9442,17.5097,46.2732
7,AZGP1,64.9749,11.2503,24.7804,22.8252,241.997,100.254,10.708,482.125,58.3199,375.78,651.647
8,BLVRB,6.57613,2.48037,8.9017,2.31812,2.14395,4.64941,0.623746,1.83979,2.42049,9.26335,2.21732
9,C7,0.29143,11.3646,5.02005,16.2719,53.7412,122.073,31.5904,0.195679,0.311238,11.5843,4.18576
10,CCL5,1.03708,10.7819,22.5121,5.6622,0.0,18.7046,9.20102,8.62397,7.18878,0.0,3.45426
11,CD36,36.5005,14.5033,142.117,17.8922,138.951,16.0908,18.8618,13.4593,31.9388,40.6657,37.1595
12,CD52,5.15236,18.0695,25.0099,56.5306,6.29418,123.578,472.935,16.5691,28.9883,19.3989,17.2804
13,CDC20,19.1111,27.82,0.0,15.4698,0.614254,3.64656,7.58906,22.4607,16.4631,2.81438,15.1737
14,CHI3L1,52.4824,3.6709,0.551848,2.46457,4.86842,0.043036,0.796208,147.222,10.2047,2.7861,27.7612
15,COL2A1,124.822,0.522,0.0370783,2.82534,1.07359,4.67146,0.0,0.299693,0.205631,0.157048,0.103464
16,COL5A1,145.37,137.917,246.791,17.2159,23.4437,47.8762,6.43656,24.3791,8.00722,57.8154,60.1661
17,COL5A2,202.313,174.571,326.53,18.8124,53.7108,49.8738,6.42693,58.7019,9.29631,105.309,118.019
18,CRAT,3.09639,4.87752,11.3141,3.4731,5.82666,3.71347,2.4713,2.05338,1.76532,30.4788,6.12473
19,CROT,17.2031,18.6583,48.7835,12.1045,26.6722,18.417,9.5381,4.48754,17.5883,37.0803,3.2792
20,CXCL10,2.29941,30.3093,1.17114,37.9725,5.26548,25.0919,44.9135,121.374,44.8489,17.8862,34.8583
21,CXCL11,0.642556,15.3951,5.74158,13.7021,1.43686,4.67742,11.491,8.79376,6.8698,3.95835,7.68466
22,CXCL13,0.0413495,14.291,0.0,40.998,2.66206,13.2194,48.6593,9.30649,41.0339,5.9954,6.53752
23,CYP4F8,0.0480191,0.0991234,8.00879,3.53668,17.0825,0.0,0.0,0.0,8.54897,0.20557,0.0988321
24,DBI,412.371,64.7748,42.2468,128.253,156.991,76.507,62.2924,212.48,94.6861,141.197,624.916
25,DEFB1,3.16262,0.544689,0.0,3.92841,2.59282,0.0,7.68559,0.684066,39.0385,0.207869,2.52093
26,DHCR24,38.1374,53.6317,2.16125,7.86456,33.11,68.512,12.4287,34.6919,103.38,108.111,19.4007
27,DUSP5,2.66143,8.27994,21.4802,3.62355,16.321,6.56814,13.6718,2.93328,1.47901,1.75253,3.40796
28,FABP7,2.25652,0.668057,2.38455,5.55782,0.903434,0.0,0.385028,0.310352,254.779,7.67591,0.469852
29,FASN,124.609,147.439,7.55502,6.34887,21.7879,53.3196,2.64918,33.2144,13.0917,636.474,22.2212
30,FGFR4,2.32432,7.51737,0.0,2.49633,0.706173,0.0,0.229108,2.73629,0.356516,12.591,0.474482
31,FGL2,2.48121,8.57437,7.85378,6.75181,7.72553,6.80796,18.6347,4.93832,10.6796,5.83078,2.43645
32,FOXA1,1.38574,4.29772,12.0454,4.95611,64.6535,91.4593,0.921874,0.618512,6.46327,154.413,3.76434
