,gene_short_name,V515-06187-A1,TNT-217,TNT-71,TNT-152,TNT-83,TNT-214,17-00110-9_S15Aligned_cufflinks,TNT-299,TNT-186,17-00143-5_S2Aligned_cufflinks,TNT-14
0,ABCA8,1.07397,13.4229,12.9025,28.3027,5.23671,6.30619,0.943892,8.87917,7.37154,0.809124,1.68679
1,ADRA2A,0.196819,1.51081,0.126597,0.562541,0.0484197,0.53439,0.184313,0.321954,0.864678,0.0726771,0.104517
2,AKAP12,3.75243,11.1246,3.09258,19.0715,10.1537,6.27307,0.618114,8.3169,15.2398,0.951425,2.16044
3,ALDH3B2,34.613,0.0,24.6302,134.872,11.9552,5.43093,21.1902,2.22473,4.60629,19.1452,5.56607
4,APOD,101.548,29.5742,769.014,3238.15,45.576,78.8272,0.847162,26.3483,97.3845,10.9531,10.9277
5,ART3,19.2103,9.09987,47.9684,0.0,1.52685,92.4518,1.70454,47.8547,63.2559,0.422378,31.6725
6,ASPN,31.1651,13.1715,21.4233,89.7133,19.273,5.46924,8.79653,14.6382,390.19,3.69349,9.50099
7,AZGP1,64.9749,0.26194,39.1429,678.875,89.7751,603.787,71.6802,144.884,1.162,85.8713,31.8473
8,BLVRB,6.57613,0.657851,2.8226,9.51428,6.63001,2.09444,3.21779,1.49672,0.0,3.81422,7.24225
9,C7,0.29143,94.6797,0.806282,41.1971,1.0988,19.8767,0.145938,4.52315,9.53212,0.0263386,0.419171
10,CCL5,1.03708,21.6272,7.98503,12.9609,8.35195,9.4678,0.0,6.02102,13.7499,1.59721,6.55539
11,CD36,36.5005,26.1072,18.241,35.2708,764.051,20.8269,4.6544,80.6752,39.8265,30.0312,19.3488
12,CD52,5.15236,592.516,27.5781,82.2545,28.8448,80.1085,4.91219,14.2911,29.1361,2.29825,20.7734
13,CDC20,19.1111,11.5408,7.51188,4.50527,6.66027,33.0613,36.4559,4.88095,11.82,48.5456,23.4345
14,CHI3L1,52.4824,1.37138,304.561,0.786117,3.39355,1.5293,0.82377,21.8619,4.82633,0.326855,14.9398
15,COL2A1,124.822,1.01694,0.165655,0.0,0.133147,0.0,20.099,8.71282,8.11158,0.0149873,0.862205
16,COL5A1,145.37,14.6414,30.2796,108.138,51.9884,23.8546,58.6796,36.7694,194.264,70.9135,30.3356
17,COL5A2,202.313,14.9289,70.6025,322.448,109.752,19.3943,36.052,49.6448,232.826,19.6112,32.3981
18,CRAT,3.09639,2.88125,6.56194,31.2169,9.24005,0.567394,7.77622,4.59752,4.23051,16.3546,12.9929
19,CROT,17.2031,7.56644,5.04884,26.5717,16.4538,12.2198,4.61565,13.238,17.5123,21.1097,3.99236
20,CXCL10,2.29941,41.7207,219.018,11.4495,54.7547,45.9677,4.36531,37.0993,6.97502,5.9346,29.3048
