,gene_short_name,V515-06187-A1,TNT-122,TNT-92,TNT-224,TNT-210,17-00143-5_S2Aligned_cufflinks,TNT-152,TNT-94,TNT-197,TNT-157,17-00139-2_S9Aligned_cufflinks
0,ABCA8,1.07397,88.0911,32.1067,11.0932,9.09564,0.809124,28.3027,2.84949,3.13417,16.5316,3.646
1,ADRA2A,0.196819,0.408986,0.187864,0.521527,0.335962,0.0726771,0.562541,0.0,0.245942,0.0535747,0.21834
2,AKAP12,3.75243,15.4194,5.51587,12.9614,6.16654,0.951425,19.0715,20.2867,8.95121,5.01157,2.68102
3,ALDH3B2,34.613,23.2977,8.09628,4.94473,8.86323,19.1452,134.872,22.8759,1.98131,44.3463,27.7129
4,APOD,101.548,1264.04,227.124,72.6231,9.57364,10.9531,3238.15,147.095,62.4847,388.876,8.01472
5,ART3,19.2103,0.293089,1.03436,2.78774,1.00164,0.422378,0.0,22.2765,4.63307,11.9946,1.5872
6,ASPN,31.1651,81.4283,108.547,241.522,7.55605,3.69349,89.7133,57.3841,53.4652,10.4886,9.94837
7,AZGP1,64.9749,235.846,23.496,3.97542,22.0424,85.8713,678.875,70.096,1.52872,13.2232,1.50857
8,BLVRB,6.57613,2.13867,2.3271,3.52853,2.09601,3.81422,9.51428,1.20029,1.616,1.7414,1.37106
9,C7,0.29143,112.076,5.15895,1.91188,64.0085,0.0263386,41.1971,0.887843,0.729716,12.9084,0.645289
10,CCL5,1.03708,4.87955,5.3861,3.206,4.16558,1.59721,12.9609,4.13599,19.9773,14.6772,2.11983
11,CD36,36.5005,122.998,13.668,20.0619,32.1363,30.0312,35.2708,22.7489,38.1309,33.1401,14.3767
12,CD52,5.15236,124.007,51.077,21.1463,785.451,2.29825,82.2545,0.0,30.7753,93.599,2.72221
13,CDC20,19.1111,0.59246,2.62069,10.5139,11.3893,48.5456,4.50527,6.50334,16.499,21.6145,34.2285
14,CHI3L1,52.4824,13.0996,93.8031,3.66954,6.51311,0.326855,0.786117,2.53769,25.4191,42.6231,127.334
15,COL2A1,124.822,0.84342,0.145719,0.014313,0.364705,0.0149873,0.0,6.00303,0.0496131,0.165699,0.569296
16,COL5A1,145.37,117.703,32.6411,156.747,4.59031,70.9135,108.138,28.5161,33.6054,18.2057,28.6234
17,COL5A2,202.313,98.3706,57.8362,292.852,6.9018,19.6112,322.448,26.9307,53.8271,26.7943,24.2914
18,CRAT,3.09639,12.8588,5.01356,4.74879,1.08367,16.3546,31.2169,8.31426,3.01341,1.38838,1.53182
19,CROT,17.2031,15.5807,13.2484,20.3725,22.811,21.1097,26.5717,7.72488,2.8917,8.91636,2.58029
20,CXCL10,2.29941,3.21177,60.784,35.6,18.9374,5.9346,11.4495,20.6893,68.2187,91.8598,20.0542
21,CXCL11,0.642556,1.27008,3.28281,6.50349,5.38728,1.10673,0.0,4.12924,11.7024,8.91782,6.05504
22,CXCL13,0.0413495,41.2549,10.8363,3.27858,174.019,4.2982,15.7339,0.0,44.9298,46.1831,0.924701
23,CYP4F8,0.0480191,5.13195,0.0470314,0.064249,0.0,3.67657,15.6348,0.0,0.271496,0.0,0.0
24,DBI,412.371,132.105,62.0434,71.4454,66.3788,114.674,565.778,186.812,115.771,134.685,77.3433
25,DEFB1,3.16262,2.30633,6.211,75.0567,3.5428,12.7599,0.0,0.0,0.0,0.135413,0.254765
26,DHCR24,38.1374,40.2215,18.6696,35.0216,10.8391,140.125,94.5633,5.51588,3.72752,74.3837,41.1448
27,DUSP5,2.66143,7.69096,7.78564,13.804,3.76666,5.98185,2.44871,11.9441,6.03294,6.9571,3.51334
28,FABP7,2.25652,1.35821,15.3098,0.0,5.07499,0.0,235.759,234.221,1.85446,0.0547732,0.100483
29,FASN,124.609,23.2501,3.44193,2.27257,6.79925,264.185,218.648,12.7001,2.32471,41.2107,96.6952
30,FGFR4,2.32432,13.4066,0.543839,1.20116,0.630999,37.3663,15.2911,0.0,0.975753,4.54072,0.655992
31,FGL2,2.48121,7.33065,13.8813,5.29089,12.5431,0.907804,11.0158,4.01329,5.81374,10.3349,1.62525
32,FOXA1,1.38574,51.809,4.61343,35.7877,0.49807,143.36,26.0362,52.9129,1.1978,1.01931,0.595121
33,FOXC1,9.10755,10.7241,15.6674,9.26743,17.6875,3.12932,0.79214,8.84632,32.2897,28.4132,26.9418
34,GABRP,8.66089,29.9995,1884.93,0.360717,194.545,22.4545,18.8446,392.793,4.73335,503.14,383.281
35,GALNT7,12.4003,167.879,28.7253,97.6033,34.6812,59.9791,26.0401,59.2443,24.4677,12.2184,25.8265
36,GBP1,41.394,42.1939,144.004,95.767,105.32,23.1936,80.4756,17.1528,92.947,527.597,102.725
37,GCHFR,0.422531,0.0,0.154028,0.121758,0.0,0.606169,1.02698,0.0,0.0,0.0,0.312517
38,GPR87,0.951488,4.2657,1.65936,5.18365,1.70914,0.0,0.0,3.501,1.3995,0.402631,0.0
39,GZMB,1.4986,0.0,12.6172,3.73822,17.1947,2.22425,0.0,0.0,26.022,6.50588,2.88385
40,HGD,4.21735,106.495,2.84976,6.23131,1.94053,12.1696,92.871,0.0,0.0,2.29015,0.178331
41,HTRA1,91.2943,61.1959,40.4089,140.532,13.053,10.2802,142.922,4.24438,13.698,21.359,12.2357
42,IDO1,0.291424,1.45754,3.55287,23.0307,11.5801,2.11836,0.843558,0.0,6.26838,12.8347,5.62665
43,IGFBP4,13.3498,4.31898,2.38984,1.96772,0.756397,2.56719,7.36641,1.46345,0.243162,2.9835,4.64699
44,IGHM,55.219,149.828,68.2459,13.8008,213.528,19.4641,329.702,5.60384,9.50982,350.832,0.0
45,IGJ,20.0186,391.611,224.462,39.1471,256.643,4.32342,568.173,0.571862,136.438,302.263,13.1953
46,IGKC,182.346,1651.75,1125.71,711.236,1661.32,62.7069,12039.2,84.4972,3670.73,5900.1,146.428
47,IL23A,0.0490073,0.222666,0.239774,0.0655361,0.0733852,0.0,0.0,0.0,1.75919,0.0,0.0988448
48,IL33,0.883329,11.6046,3.0914,0.255235,21.638,0.40103,9.99245,0.0,0.097186,2.45861,0.441675
49,INPP4B,37.1722,47.8111,22.7429,29.1727,29.0362,21.6831,40.6346,29.8417,6.59133,17.0085,2.05355
50,ITM2A,5.13433,35.3177,23.8877,7.06133,39.1693,2.56933,61.5291,0.0,0.294242,15.7734,6.84793
51,JAM2,11.2143,19.7106,7.05302,12.0033,9.67866,0.444035,14.2398,0.0,5.83636,12.3479,1.87263
52,KCNK5,7.32046,0.0,0.133175,0.0814902,0.583528,0.149882,0.0,0.327907,0.0992269,0.690415,1.85105
53,KIAA1324,6.46799,63.3608,6.34263,42.5417,23.6154,89.5923,70.4997,18.6514,5.9885,11.462,1.06691
54,KMO,1.44589,116.902,2.7613,6.46681,28.6846,33.754,34.7041,31.2493,10.0687,3.60543,1.54732
55,KRT14,118.371,23.6489,15.2829,2.2672,2.74332,0.980966,9.55122,2.19612,6.19749,48.6854,25.7243
56,KRT16,91.0343,4.22319,74.7677,74.8609,23.75,9.40847,8.6163,4.77604,38.6102,29.9302,102.082
57,KRT17,105.347,43.6087,130.131,93.2654,30.2448,60.619,8.75166,0.815724,99.1239,93.4954,178.695
