,gene_short_name,V515-06187-A1,TNT-311,TNT-13,TNT-272,TNT-132,TNT-304,TNT-4,17-00212-8_S3Aligned_cufflinks,TNT-104,TNT-245,17-00097-1_S9_cufflinks
0,ABCA8,1.07397,34.8692,26.684,4.83654,13.1009,3.65161,37.7185,10.9008,45.0011,8.9799,2.1075
1,ADRA2A,0.196819,0.0496502,0.0,0.0985654,0.0,0.0,4.02106,0.804,0.0269278,0.139203,0.130515
2,AKAP12,3.75243,15.4658,11.3162,5.09248,10.4829,1.82451,17.7207,6.45585,14.8787,5.12106,1.87044
3,ALDH3B2,34.613,0.56246,8.65127,9.05696,14.3204,1.69334,42.5699,54.5406,134.5,4.80485,8.43554
4,APOD,101.548,582.871,194.972,49.2309,905.295,171.879,2583.61,1024.91,16699.3,6.02412,0.669381
5,ART3,19.2103,379.806,1.79984,2.09522,0.0,181.128,0.0,0.0878982,0.0,5.12479,4.50196
6,ASPN,31.1651,46.0267,31.9125,20.8546,168.678,54.125,315.638,191.273,93.4608,12.6273,10.6442
7,AZGP1,64.9749,580.643,36.6707,12.4713,66.7659,300.948,298.58,257.364,438.903,0.815736,33.7457
8,BLVRB,6.57613,0.59776,0.0,2.17826,5.60583,4.18302,7.36637,80.8059,5.2299,2.28742,3.99175
9,C7,0.29143,8.6817,0.275013,4.18377,39.2885,1.88416,8.53666,4.57211,28.9865,11.4507,2.02056
10,CCL5,1.03708,2.70085,4.13896,2.47439,37.3394,9.38296,13.303,5.79704,10.9451,4.07395,0.0
11,CD36,36.5005,25.2541,57.7532,32.304,220.64,40.2595,100.477,59.1195,126.937,9.4337,29.5541
12,CD52,5.15236,21.335,17.8491,23.3953,145.508,85.9483,48.9762,31.8435,29.5778,207.293,10.8883
13,CDC20,19.1111,8.48748,6.74247,9.27132,1.11341,16.8101,2.96756,3.74191,0.0650128,4.63374,35.847
14,CHI3L1,52.4824,0.922415,7.76873,32.4326,0.735538,5.51471,5.7134,3.51278,1.02785,1.14299,14.2367
15,COL2A1,124.822,0.0,1.83737,0.0828534,0.0,219.151,0.149369,0.029409,0.222123,0.0,0.21441
16,COL5A1,145.37,45.4507,150.34,51.0628,86.3879,19.8955,225.483,109.637,47.013,19.2176,99.7165
