,gene_short_name,V515-06187-A1,TNT-209,TNT-328,TNT-121,TNT-50,17-00105-7_S10_cufflinks,TNT-297,TNT-69,TNT-304,TNT-201,TNT-154
0,ABCA8,1.07397,5.75345,9.23817,3.96188,6.27059,15.2433,17.0174,6.33428,3.65161,6.47646,0.0856442
1,ADRA2A,0.196819,1.18075,0.0,0.0,0.613286,1.61281,0.223559,0.150311,0.0,0.195692,0.0192695
2,AKAP12,3.75243,5.17876,9.39584,11.4793,15.7193,20.4997,31.1722,8.43398,1.82451,12.689,2.75083
3,ALDH3B2,34.613,5.19828,14.562,2.11688,19.4221,2.31326,0.0910294,2.33555,1.69334,8.55663,2.17118
4,APOD,101.548,12.3961,32.4682,39.2727,34.8661,82.3389,190.081,334.261,171.879,127.635,28.4883
5,ART3,19.2103,1.0586,13.5651,10.848,0.671865,0.372426,22.3735,11.878,181.128,64.8882,83.5134
6,ASPN,31.1651,14.174,15.9623,56.5755,72.6274,41.4929,14.1299,32.2778,54.125,46.2732,41.7317
7,AZGP1,64.9749,10.708,39.4368,13.4647,94.0011,5.05436,130.727,41.8629,300.948,651.647,496.663
8,BLVRB,6.57613,0.623746,1.26662,1.03409,4.233,2.24939,2.36929,0.226859,4.18302,2.21732,4.76439
9,C7,0.29143,31.5904,0.0,0.278673,5.63905,18.676,12.4278,2.44299,1.88416,4.18576,0.0602834
10,CCL5,1.03708,9.20102,1.60917,6.49841,2.46692,5.25453,2.51066,2.95312,9.38296,3.45426,28.65
11,CD36,36.5005,18.8618,18.5983,39.212,17.4704,26.3072,12.2558,24.2,40.2595,37.1595,27.1698
12,CD52,5.15236,472.935,0.0,0.0,26.2153,2.14786,9.06244,15.9388,85.9483,17.2804,2.16431
13,CDC20,19.1111,7.58906,10.2348,15.5014,6.63309,2.38084,42.1959,31.1055,16.8101,15.1737,5.51993
14,CHI3L1,52.4824,0.796208,30.5357,13.9052,23.1543,4.30004,75.8848,13.2155,5.51471,27.7612,10.7803
15,COL2A1,124.822,0.0,147.203,20.653,0.7584,0.613052,8.03179,143.943,219.151,0.103464,0.0873241
16,COL5A1,145.37,6.43656,38.532,112.066,129.285,145.623,58.3068,40.5398,19.8955,60.1661,42.7856
17,COL5A2,202.313,6.42693,25.6229,133.695,232.429,236.741,67.2474,54.6831,47.714,118.019,47.9239
18,CRAT,3.09639,2.4713,3.56428,5.60908,9.18802,10.8298,5.6469,5.31904,1.28039,6.12473,2.39557
