,gene_short_name,V515-06187-A1,17-00149-2_S3_cufflinks,TNT-210,TNT-14,TNT-67,TNT-322,TNT-224,TNT-225,TNT-304,TNT-186,17-00139-2_S9Aligned_cufflinks
0,ABCA8,1.07397,32.3573,9.09564,1.68679,38.3062,2.96949,11.0932,19.7157,3.65161,7.37154,3.646
1,ADRA2A,0.196819,1.055,0.335962,0.104517,0.801187,0.471202,0.521527,0.313514,0.0,0.864678,0.21834
2,AKAP12,3.75243,14.0612,6.16654,2.16044,27.6458,10.0738,12.9614,11.701,1.82451,15.2398,2.68102
3,ALDH3B2,34.613,3.87839,8.86323,5.56607,33.9557,2.39686,4.94473,0.0,1.69334,4.60629,27.7129
4,APOD,101.548,446.564,9.57364,10.9277,850.293,43.1584,72.6231,86.1188,171.879,97.3845,8.01472
5,ART3,19.2103,12.8534,1.00164,31.6725,0.535039,30.7849,2.78774,44.2138,181.128,63.2559,1.5872
6,ASPN,31.1651,14.5927,7.55605,9.50099,175.454,71.8074,241.522,112.768,54.125,390.19,9.94837
7,AZGP1,64.9749,40.5716,22.0424,31.8473,391.013,78.8806,3.97542,68.2212,300.948,1.162,1.50857
8,BLVRB,6.57613,9.78599,2.09601,7.24225,3.14037,1.60934,3.52853,0.938568,4.18302,0.0,1.37106
9,C7,0.29143,91.1891,64.0085,0.419171,52.2921,6.31146,1.91188,7.47819,1.88416,9.53212,0.645289
10,CCL5,1.03708,37.03,4.16558,6.55539,15.48,1.69886,3.206,2.44293,9.38296,13.7499,2.11983
11,CD36,36.5005,166.339,32.1363,19.3488,175.374,28.7743,20.0619,47.8398,40.2595,39.8265,14.3767
12,CD52,5.15236,25.8994,785.451,20.7734,39.5948,13.838,21.1463,54.5642,85.9483,29.1361,2.72221
13,CDC20,19.1111,5.02223,11.3893,23.4345,0.482607,6.0292,10.5139,16.8549,16.8101,11.82,34.2285
14,CHI3L1,52.4824,18.9358,6.51311,14.9398,4.42293,35.8325,3.66954,13.4776,5.51471,4.82633,127.334
15,COL2A1,124.822,0.127527,0.364705,0.862205,0.0,53.7069,0.014313,2.20486,219.151,8.11158,0.569296
16,COL5A1,145.37,27.3903,4.59031,30.3356,143.662,112.952,156.747,113.037,19.8955,194.264,28.6234
17,COL5A2,202.313,92.603,6.9018,32.3981,330.43,161.199,292.852,173.274,47.714,232.826,24.2914
18,CRAT,3.09639,24.4152,1.08367,12.9929,8.76498,4.34071,4.74879,1.33989,1.28039,4.23051,1.53182
19,CROT,17.2031,2.63143,22.811,3.99236,12.809,12.2274,20.3725,8.52486,4.93747,17.5123,2.58029
20,CXCL10,2.29941,49.8271,18.9374,29.3048,8.31688,18.7623,35.6,8.15851,191.918,6.97502,20.0542
21,CXCL11,0.642556,13.9609,5.38728,6.51251,1.34316,4.62877,6.50349,0.637592,27.7435,4.2247,6.05504
22,CXCL13,0.0413495,13.0693,174.019,7.50828,2.82177,3.45115,3.27858,6.32163,38.1041,2.33203,0.924701
23,CYP4F8,0.0480191,0.0,0.0,0.0,0.0558274,0.319508,0.064249,0.169669,0.0,0.358575,0.0
24,DBI,412.371,98.0767,66.3788,145.792,146.652,322.902,71.4454,130.439,151.897,100.988,77.3433
25,DEFB1,3.16262,1.72424,3.5428,2.80244,0.583211,0.0,75.0567,0.0909353,3.25182,0.0,0.254765
26,DHCR24,38.1374,13.2626,10.8391,86.3851,58.5741,13.3313,35.0216,9.11603,9.19186,3.76716,41.1448
27,DUSP5,2.66143,5.49924,3.76666,6.16071,10.2672,3.62308,13.804,4.35424,0.5457,1.65471,3.51334
28,FABP7,2.25652,1.94644,5.07499,1.2532,0.504147,9.84249,0.0,54.5626,18.7847,6.08378,0.100483
29,FASN,124.609,63.1845,6.79925,69.7638,33.9861,4.11901,2.27257,1.28864,2.77579,21.0554,96.6952
30,FGFR4,2.32432,0.991191,0.630999,0.547024,2.07236,1.26775,1.20116,0.044059,0.0,0.564881,0.655992
