,gene_short_name,V515-06187-A1,TNT-278,TNT-204,TNT-18,TNT-48,TNT-54,TNT-326,TNT-209,17-00121-8_S12_cufflinks,TNT-288,17-00160-1_S2Aligned_cufflinks
0,ABCA8,1.07397,6.09487,22.5552,10.5629,251.734,58.0877,0.03846,5.75345,43.7288,10.8786,0.719822
1,ADRA2A,0.196819,0.0,0.51488,0.337047,1.73146,0.409427,0.917432,1.18075,1.48313,0.283499,0.203424
2,AKAP12,3.75243,4.77909,5.24104,10.1055,12.1732,14.9386,7.45648,5.17876,26.8543,16.0737,1.14141
3,ALDH3B2,34.613,1.87834,10.6186,1.59088,10.1174,9.50673,4.99358,5.19828,14.3473,0.561817,5.40626
4,APOD,101.548,86.3132,431.157,126.366,578.954,745.2,12.6566,12.3961,574.763,110.571,10.1478
5,ART3,19.2103,0.0,0.0,3.08163,31.8858,3.22085,12.2091,1.0586,0.115521,3.38112,5.25832
6,ASPN,31.1651,11.8417,25.8341,127.877,90.9032,17.7205,15.8107,14.174,30.3876,117.07,21.9529
7,AZGP1,64.9749,134.856,91.8052,0.397821,83.2889,84.4769,30.6143,10.708,177.346,19.9515,45.7678
8,BLVRB,6.57613,0.0,5.31772,0.272242,2.19929,1.03403,0.0,0.623746,5.30482,3.17771,3.17095
9,C7,0.29143,19.5287,1.40697,11.973,34.6236,70.8319,6.06215,31.5904,23.1979,2.26989,0.745285
10,CCL5,1.03708,8.68593,10.1049,84.2759,21.9388,27.218,15.9662,9.20102,0.0,1.42702,0.0
11,CD36,36.5005,36.6558,78.1711,68.0838,251.091,53.4162,9.50935,18.8618,104.969,21.039,5.95287
12,CD52,5.15236,147.046,132.064,238.279,52.2935,206.158,164.909,472.935,9.90376,1.79485,12.1882
13,CDC20,19.1111,1.44794,2.72803,11.1176,2.9954,3.85495,6.93203,7.58906,0.207432,35.8456,12.6869
14,CHI3L1,52.4824,0.1863,0.915721,18.0344,7.45514,7.7664,1.96055,0.796208,9.01373,14.8201,40.6979
15,COL2A1,124.822,0.0171505,0.0145825,0.0,9.20578,0.348718,5.7244,0.0,1.51601,59.1868,0.0209768
16,COL5A1,145.37,27.0808,23.136,103.642,75.0766,20.0147,27.0058,6.43656,34.9603,299.167,51.4022
17,COL5A2,202.313,52.0394,44.7471,167.425,77.8726,24.5429,23.1253,6.42693,40.3863,316.313,114.544
18,CRAT,3.09639,0.810681,8.49002,4.53159,4.91709,8.03522,0.143253,2.4713,4.42961,6.10748,20.0761
19,CROT,17.2031,24.512,12.996,3.88368,12.5076,7.78597,2.16177,9.5381,20.8255,10.527,6.76398
20,CXCL10,2.29941,105.664,65.778,196.435,14.2373,37.7643,56.2198,44.9135,6.51344,4.03918,31.7238
21,CXCL11,0.642556,8.25464,12.7703,15.9079,0.0,14.0366,13.0665,11.491,5.30341,1.12534,17.1679
22,CXCL13,0.0413495,50.2738,12.2053,26.3849,5.16943,33.4686,85.4836,48.6593,0.26274,3.11947,5.12899
23,CYP4F8,0.0480191,3.90855,0.254896,0.0623461,2.12906,0.990511,0.0,0.0,0.71787,0.703976,0.0
24,DBI,412.371,90.4076,305.276,120.508,191.773,101.01,65.8549,62.2924,94.8186,91.1501,180.298
25,DEFB1,3.16262,0.0,2.15744,0.0,0.0,0.0,0.0,7.68559,1.39579,0.348327,1.33472
26,DHCR24,38.1374,7.5602,9.13265,13.6373,10.783,8.20185,11.0616,12.4287,39.1465,23.7835,40.4215
27,DUSP5,2.66143,1.86001,3.80245,3.30187,4.10793,6.61308,1.65224,13.6718,11.8711,3.32927,0.897643
28,FABP7,2.25652,0.475457,0.529954,14.5807,3.78089,5.13367,13.8638,0.385028,2.92749,20.3719,0.256128
29,FASN,124.609,1.5303,27.5321,13.9948,12.8,14.5167,7.60798,2.64918,36.53,18.5795,52.2629
30,FGFR4,2.32432,0.381338,7.75526,0.0,0.136404,0.111696,0.0,0.229108,0.871586,3.64999,0.592591
31,FGL2,2.48121,6.26563,7.28456,9.61383,8.07871,14.4419,5.61145,18.6347,12.79,2.4655,7.74095
32,FOXA1,1.38574,70.669,121.108,0.0,1.29449,14.8548,9.37556,0.921874,58.3932,0.323396,1.38504
33,FOXC1,9.10755,0.656008,5.18437,7.67033,16.4598,10.7698,19.3417,6.7351,19.229,73.7762,48.0158
34,GABRP,8.66089,17.6287,11.243,218.567,336.682,10.0879,493.65,463.373,89.7943,16.815,347.089
35,GALNT7,12.4003,177.51,31.3368,10.3138,12.8103,29.2673,18.1204,15.0174,23.2172,5.88805,24.7308
36,GBP1,41.394,53.7536,194.603,228.894,69.3219,112.329,518.463,181.239,148.097,217.057,183.034
37,GCHFR,0.422531,0.0,0.235974,0.0,0.571889,0.0,0.0,0.152916,0.19197,0.0,0.0872098
38,GPR87,0.951488,0.0,5.54019,0.886211,10.7434,0.134264,0.820931,0.611755,1.04821,0.800444,0.0774054
39,GZMB,1.4986,8.82977,5.68281,12.0025,0.420355,22.9207,4.26578,12.1013,0.501315,0.375847,3.31634
40,HGD,4.21735,2.51632,7.77397,0.255356,0.0,9.23906,0.946356,0.0,6.06733,1.92722,0.248937
41,HTRA1,91.2943,26.2691,28.7803,77.4917,72.5206,64.1031,7.84756,4.80522,107.586,82.3084,38.5339
42,IDO1,0.291424,3.05783,29.6198,23.029,9.82597,22.9377,17.2985,40.1029,1.6029,2.89899,9.38429
43,IGFBP4,13.3498,0.34994,1.63285,3.41105,4.21509,2.86017,1.0725,0.523827,40.6251,5.49812,3.68364
44,IGHM,55.219,94.4486,241.665,607.324,143.437,126.71,250.338,143.454,0.0,1.60124,261.798
45,IGJ,20.0186,361.046,968.825,234.809,427.307,802.568,141.021,278.422,1857.11,4.11939,93.7332
46,IGKC,182.346,1159.8,3663.16,1594.26,1551.45,3790.35,5790.14,1074.44,5230.68,30.4239,3271.85
47,IL23A,0.0490073,0.0,0.0,0.0,0.0,0.360752,0.0,0.0,0.0,0.195698,0.0419799
48,IL33,0.883329,1.50942,2.37094,6.74491,12.198,13.8928,1.2426,11.9004,15.1477,0.20175,0.236836
49,INPP4B,37.1722,31.4489,15.7299,19.7162,32.1903,70.1898,14.8552,56.2819,42.4202,2.2043,7.95597
50,ITM2A,5.13433,18.3801,35.1851,45.3222,45.5061,48.3458,2.49321,31.2676,109.881,7.76191,8.61838
51,JAM2,11.2143,14.3004,6.60453,11.1208,26.8603,25.4863,4.36864,8.83228,43.4717,13.6999,3.97655
52,KCNK5,7.32046,0.0171516,0.248838,0.0901098,1.00709,0.293658,0.357348,0.888863,0.897058,1.51053,4.97692
53,KIAA1324,6.46799,46.4182,35.5909,8.63215,48.1605,125.743,11.1553,7.93069,51.9074,33.3498,0.90376
54,KMO,1.44589,103.886,17.6331,13.1194,2.04653,17.2072,8.45972,15.3557,0.307289,2.1727,3.05037
55,KRT14,118.371,0.0,4.93714,94.5936,50.2108,10.1796,1.92268,2.35315,616.609,43.4194,0.909254
56,KRT16,91.0343,0.0,0.516638,18.4317,9.22974,0.225316,0.0,18.1525,44.915,19.4252,36.6867
57,KRT17,105.347,0.0,5.96539,40.1927,55.6381,15.9813,5.15554,14.5962,1050.05,62.891,137.314
58,KRT6A,54.2242,12.7373,0.693673,41.4118,28.3598,3.20964,4.61346,23.0089,159.842,15.5285,10.3745
59,KRT6B,86.6584,0.0,2.06779,18.6307,17.7626,3.38428,25.9574,35.6332,109.401,6.06978,105.963
60,KYNU,14.7879,42.7789,36.3404,6.18662,2.85669,14.6996,8.77872,20.5119,10.171,3.78312,6.34854
61,LBP,0.573258,0.812294,9.97681,4.28908,0.0904382,0.0361976,0.0,0.266536,0.029159,0.935546,0.24971
62,LHFP,2.0952,0.438417,0.393498,0.921726,2.6772,1.97618,0.0422214,0.986658,5.71544,1.93824,0.461709
63,MFAP4,1.60954,1.54269,1.26006,1.8374,21.5243,15.402,0.0,1.31587,25.4246,2.09456,1.02248
64,MIA,21.0747,0.0,0.902935,14.3171,7.72348,10.6721,0.0,2.02941,20.5634,26.9481,0.580011
65,MID1,36.2366,7.24832,7.77771,8.87254,29.1145,9.3377,18.6038,13.1301,19.6636,51.7699,11.5278
66,MYBL1,4.60362,5.53364,5.3623,13.5046,11.4978,17.2978,8.07362,20.9162,2.93888,21.9376,10.6239
