,gene_short_name,V515-06187-A1,TNT-328,TNT-123,17-00107-9_S10Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks,TNT-16,TNT-211,TNT-220,TNT-265,TNT-326,17-00258-5_S5Aligned_cufflinks
0,ABCA8,1.07397,9.23817,4.65218,54.7654,10.5754,16.1221,61.2901,29.3376,2.63255,0.03846,6.53624
1,ADRA2A,0.196819,0.0,0.11801,2.2659,0.231559,1.7823,0.395498,1.45258,0.860494,0.917432,0.656837
2,AKAP12,3.75243,9.39584,3.79732,17.232,3.77041,14.6167,10.4024,15.2167,4.09434,7.45648,3.78971
3,ALDH3B2,34.613,14.562,5.94829,1.86159,3.69538,303.041,1.13534,0.906112,7.94478,4.99358,0.884181
4,APOD,101.548,32.4682,24.5266,39.7176,55.1521,3948.76,44.836,121.15,3.24389,12.6566,70.1232
5,ART3,19.2103,13.5651,4.06834,0.0,42.777,0.0,8.18542,53.4512,29.0535,12.2091,93.7437
6,ASPN,31.1651,15.9623,24.7914,238.974,28.712,169.588,6.61007,24.9223,6.48189,15.8107,3.796
7,AZGP1,64.9749,39.4368,99.2913,22.0611,109.388,362.406,115.596,129.656,109.885,30.6143,121.947
8,BLVRB,6.57613,1.26662,2.18791,3.8647,3.27189,6.56034,2.0169,1.24432,2.82875,0.0,2.68466
9,C7,0.29143,0.0,0.429463,2.41996,9.23125,16.1138,68.3765,368.54,16.1298,6.06215,10.2181
10,CCL5,1.03708,1.60917,2.78857,0.0,16.1353,2.45249,5.11297,16.9124,6.73407,15.9662,0.0
11,CD36,36.5005,18.5983,15.422,34.8926,88.0077,33.7502,9.93661,25.9295,69.7685,9.50935,28.5228
12,CD52,5.15236,0.0,70.4409,30.9282,16.4224,9.98149,147.344,233.482,370.823,164.909,18.8695
13,CDC20,19.1111,10.2348,22.9872,5.44464,24.4458,4.69409,1.34979,0.0,22.7002,6.93203,23.2123
14,CHI3L1,52.4824,30.5357,60.4696,9.49815,49.4362,2.78629,1.69353,3.21441,22.1167,1.96055,33.0192
15,COL2A1,124.822,147.203,1.02857,0.126291,0.383356,0.0761304,0.726554,0.333077,0.120885,5.7244,1.45759
16,COL5A1,145.37,38.532,9.17789,413.834,46.8246,148.389,11.6013,10.2585,6.09765,27.0058,34.1131
17,COL5A2,202.313,25.6229,26.7663,461.219,95.8911,246.925,8.71812,17.6737,8.16721,23.1253,47.3189
18,CRAT,3.09639,3.56428,6.53709,25.2676,5.72902,23.7683,2.71205,4.51501,2.73679,0.143253,7.21592
19,CROT,17.2031,8.11488,2.65129,6.63046,5.47545,70.0792,55.7176,16.9421,5.86815,2.16177,10.1169
20,CXCL10,2.29941,8.52238,47.5692,2.41063,109.851,2.78132,26.1821,18.2258,56.437,56.2198,16.6569
21,CXCL11,0.642556,0.0,7.40885,0.0,38.6206,0.439709,0.0,1.35964,20.7628,13.0665,7.99702
22,CXCL13,0.0413495,0.0,18.4192,10.4913,10.1775,0.740487,8.82121,26.0305,79.1886,85.4836,2.88489
23,CYP4F8,0.0480191,0.0,0.24915,0.0,0.0,1.66215,0.0,0.0,0.134844,0.0,0.0
24,DBI,412.371,61.6366,347.116,99.9534,139.231,229.267,90.8411,205.258,206.401,65.8549,166.079
25,DEFB1,3.16262,3.21684,1.62327,0.0,1.12128,7.23493,0.0,0.0,5.6752,0.0,1.93523
26,DHCR24,38.1374,9.57038,17.5614,10.5088,35.2547,160.55,0.456036,0.44259,38.6224,11.0616,27.1696
27,DUSP5,2.66143,3.33009,2.76943,14.5782,2.6019,19.7283,2.08853,4.8123,3.72196,1.65224,2.8326
28,FABP7,2.25652,7.26256,19.9956,0.0,711.522,4.11583,0.0475985,2.41871,0.0,13.8638,2.60242
29,FASN,124.609,4.8363,3.01758,45.8677,37.527,955.989,7.09244,5.13523,22.6256,7.60798,68.8053
30,FGFR4,2.32432,0.0,0.907833,1.69929,0.468103,13.4786,0.0,0.0,0.794633,0.0,0.316761
31,FGL2,2.48121,13.4369,3.14344,12.1398,7.09258,3.33994,29.2128,13.1522,6.59034,5.61145,6.23406
32,FOXA1,1.38574,3.16782,1.76614,22.1995,5.58076,106.896,0.0259267,2.55031,3.09199,9.37556,5.23722
33,FOXC1,9.10755,11.1992,29.8336,9.45654,15.7271,4.09098,42.6333,14.558,34.8431,19.3417,38.8687
34,GABRP,8.66089,13.0795,39.4466,16.6435,110.373,2.34216,174.106,204.752,447.857,493.65,475.426
35,GALNT7,12.4003,0.875309,3.91766,30.8292,33.2821,103.531,26.8887,18.5998,11.2769,18.1204,23.3908
36,GBP1,41.394,22.652,239.401,81.1056,132.468,76.4035,61.8333,79.1625,268.497,518.463,98.347
37,GCHFR,0.422531,0.0,0.0,0.0,0.294779,1.26429,0.0,0.0,0.19162,0.0,0.326596
38,GPR87,0.951488,0.0,0.511436,0.0,0.632517,0.616439,0.0,8.70819,0.251076,0.820931,0.0741723
