,gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-274,TNT-297,TNT-288,TNT-313,TNT-13,17-00258-5_S5Aligned_cufflinks,TNT-56,17-00159-1_S1Aligned_cufflinks
0,ABCA8,1.07397,55.5194,15.2433,1.87787,17.0174,10.8786,11.8392,26.684,6.53624,53.5647,1.78272
1,ADRA2A,0.196819,4.31788,1.61281,0.0,0.223559,0.283499,0.166689,0.0,0.656837,0.818513,0.424612
2,AKAP12,3.75243,25.364,20.4997,2.28224,31.1722,16.0737,5.92393,11.3162,3.78971,7.0299,1.92959
3,ALDH3B2,34.613,14.4216,2.31326,4.41511,0.0910294,0.561817,0.129083,8.65127,0.884181,2.74039,6.39422
4,APOD,101.548,136.705,82.3389,1713.18,190.081,110.571,68.6262,194.972,70.1232,3331.85,18.7033
5,ART3,19.2103,0.0,0.372426,9.25212,22.3735,3.38112,5.75635,1.79984,93.7437,4.69583,4.70398
6,ASPN,31.1651,44.1739,41.4929,14.8356,14.1299,117.07,30.4671,31.9125,3.796,27.5234,19.8562
7,AZGP1,64.9749,178.998,5.05436,9.61207,130.727,19.9515,86.0315,36.6707,121.947,112.811,48.381
8,BLVRB,6.57613,5.03918,2.24939,0.0,2.36929,3.17771,2.56904,0.0,2.68466,1.36521,2.25105
9,C7,0.29143,19.783,18.676,0.905123,12.4278,2.26989,2.91216,0.275013,10.2181,9.02806,1.47221
10,CCL5,1.03708,2.22877,5.25453,1.50133,2.51066,1.42702,6.95546,4.13896,0.0,15.388,6.76955
11,CD36,36.5005,182.748,26.3072,6.41063,12.2558,21.039,7.60346,57.7532,28.5228,1102.89,5.67052
12,CD52,5.15236,0.0,2.14786,13.366,9.06244,1.79485,146.87,17.8491,18.8695,120.281,14.8266
13,CDC20,19.1111,0.0,2.38084,3.08772,42.1959,35.8456,4.35256,6.74247,23.2123,15.8234,11.108
14,CHI3L1,52.4824,5.63374,4.30004,6.41977,75.8848,14.8201,122.696,7.76873,33.0192,2.97668,50.8293
15,COL2A1,124.822,0.0,0.613052,0.114744,8.03179,59.1868,0.485265,1.83737,1.45759,0.0649235,0.0353123
