,gene_short_name,V515-06187-A1,TNT-289,TNT-83,TNT-82,TNT-225,TNT-56,TNT-282,17-00157-0_S11Aligned_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-79,TNT-121
0,ABCA8,1.07397,7.5326,5.23671,7.26466,19.7157,53.5647,4.67702,14.9899,0.866845,1.87166,3.96188
1,ADRA2A,0.196819,0.0190859,0.0484197,0.277216,0.313514,0.818513,0.0181278,0.928628,0.325163,0.0,0.0
2,AKAP12,3.75243,16.4518,10.1537,3.91678,11.701,7.0299,3.37991,11.8446,3.71364,1.64424,11.4793
3,ALDH3B2,34.613,0.340181,11.9552,15.0004,0.0,2.74039,14.2492,2.39375,3.38865,41.6244,2.11688
4,APOD,101.548,86.5343,45.576,15.1454,86.1188,3331.85,1.37445,50.4508,35.2126,9.53523,39.2727
5,ART3,19.2103,11.7816,1.52685,0.454395,44.2138,4.69583,1.17116,0.291602,98.6914,2.56881,10.848
6,ASPN,31.1651,99.797,19.273,23.1488,112.768,27.5234,10.9442,27.6337,41.3579,18.7191,56.5755
7,AZGP1,64.9749,22.8969,89.7751,2.01508,68.2212,112.811,58.3199,3.87216,376.117,9.81098,13.4647
8,BLVRB,6.57613,1.22331,6.63001,1.51625,0.938568,1.36521,2.42049,4.43249,3.44108,1.21768,1.03409
9,C7,0.29143,2.7102,1.0988,1.10798,7.47819,9.02806,0.311238,5.99394,0.843649,0.483138,0.278673
10,CCL5,1.03708,1.12449,8.35195,1.19407,2.44293,15.388,7.18878,0.0,4.18384,2.0161,6.49841
11,CD36,36.5005,18.9896,764.051,5.65798,47.8398,1102.89,31.9388,149.636,4.51973,15.2303,39.212
12,CD52,5.15236,1.74964,28.8448,7.70204,54.5642,120.281,28.9883,2.70915,5.31024,15.6613,0.0
13,CDC20,19.1111,40.1167,6.66027,20.8091,16.8549,15.8234,16.4631,14.3517,11.8555,16.0607,15.5014
14,CHI3L1,52.4824,14.14,3.39355,100.533,13.4776,2.97668,10.2047,45.5875,6.08895,9.11061,13.9052
15,COL2A1,124.822,47.6574,0.133147,0.035867,2.20486,0.0649235,0.205631,114.783,0.927259,0.270489,20.653
16,COL5A1,145.37,387.034,51.9884,54.0508,113.037,56.8638,8.00722,174.977,124.721,15.6803,112.066
17,COL5A2,202.313,272.664,109.752,91.1359,173.274,67.1142,9.29631,163.721,174.918,28.0294,133.695
18,CRAT,3.09639,4.72182,9.24005,4.67668,1.33989,1.48946,1.76532,4.3305,5.89456,3.88411,5.60908
19,CROT,17.2031,11.3478,16.4538,21.2497,8.52486,24.9742,17.5883,4.56994,7.40678,16.9931,9.7
20,CXCL10,2.29941,5.73014,54.7547,8.16181,8.15851,383.873,44.8489,2.0649,28.1471,88.0438,25.2886
21,CXCL11,0.642556,0.569746,29.7078,0.708749,0.637592,91.8946,6.8698,0.506209,12.1489,5.25959,0.0
22,CXCL13,0.0413495,1.20819,20.3493,1.32724,6.32163,24.9641,41.0339,4.07947,3.38269,4.22829,0.0
23,CYP4F8,0.0480191,0.773279,9.35929,0.0062017,0.169669,0.0,8.54897,0.0,0.0,0.0,0.464837
24,DBI,412.371,82.4001,121.336,108.571,130.439,601.027,94.6861,133.718,46.0439,202.238,121.927
25,DEFB1,3.16262,1.06093,0.0,38.2433,0.0909353,7.80312,39.0385,1.31565,0.498385,0.128772,0.0
26,DHCR24,38.1374,17.0317,75.9645,63.6668,9.11603,14.4239,103.38,36.7396,26.1331,30.7697,7.18474
27,DUSP5,2.66143,3.52254,14.2512,0.992791,4.35424,8.5035,1.47901,7.80812,2.81645,1.16378,0.0
28,FABP7,2.25652,13.5345,0.405342,9.31424,54.5626,0.131606,254.779,19.8938,0.403842,3.73264,6.4989
29,FASN,124.609,7.68728,155.987,28.679,1.28864,1.08924,13.0917,77.9457,45.6413,15.2351,4.28607
30,FGFR4,2.32432,5.34385,16.3501,0.211097,0.044059,0.0,0.356516,0.919346,1.89591,0.435912,0.156723
31,FGL2,2.48121,3.17752,5.12706,4.99871,7.08488,10.4282,10.6796,4.94528,5.58276,2.55079,4.59367
32,FOXA1,1.38574,0.742095,121.246,0.525582,1.95141,94.0994,6.46327,2.59678,3.05573,0.497145,0.0
33,FOXC1,9.10755,60.9547,0.746015,40.707,23.0437,3.08754,17.1276,22.169,70.048,17.57,31.2379
34,GABRP,8.66089,23.4685,1.4016,1075.05,369.529,24.0058,471.699,12.7787,457.054,888.057,14.2934
35,GALNT7,12.4003,4.23746,25.489,21.5606,29.7218,16.1462,26.6716,16.9598,38.6016,18.839,5.89062
36,GBP1,41.394,208.943,140.442,45.6671,106.125,172.961,203.558,33.4805,191.847,257.492,175.529
37,GCHFR,0.422531,0.223262,0.275027,0.0,0.166209,0.0,0.0,0.333965,0.525515,0.13666,0.0
38,GPR87,0.951488,0.776639,0.163561,0.755197,5.90917,1.19563,2.89692,0.58282,8.13279,0.265473,2.2259
39,GZMB,1.4986,0.211303,1.84185,0.117183,1.69408,8.3297,3.24596,4.43361,0.877462,2.91701,0.0918933
40,HGD,4.21735,1.87352,1.96698,1.94968,3.43558,6.98058,10.2078,5.07111,2.14065,0.746105,2.93827
41,HTRA1,91.2943,82.6346,89.2542,63.3716,176.986,45.2441,4.14392,120.1,76.5058,13.3035,51.2061
42,IDO1,0.291424,0.400109,13.1393,1.13221,3.65246,22.2742,39.4807,0.71657,10.7333,6.60208,1.02489
43,IGFBP4,13.3498,2.99541,1.48589,2.68022,0.558173,0.331702,0.515297,25.3081,9.77887,0.0413832,13.2206
44,IGHM,55.219,8.20091,842.693,3.46944,6.72957,81.8868,466.114,37.0321,189.21,28.8508,5.04659
45,IGJ,20.0186,3.92075,829.929,17.1841,36.8565,668.235,419.336,39.9957,121.97,11.7896,0.109246
46,IGKC,182.346,59.211,11160.5,21.7669,343.623,2605.97,4173.32,412.756,2977.05,313.287,29.2
47,IL23A,0.0490073,0.0,0.265761,0.0,0.0341362,0.0,0.0,0.0591049,0.123057,0.144319,0.0
48,IL33,0.883329,0.925937,0.475432,0.64512,1.94563,2.91535,7.39602,3.79564,0.485035,0.0865132,0.120374
