,gene_short_name,V515-06187-A1,TNT-100,TNT-278,TNT-299,17-00111-2_S4_cufflinks,TNT-85,TNT-267,TNT-26,TNT-272,TNT-177,TNT-310
0,ABCA8,1.07397,10.2128,6.094869999999999,8.87917,3.13612,13.9148,14.0161,4.23117,4.83654,9.29659,1.50603
1,ADRA2A,0.196819,0.218344,0.0,0.321954,1.38168,0.126968,0.0,0.999606,0.0985654,0.268389,0.0916352
2,AKAP12,3.7524300000000004,6.21779,4.77909,8.3169,6.91818,9.65515,34.7771,16.1452,5.09248,2.95332,5.4899
3,ALDH3B2,34.613,3.95048,1.8783400000000001,2.22473,7.41563,3.0914200000000003,0.0,2.6644200000000002,9.05696,8.06703,18.7299
4,APOD,101.54799999999999,169.25099999999998,86.3132,26.3483,53.9198,880.669,0.187089,23.2556,49.2309,139.493,9.0727
5,ART3,19.2103,165.481,0.0,47.8547,0.0,23.9716,26.3716,11.4363,2.09522,4.00471,0.270129
6,ASPN,31.1651,26.1134,11.8417,14.6382,172.13400000000001,34.7116,36.7956,99.8197,20.8546,37.577,70.5823
7,AZGP1,64.9749,6.8005,134.856,144.884,35.5573,35.7304,5.04708,8.42855,12.4713,95.197,4.2314300000000005
8,BLVRB,6.57613,1.16798,0.0,1.49672,5.90259,1.67536,0.0,1.8821400000000001,2.17826,3.74146,1.0593700000000001
9,C7,0.29143,3.11435,19.5287,4.52315,2.30553,2.5042,0.880913,1.5576299999999998,4.18377,0.643378,2.8178799999999997
10,CCL5,1.03708,19.74,8.68593,6.02102,20.6348,8.38996,31.6815,0.328596,2.47439,7.50898,16.908
11,CD36,36.5005,37.6889,36.6558,80.6752,34.8274,17.1364,11.7456,27.8522,32.304,57.821000000000005,12.1829
12,CD52,5.15236,134.336,147.046,14.2911,43.6633,20.4057,198.71400000000003,2.72588,23.3953,35.5903,40.1669
13,CDC20,19.1111,8.904589999999999,1.44794,4.88095,1.21622,9.41933,4.05045,14.2065,9.27132,29.8034,24.5544
14,CHI3L1,52.4824,24.0775,0.1863,21.8619,13.5814,13.6008,0.374262,20.8098,32.4326,11.0398,23.7297
15,COL2A1,124.822,0.112568,0.0171505,8.712819999999999,0.361854,98.027,0.0,105.473,0.0828534,246.99099999999999,0.467588
16,COL5A1,145.37,29.7421,27.0808,36.7694,238.76,45.6382,17.0328,269.70099999999996,51.0628,179.114,116.302
17,COL5A2,202.313,89.4079,52.0394,49.6448,418.121,129.77,1.08796,409.89,69.0274,152.07399999999998,217.037
18,CRAT,3.09639,2.41362,0.810681,4.597519999999999,7.61619,2.57163,5.195790000000001,3.7270300000000005,1.55397,0.280142,4.10859
19,CROT,17.2031,6.30357,24.511999999999997,13.238,9.11234,12.7296,6.6875100000000005,5.29179,7.78673,10.992,3.20186
20,CXCL10,2.29941,240.75900000000001,105.664,37.0993,26.4698,11.7658,14.0868,4.175669999999999,24.671999999999997,36.2774,111.71700000000001
21,CXCL11,0.642556,44.6731,8.25464,5.7525699999999995,9.11358,2.7381599999999997,0.0,0.0,3.9501199999999996,1.8448200000000001,9.69977
22,CXCL13,0.0413495,63.115,50.2738,4.014880000000001,10.9874,4.71574,39.7643,1.4694,5.80509,0.0,12.3011
