,gene_short_name,V515-06187-A1,TNT-8,17-00121-8_S12_cufflinks,TNT-141,TNT-288,17-00258-5_S5Aligned_cufflinks,TNT-239,TNT-321,TNT-293,TNT-3,TNT-132
0,ABCA8,1.07397,21.1353,43.7288,68.4435,10.8786,6.53624,6.36936,1.1144,8.95136,10.6347,13.1009
1,ADRA2A,0.196819,0.398157,1.48313,1.30754,0.283499,0.656837,0.621933,0.0,0.0,0.0,0.0
2,AKAP12,3.75243,2.99765,26.8543,7.14621,16.0737,3.78971,7.24354,4.92338,2.21784,4.93901,10.4829
3,ALDH3B2,34.613,2.43056,14.3473,2.52334,0.561817,0.884181,6.83249,0.0,16.92,0.0,14.3204
4,APOD,101.548,223.767,574.763,265.929,110.571,70.1232,13.232,23.309,9.12083,4.43815,905.295
5,ART3,19.2103,117.309,0.115521,0.0,3.38112,93.7437,0.155376,13.6808,0.088062,0.0,0.0
6,ASPN,31.1651,38.9421,30.3876,101.719,117.07,3.796,7.22931,16.2505,10.0876,66.6747,168.678
7,AZGP1,64.9749,95.0087,177.346,113.574,19.9515,121.947,20.3111,0.95899,42.7428,0.147179,66.7659
8,BLVRB,6.57613,1.69152,5.30482,1.96374,3.17771,2.68466,1.91144,0.204078,3.33307,4.02661,5.60583
9,C7,0.29143,0.131227,23.1979,3.17775,2.26989,10.2181,63.4141,0.683814,6.76911,0.153097,39.2885
10,CCL5,1.03708,55.7447,0.0,13.5378,1.42702,0.0,6.15495,11.291,3.03217,2.44289,37.3394
11,CD36,36.5005,30.3092,104.969,83.8034,21.039,28.5228,25.2455,20.8781,929.357,530.381,220.64
12,CD52,5.15236,50.9935,9.90376,19.6056,1.79485,18.8695,884.803,130.963,12.8056,73.6417,145.508
13,CDC20,19.1111,8.34843,0.207432,0.0477458,35.8456,23.2123,8.33313,21.4337,9.34047,14.1118,1.11341
14,CHI3L1,52.4824,265.642,9.01373,0.177651,14.8201,33.0192,5.80837,1.82655,7.55722,0.522526,0.735538
15,COL2A1,124.822,82.9299,1.51601,0.0,59.1868,1.45759,0.441904,0.701661,0.109884,9.40723,0.0
16,COL5A1,145.37,39.1658,34.9603,76.7943,299.167,34.1131,4.27042,9.65089,32.5814,158.422,86.3879
17,COL5A2,202.313,37.0824,40.3863,68.5018,316.313,47.3189,7.06516,16.1351,33.3523,712.612,115.257
18,CRAT,3.09639,6.76964,4.42961,17.8855,6.10748,7.21592,1.24437,1.25434,2.81116,6.43808,49.512
19,CROT,17.2031,4.73515,20.8255,5.49525,10.527,10.1169,13.1914,5.05084,6.16501,11.175,76.9528
20,CXCL10,2.29941,179.872,6.51344,28.4844,4.03918,16.6569,30.7011,166.337,140.839,7.66528,60.3684
21,CXCL11,0.642556,6.86339,5.30341,17.67,1.12534,7.99702,4.089,8.00378,34.2832,0.457688,0.809112
22,CXCL13,0.0413495,9.36499,0.26274,0.0,3.11947,2.88489,181.287,31.7095,11.5668,3.77996,55.4755
23,CYP4F8,0.0480191,1.05944,0.71787,0.0,0.703976,0.0,0.0,0.459008,73.739,0.0,6.69571
24,DBI,412.371,205.306,94.8186,89.2729,91.1501,166.079,81.9375,37.7055,89.8314,204.278,281.14
25,DEFB1,3.16262,0.372892,1.39579,0.0,0.348327,1.93523,5.28242,0.0,1.13114,0.0,5.28935
26,DHCR24,38.1374,13.1796,39.1465,49.9297,23.7835,27.1696,9.51047,2.13481,25.4588,14.8069,36.6759
27,DUSP5,2.66143,6.2158,11.8711,20.0687,3.32927,2.8326,2.56,0.626178,14.419,3.81803,10.068
28,FABP7,2.25652,10.3147,2.92749,0.0,20.3719,2.60242,4.89626,0.594718,0.0,0.0,0.260094
29,FASN,124.609,14.5119,36.53,74.7024,18.5795,68.8053,4.16085,2.64205,27.7993,17.1223,209.081
