,gene_short_name,V515-06187-A1,17-00140-2_S2_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-166,TNT-121,TNT-304,TNT-111,TNT-4,17-00280-7_S4Aligned_cufflinks,TNT-238,TNT-65
0,ABCA8,1.07397,4.1809,0.866845,8.04194,3.96188,3.65161,14.8562,37.7185,1.96104,3.0725,9.97539
1,ADRA2A,0.196819,0.974128,0.325163,0.172444,0.0,0.0,1.03917,4.02106,0.330945,1.4667,0.0
2,AKAP12,3.75243,1.05279,3.71364,11.4176,11.4793,1.82451,15.7074,17.7207,1.98968,3.91094,3.85601
3,ALDH3B2,34.613,25.7805,3.38865,11.936,2.11688,1.69334,575.453,42.5699,75.8959,3.84186,1.98891
4,APOD,101.548,4.29317,35.2126,59.2515,39.2727,171.879,10225.5,2583.61,25.2137,8.408,88.1029
5,ART3,19.2103,9.72088,98.6914,20.1966,10.848,181.128,0.175385,0.0,0.0257765,3.04012,4.04652
6,ASPN,31.1651,10.1457,41.3579,58.4273,56.5755,54.125,130.499,315.638,12.2085,7.42943,110.468
7,AZGP1,64.9749,60.7934,376.117,279.162,13.4647,300.948,1218.82,298.58,140.03,15.3658,93.0043
8,BLVRB,6.57613,3.62414,3.44108,3.27208,1.03409,4.18302,7.4401,7.36637,4.51035,0.465605,5.94933
9,C7,0.29143,0.0,0.843649,1.81001,0.278673,1.88416,2.59044,8.53666,1.81111,22.8424,2.48137
10,CCL5,1.03708,0.0,4.18384,2.824,6.49841,9.38296,1.97053,13.303,0.0,17.8954,4.23368
11,CD36,36.5005,44.8475,4.51973,87.4212,39.212,40.2595,94.8575,100.477,13.3628,17.0593,140.793
12,CD52,5.15236,6.33001,5.31024,16.3847,0.0,85.9483,24.4018,48.9762,23.5318,394.821,17.9
13,CDC20,19.1111,9.59021,11.8555,15.1124,15.5014,16.8101,3.73782,2.96756,8.15715,3.99635,10.3176
14,CHI3L1,52.4824,31.4808,6.08895,33.8687,13.9052,5.51471,7.57694,5.7134,3.32298,0.843568,0.527097
15,COL2A1,124.822,0.0222491,0.927259,26.8688,20.653,219.151,0.0,0.149369,0.0195043,0.0,0.146536
16,COL5A1,145.37,87.0433,124.721,226.456,112.066,19.8955,219.154,225.483,44.028,5.36673,87.8912
17,COL5A2,202.313,50.7685,174.918,340.562,133.695,47.714,458.394,308.353,82.8314,8.55259,111.348
18,CRAT,3.09639,6.3588,5.89456,7.41778,5.60908,1.28039,70.4712,14.7289,24.1691,5.162,0.619898
19,CROT,17.2031,18.901,7.40678,5.9184,9.7,4.93747,61.6759,47.6286,15.8075,8.11357,9.34461
