,gene_short_name,V515-06187-A1,TNT-14,TNT-259,TNT-227,17-00101-5_S19Aligned_cufflinks,TNT-293,TNT-269,17-00119-5_S5_cufflinks,TNT-54,TNT-62,TNT-13
0,ABCA8,1.07397,1.68679,7.3788,0.876496,0.969992,8.95136,9.26357,4.38939,58.0877,6.79048,26.684
1,ADRA2A,0.196819,0.104517,0.0622414,0.949996,0.117883,0.0,0.0965076,1.83867,0.409427,0.338394,0.0
2,AKAP12,3.75243,2.16044,10.4078,4.58848,3.1793,2.21784,11.6325,12.7491,14.9386,11.6889,11.3162
3,ALDH3B2,34.613,5.56607,2.39888,0.0,9.692,16.92,1.61673,2.70957,9.50673,0.220724,8.65127
4,APOD,101.548,10.9277,16.1725,13.7345,100.422,9.12083,17.7364,24.8244,745.2,305.796,194.972
5,ART3,19.2103,31.6725,2.83927,53.495,2.1157,0.088062,33.2699,0.22605,3.22085,30.5461,1.79984
6,ASPN,31.1651,9.50099,59.7246,14.4329,23.3006,10.0876,31.201,12.4372,17.7205,53.1139,31.9125
7,AZGP1,64.9749,31.8473,0.0,9.19289,21.4744,42.7428,58.5012,8.47719,84.4769,169.289,36.6707
8,BLVRB,6.57613,7.24225,1.77913,3.1071,1.61289,3.33307,0.896836,2.12154,1.03403,2.32839,0.0
9,C7,0.29143,0.419171,1.07913,4.99071,0.0133464,6.76911,6.17838,415.24,70.8319,0.517314,0.275013
10,CCL5,1.03708,6.55539,24.4902,26.5416,1.71611,3.03217,3.93235,0.0,27.218,6.88384,4.13896
11,CD36,36.5005,19.3488,36.2403,17.3573,9.85445,929.357,33.2638,39.1275,53.4162,14.0796,57.7532
12,CD52,5.15236,20.7734,178.9,480.968,2.09752,12.8056,24.7288,114.693,206.158,22.6616,17.8491
13,CDC20,19.1111,23.4345,10.0606,10.3227,18.1155,9.34047,10.3008,2.32812,3.85495,14.1862,6.74247
14,CHI3L1,52.4824,14.9398,17.9288,7.42916,5.95113,7.55722,22.9312,1.54651,7.7664,18.4108,7.76873
15,COL2A1,124.822,0.862205,0.0,0.609106,1.56677,0.109884,3.86954,0.0473942,0.348718,68.7017,1.83737
16,COL5A1,145.37,30.3356,40.4405,27.5166,99.6617,32.5814,91.8004,23.2912,20.0147,60.9466,150.34
17,COL5A2,202.313,32.3981,44.154,44.3055,144.19,33.3523,109.732,27.0054,24.5429,69.9364,118.141
18,CRAT,3.09639,12.9929,4.1209,2.44925,1.68144,2.81116,4.34124,3.23364,8.03522,2.38769,24.9574
19,CROT,17.2031,3.99236,13.6541,7.98903,13.1921,6.16501,6.66257,10.7352,7.78597,6.43286,10.412
20,CXCL10,2.29941,29.3048,384.484,195.173,3.2994,140.839,41.6064,17.0314,37.7643,48.9493,7.04369
21,CXCL11,0.642556,6.51251,110.538,17.6549,0.923691,34.2832,5.55652,11.8683,14.0366,6.47729,0.0
22,CXCL13,0.0413495,7.50828,627.493,31.79,0.491278,11.5668,13.0681,30.9216,33.4686,19.8752,37.576
23,CYP4F8,0.0480191,0.0,0.184965,0.276966,0.0,73.739,0.585101,0.0,0.990511,0.467952,0.0
