,gene_short_name,V515-06187-A1,TNT-133,17-00110-9_S15Aligned_cufflinks,TNT-122,TNT-231,TNT-154,TNT-271,TNT-186,TNT-304,17-00113-4_S11_cufflinks,TNT-195
0,ABCA8,1.07397,75.7969,0.943892,88.0911,3.8827800000000003,0.0856442,19.3019,7.3715399999999995,3.65161,15.3024,30.7235
1,ADRA2A,0.196819,0.598187,0.184313,0.408986,1.04498,0.0192695,0.10425,0.8646780000000001,0.0,1.17333,0.22465
2,AKAP12,3.7524300000000004,6.895230000000001,0.618114,15.4194,8.51694,2.75083,9.75869,15.2398,1.8245099999999999,3.4871199999999996,21.7435
3,ALDH3B2,34.613,15.4526,21.1902,23.2977,10.2769,2.17118,0.048503899999999996,4.60629,1.69334,0.0,1.14113
4,APOD,101.54799999999999,152.924,0.8471620000000001,1264.04,279.533,28.4883,18.8019,97.3845,171.87900000000002,364.67199999999997,604.388
5,ART3,19.2103,16.1857,1.7045400000000002,0.293089,0.0,83.5134,8.40444,63.2559,181.128,34.7165,9.550980000000001
6,ASPN,31.1651,99.3177,8.79653,81.4283,29.2722,41.7317,13.9833,390.19,54.125,24.2658,55.6316
7,AZGP1,64.9749,81.6664,71.6802,235.84599999999998,316.875,496.663,22.8252,1.162,300.948,1.9705,268.497
8,BLVRB,6.57613,3.9630300000000003,3.21779,2.1386700000000003,2.59229,4.764390000000001,2.31812,0.0,4.18302,1.3641299999999998,4.4294
9,C7,0.29143,10.3059,0.145938,112.07600000000001,3.3833699999999998,0.06028340000000001,16.2719,9.532119999999999,1.8841599999999998,1.0167,32.9843
10,CCL5,1.03708,11.4843,0.0,4.87955,4.01815,28.65,5.6622,13.7499,9.38296,18.6956,35.4418
11,CD36,36.5005,123.501,4.6544,122.99799999999999,21.4639,27.1698,17.8922,39.8265,40.2595,17.7305,82.4024
12,CD52,5.15236,56.1498,4.91219,124.007,72.6561,2.16431,56.5306,29.1361,85.9483,10.3919,161.817
13,CDC20,19.1111,9.27248,36.4559,0.59246,24.5621,5.5199300000000004,15.4698,11.82,16.8101,13.2209,6.47849
14,CHI3L1,52.4824,0.874603,0.8237700000000001,13.0996,0.0151373,10.7803,2.46457,4.8263300000000005,5.51471,14.252,23.4869
15,COL2A1,124.822,0.0,20.099,0.8434200000000001,0.111929,0.08732410000000002,2.82534,8.11158,219.15099999999998,40.7805,2.00073
16,COL5A1,145.37,68.0468,58.6796,117.70299999999999,87.8761,42.7856,17.2159,194.264,19.8955,68.1556,144.053
17,COL5A2,202.313,83.052,36.052,98.3706,82.9914,47.9239,18.8124,232.826,47.714,101.402,131.694
18,CRAT,3.09639,2.03308,7.7762199999999995,12.8588,4.96534,2.39557,3.4731,4.23051,1.28039,2.69333,8.42276
19,CROT,17.2031,6.0225,4.61565,15.5807,10.7887,14.3596,12.1045,17.5123,4.937469999999999,5.8188,21.0095
20,CXCL10,2.29941,6.53556,4.36531,3.21177,39.3975,33.6507,37.9725,6.97502,191.918,26.4345,96.1112
21,CXCL11,0.642556,0.0,0.758763,1.2700799999999999,14.1107,4.87385,13.7021,4.2247,27.7435,5.58739,15.4312
22,CXCL13,0.0413495,4.97297,0.6656380000000001,41.2549,52.2161,0.332221,40.998000000000005,2.33203,38.1041,7.414060000000001,37.6107
23,CYP4F8,0.048019099999999995,0.0,0.0,5.13195,0.010545,0.0,3.5366800000000005,0.358575,0.0,0.0,0.439154
24,DBI,412.371,172.40099999999998,126.947,132.105,105.985,147.326,128.253,100.988,151.89700000000002,79.2129,141.929
25,DEFB1,3.16262,0.41695600000000005,0.0,2.30633,6.56505,0.0,3.92841,0.0,3.25182,0.0,2.00535
26,DHCR24,38.1374,64.1324,56.8192,40.2215,52.1513,11.695,7.864560000000001,3.76716,9.19186,4.51013,15.8205
27,DUSP5,2.6614299999999997,0.0,1.6976,7.6909600000000005,12.2249,2.10403,3.62355,1.65471,0.5457,2.2951200000000003,4.06994
28,FABP7,2.25652,0.0,0.0770102,1.3582100000000001,0.166318,0.357028,5.5578199999999995,6.08378,18.7847,7.1750300000000005,3.66641
29,FASN,124.609,36.0783,174.738,23.2501,11.447000000000001,52.6081,6.34887,21.0554,2.77579,36.0866,3.79399
30,FGFR4,2.32432,0.416916,3.48613,13.4066,0.0,0.327716,2.49633,0.5648810000000001,0.0,0.484282,1.3025
31,FGL2,2.48121,10.1991,1.53472,7.33065,11.6829,4.60628,6.751810000000001,3.35606,4.1749,3.70126,13.2934
32,FOXA1,1.38574,101.26700000000001,94.6264,51.809,107.32,0.0,4.95611,0.0,2.8839599999999996,1.0287899999999999,11.4149
33,FOXC1,9.10755,0.0,158.749,10.7241,5.24262,26.0512,67.9424,30.2613,23.4572,44.431000000000004,27.8721
34,GABRP,8.66089,0.0,4.8082199999999995,29.9995,40.2214,827.9060000000001,86.5647,336.445,963.3739999999999,461.20599999999996,255.80599999999998
35,GALNT7,12.4003,89.2718,60.2869,167.87900000000002,45.0253,27.9426,16.9407,17.261,22.0505,17.6967,18.406
