,gene_short_name,V515-06187-A1,TNT-274,17-00271-8_S16Aligned_cufflinks,TNT-275,TNT-104,TNT-113,17-00243-6_S9Aligned_cufflinks,TNT-35,17-00156-7_S13Aligned_cufflinks,TNT-115,TNT-58
0,ABCA8,1.07397,1.87787,43.1719,4.6609,45.0011,6.802,39.5772,16.6291,0.0,1.17188,0.0
1,ADRA2A,0.196819,0.0,3.57135,0.629714,0.0269278,1.08531,2.18221,0.981889,0.0,0.172526,0.0
2,AKAP12,3.75243,2.28224,19.8129,4.96091,14.8787,12.1145,18.6305,12.7669,1.81444,2.92812,6.38661
3,ALDH3B2,34.613,4.41511,111.376,4.76105,134.5,4.95691,6.11671,73.376,0.0,7.47531,3.93287
4,APOD,101.548,1713.18,1551.18,27.9631,16699.3,207.709,222.147,4574.95,147.881,39.9082,100.746
5,ART3,19.2103,9.25212,1.09477,30.6309,0.0,4.94533,0.615523,0.887626,0.0,121.997,0.0
6,ASPN,31.1651,14.8356,74.2365,30.936,93.4608,14.3444,114.857,16.949,0.943362,9.31432,46.5225
7,AZGP1,64.9749,9.61207,545.611,0.675944,438.903,17.8315,63.7556,367.6,99.7284,239.319,3.73036
8,BLVRB,6.57613,0.0,20.7679,0.581462,5.2299,3.42228,4.767,4.5501,0.0,3.141,0.152304
9,C7,0.29143,0.905123,53.4988,4.90062,28.9865,1.1787,24.3373,24.8307,0.0,1.27179,0.0578067
10,CCL5,1.03708,1.50133,8.84458,15.9024,10.9451,31.8243,11.5664,20.5653,0.0,11.9906,0.0831699
11,CD36,36.5005,6.41063,333.499,28.1601,126.937,31.2782,228.418,17.7795,0.0,12.2627,8.52927
12,CD52,5.15236,13.366,25.8897,41.958,29.5778,157.061,53.8862,127.084,0.0,76.2585,0.0
13,CDC20,19.1111,3.08772,2.31267,12.0694,0.0650128,50.0459,0.705943,6.23362,0.0,14.9562,10.7521
14,CHI3L1,52.4824,6.41977,15.912,67.2472,1.02785,12.6521,20.1565,8.07722,0.0,32.3937,0.872301
15,COL2A1,124.822,0.114744,2.00287,0.233095,0.222123,0.0,0.413376,0.182251,19.4398,0.0,2.1362
16,COL5A1,145.37,20.4873,124.007,48.0836,47.013,13.4753,204.403,63.0796,17.3758,23.0038,9.41421
17,COL5A2,202.313,25.2911,327.722,82.2014,87.7715,46.0854,352.65,92.2053,4.19188,62.6035,34.2399
18,CRAT,3.09639,1.1721,17.4382,2.18717,22.0853,19.5146,9.94746,21.7538,0.0,2.79293,0.44309
19,CROT,17.2031,2.95221,30.4582,6.23139,53.6453,14.5467,15.6503,11.1741,0.0,9.14946,13.287
20,CXCL10,2.29941,325.168,25.2463,69.4529,10.2874,290.819,15.3334,75.8828,0.0,324.884,0.0
21,CXCL11,0.642556,35.8203,9.27016,15.7259,3.13731,36.1052,8.71699,14.3433,0.0,47.492,0.0
22,CXCL13,0.0413495,3.7417,14.9373,95.0912,1.02818,155.442,5.55191,54.2101,0.0,92.5893,0.583879
23,CYP4F8,0.0480191,0.285248,1.0552,0.0434614,1.23534,0.0,4.40353,21.2027,0.0,0.980398,0.0
24,DBI,412.371,228.334,474.352,83.2867,300.908,147.908,68.6185,176.509,289.493,264.715,221.397
25,DEFB1,3.16262,0.0,3.06845,0.0,0.0,0.0,0.460946,0.424812,0.0,4.61075,0.0
26,DHCR24,38.1374,13.0241,118.108,3.70262,43.5835,9.0368,27.6291,166.309,54.2997,12.9893,8.59466
27,DUSP5,2.66143,0.0136769,8.58584,3.85473,1.31806,6.14911,12.0934,12.0404,0.0,5.81537,0.667679
28,FABP7,2.25652,0.847085,220.93,2.26773,1.60248,0.0481688,1.58738,18.504,0.0,0.359381,5.85369
29,FASN,124.609,2.94285,620.299,2.44852,68.8874,2.73138,68.9283,149.665,38.7403,5.79216,12.6822
30,FGFR4,2.32432,1.53433,0.310467,0.464383,9.37874,0.0,0.411328,7.89793,21.8094,0.486908,2.10194
31,FGL2,2.48121,3.15432,17.2755,6.60571,9.87236,14.189,8.60775,12.85,5.3298,9.94236,5.94705
32,FOXA1,1.38574,2.99895,86.8978,2.06513,106.805,0.184148,36.4209,67.0924,0.0,1.13544,0.0
33,FOXC1,9.10755,122.176,7.0417,35.8189,1.76016,38.9412,10.9936,3.63065,41.8526,14.4227,5.94384
34,GABRP,8.66089,0.0,19.9296,2.98012,7.01519,427.715,12.1721,16.394,467.371,284.178,153.087
35,GALNT7,12.4003,56.3736,28.8384,25.0354,359.37,32.677,25.96,35.5447,0.0,19.2697,5.65318
36,GBP1,41.394,289.868,153.619,129.284,36.3345,282.29,243.862,150.278,0.0,455.047,47.5023
37,GCHFR,0.422531,0.0,0.39272,0.0,0.200914,0.0,0.737737,0.266475,0.0,0.498815,0.108339
38,GPR87,0.951488,0.0,2.26563,1.75632,0.679588,0.0,0.461623,0.895159,0.0,0.799525,3.10629
39,GZMB,1.4986,17.3612,4.72534,23.4412,4.66964,37.6163,5.20754,24.6299,0.0,7.92905,5.09338
40,HGD,4.21735,3.81734,23.7782,0.400065,0.0,0.0,3.72477,65.5599,509.638,1.74789,0.15142
41,HTRA1,91.2943,10.6053,221.531,40.4474,55.0878,22.529,381.336,92.7031,22.5573,27.1148,10.4044
42,IDO1,0.291424,10.4194,9.55688,21.4754,6.65627,39.3203,3.18678,32.8161,81.5059,35.7412,0.0
43,IGFBP4,13.3498,0.249551,57.7482,0.682398,1.3245,2.82959,42.5683,4.31,0.0,0.507902,0.824005
44,IGHM,55.219,5.69487,336.897,10.3864,62.7591,268.148,0.0,1198.52,0.0,497.514,1.92816
45,IGJ,20.0186,71.1838,446.489,52.2957,363.991,155.94,501.588,1876.16,45.924,970.496,1.072
46,IGKC,182.346,137.195,2529.53,3001.92,1291.64,5559.58,8367.3,9549.54,5465.48,13844.9,8.48629
47,IL23A,0.0490073,0.0,0.0,0.993935,0.0,0.0,0.173444,1.05001,0.0,0.353477,0.0
48,IL33,0.883329,0.489173,7.25951,1.72384,9.4019,1.15545,5.03543,5.41154,0.0,1.235,0.0
49,INPP4B,37.1722,1.88666,30.2415,6.37368,22.5329,46.5469,31.7449,51.7312,106.644,21.6641,7.69827
50,ITM2A,5.13433,3.16641,67.9227,4.27775,22.7929,24.0381,51.0475,65.8933,0.0,24.0371,0.0
51,JAM2,11.2143,2.83227,20.8529,15.0548,17.7037,3.97831,29.0208,10.3561,0.0,3.7899,0.212544
52,KCNK5,7.32046,1.75965,0.399446,0.499491,0.138828,0.340533,0.144255,0.263253,1.21499,0.3558,0.19696
53,KIAA1324,6.46799,90.2955,28.2916,4.49825,94.4477,22.8026,20.3606,43.7592,148.542,1.5275,22.2454
54,KMO,1.44589,10.4531,11.096,5.56545,84.6825,5.52365,4.74343,32.8196,0.0,5.41624,0.0
55,KRT14,118.371,2.43413,111.476,0.480743,7.57929,78.6777,242.393,41.4358,598.006,0.551354,263.761
56,KRT16,91.0343,1.62035,6.56254,14.768,2.51083,50.6836,22.3233,4.00903,806.332,9.47135,394.447
57,KRT17,105.347,5.19917,169.488,45.0247,5.32091,29.8449,355.93,68.6014,533.669,2.63747,219.698
58,KRT6A,54.2242,0.0,26.0383,19.9684,1.85392,120.645,172.062,27.403,2951.55,4.88946,25.8248
59,KRT6B,86.6584,0.254395,11.7636,32.3569,1.52658,54.9532,39.5844,9.36462,870.998,4.74016,73.8423
60,KYNU,14.7879,0.778669,91.1552,25.2469,4.02898,10.4972,20.7412,55.9354,0.0,10.3495,9.77141
61,LBP,0.573258,0.0905424,30.34,0.923182,0.0,3.7789,6.95762,83.8717,0.0,1.52584,0.0
62,LHFP,2.0952,0.0521159,6.7217,0.457348,1.52339,0.132844,3.41442,2.93139,0.0,0.434194,0.0553289
63,MFAP4,1.60954,0.786759,41.3266,1.06111,5.78497,0.0752608,29.2715,12.7635,0.0,2.83094,0.0
64,MIA,21.0747,34.0697,0.9598,1.96921,0.0,0.0,3.57539,0.979784,0.0,0.0,8.05077
65,MID1,36.2366,2.04568,14.4386,33.4136,11.3684,8.52765,19.4964,15.4661,0.0,4.80063,23.0528
66,MYBL1,4.60362,3.60008,1.77691,27.5883,3.33825,30.3994,2.26514,5.63029,0.0,40.5034,23.7178
67,NEK2,17.1321,63.7908,2.752,35.4596,5.31843,52.4039,0.583537,8.08047,0.0,29.8304,101.637
68,NTN3,0.0235576,0.0,0.0437792,0.0,0.0,0.0,0.0282448,0.0,0.0,0.0,0.0
69,OGN,1.27872,18.3085,87.9032,16.5318,75.4417,13.3446,45.421,18.1458,0.0,5.27671,15.4139
70,PI3,0.0,0.0,0.0,32.9457,0.0,5.16361,0.475885,5.283,0.0,0.239601,1.67842
71,PLEKHB1,14.583,1.83653,0.613339,1.08019,0.0,2.2507,1.3299,0.63253,0.0,0.0,3.98637
72,PMAIP1,1.62393,0.67479,2.49894,18.0211,0.0,0.0,0.588906,0.874236,0.0,1.4331,0.0
73,PSMB9,0.0,14.263,0.0,8.42006,1.03818,36.9638,0.0,26.5213,0.0,33.166,1.84833
74,PTGDS,1.49063,1.15817,32.4277,0.967315,3.24923,3.52126,30.8632,12.153,48.2798,1.71847,0.0
75,RARRES3,10.7933,23.9283,31.4226,17.9254,0.484158,44.1109,35.4719,98.7372,12.3192,87.5903,0.0
76,RTP4,0.772275,6.0925,0.11482,1.22941,0.141051,0.0,1.58515,1.96157,0.0,9.50501,0.0
77,S100A1,196.638,1.48327,8.57125,1.16736,0.42918,1.81255,3.77957,1.32554,17.41,10.6195,5.76327
78,S100A7,6.57916,0.0,116.993,90.0918,1.58306,3.07872,8.42588,248.222,0.0,519.99,5.43066
79,S100A8,3.49996,1.33806,98.5857,122.693,0.543271,0.0,10.0399,63.2431,93.6986,96.5914,0.0
80,SCRG1,23.222,2.34735,0.162206,5.17798,0.0664366,0.0,0.0701932,0.523831,0.0,0.127307,6.73151
81,SEMA3C,89.189,5.41211,68.2334,17.9353,302.366,7.66827,61.3215,67.2934,0.966204,9.35257,5.29232
82,SERHL2,5.02658,0.250193,574.127,0.578943,185.863,3.6563,19.9281,293.1,0.0,5.03873,0.873811
83,SFRP1,35.3095,9.59906,4.81089,3.59658,1.4594,5.04083,6.72849,5.33297,1.76527,4.03801,1.5655
84,SIDT1,0.909009,5.93605,8.51488,1.18936,37.3052,19.857,9.63895,22.7414,0.0,8.53938,0.0
85,SOX10,3.84721,2.35841,0.709455,0.0,0.0,0.112743,1.24586,0.107528,6.01954,0.812829,3.62671
86,SPDEF,0.141878,1.32696,3.82498,0.0,4.93238,0.0,2.54524,5.95793,0.0,0.27778,0.0
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.10835,0.15053,0.0,0.0,0.0
88,SPTLC2,28.7351,28.8158,49.9711,34.6502,128.374,30.3911,28.4852,103.125,0.0,74.6543,4.23276
89,SRPX,12.4869,3.21448,30.9274,3.03912,8.902,1.47954,14.706,4.10102,0.0,1.54925,0.102861
90,TCF7L1,11.751,5.90954,6.54781,10.4131,4.85791,33.2491,10.1506,4.14047,0.0,3.03016,22.6994
91,TFAP2B,1.18026,6.5627,8.73733,0.61462,92.3299,0.0,6.80933,54.4317,0.0,0.0,2.55401
92,THBS4,8.67223,1.26906,11.9439,14.4432,219.377,13.0656,12.7354,12.3296,15.8989,5.97353,1.68743
93,TNFAIP8,5.97248,21.9263,10.2542,33.8904,15.4619,25.5365,14.1535,48.9079,0.0,44.1196,8.26238
94,TNFSF10,24.8142,43.8558,18.0931,12.908,138.212,45.1035,35.1596,58.3945,173.023,75.9663,9.4525
95,TRIM68,7.67148,0.938093,5.80638,0.257472,0.804498,4.45127,2.74792,5.67323,0.0,2.44961,0.251423
96,TSC22D3,7.24202,2.93125,125.664,22.2448,20.2465,4.53729,25.3356,97.5977,139.387,16.9798,0.0487917
97,UBD,0.0,0.0,0.0,14.192,5.86496,128.718,15.4556,68.3502,0.0,76.5536,0.0
98,UGT2B28,0.0,1.94622,533.419,0.261173,2.69945,0.0,0.441908,29.6108,0.0,0.0,0.0
99,XBP1,26.3139,67.6655,71.8158,54.7944,740.561,91.84,91.5877,194.516,106.709,97.6865,29.2347
100,ZCCHC24,0.75321,0.0424641,2.3669,0.0777878,0.0629094,0.0,2.24439,1.99204,0.0,0.691361,0.00572394
