,gene_short_name,V515-06187-A1,TNT-183,17-00109-8_S14Aligned_cufflinks,TNT-53,17-00118-2_S5Aligned_cufflinks,TNT-35,TNT-83,TNT-325,17-00152-9_S4Aligned_cufflinks,TNT-133,17-00116-9_S2Aligned_cufflinks
0,ABCA8,1.07397,3.81267,94.4592,12.7482,24.4092,16.6291,5.23671,1.18126,0.0,75.7969,140.738
1,ADRA2A,0.196819,0.0692467,1.63707,0.0994593,3.19406,0.981889,0.0484197,0.271846,0.0,0.598187,1.49006
2,AKAP12,3.75243,8.8469,66.8964,2.72579,14.0568,12.7669,10.1537,2.18196,0.0,6.89523,40.9208
3,ALDH3B2,34.613,38.4582,1.05881,0.586071,3.29726,73.376,11.9552,34.041,159.809,15.4526,20.2994
4,APOD,101.548,180.386,86.1078,108.636,185.233,4574.95,45.576,61.197,103.494,152.924,620.083
5,ART3,19.2103,0.0,0.0,384.85,0.0,0.887626,1.52685,0.0,69.9625,16.1857,1.45964
6,ASPN,31.1651,31.8742,162.196,30.5316,16.7672,16.949,19.273,42.7013,0.0,99.3177,32.8564
7,AZGP1,64.9749,358.987,24.7804,239.112,72.8132,367.6,89.7751,1.1505,8.79505,81.6664,241.997
8,BLVRB,6.57613,6.52662,8.9017,2.26478,1.83964,4.5501,6.63001,1.88931,3.61882,3.96303,2.14395
9,C7,0.29143,4.16189,5.02005,2.08852,24.8705,24.8307,1.0988,0.823103,15.638,10.3059,53.7412
10,CCL5,1.03708,5.85183,22.5121,29.3619,3.56215,20.5653,8.35195,47.0465,0.0,11.4843,0.0
11,CD36,36.5005,18.5522,142.117,35.2486,119.607,17.7795,764.051,13.2001,0.0,123.501,138.951
12,CD52,5.15236,27.578,25.0099,13.2733,2.24641,127.084,28.8448,320.424,95.8765,56.1498,6.29418
13,CDC20,19.1111,14.1964,0.0,16.9774,0.0,6.23362,6.66027,10.4861,0.0,9.27248,0.614254
14,CHI3L1,52.4824,7.02127,0.551848,47.8151,12.7697,8.07722,3.39355,9.58912,21.7065,0.874603,4.86842
15,COL2A1,124.822,0.157197,0.0370783,31.4125,0.0,0.182251,0.133147,0.0,0.0,0.0,1.07359
16,COL5A1,145.37,128.517,246.791,57.393,52.95,63.0796,51.9884,32.1635,18.0897,68.0468,23.4437
17,COL5A2,202.313,149.547,326.53,62.0196,24.6562,92.2053,109.752,39.9525,0.0,83.052,53.7108
18,CRAT,3.09639,7.31713,11.3141,4.58664,10.0312,21.7538,9.24005,9.22186,0.0,2.03308,5.82666
19,CROT,17.2031,25.6105,48.7835,3.75997,11.6213,11.1741,16.4538,7.78834,85.5425,6.0225,26.6722
