,gene_short_name,V515-06187-A1,TNT-56,17-00163-6_S7Aligned_cufflinks,TNT-299,17-00121-8_S12_cufflinks,TNT-8,TNT-45,TNT-310,TNT-283,TNT-27,17-00100-2_S17Aligned_cufflinks
0,ABCA8,1.07397,53.5647,0.770148,8.87917,43.7288,21.1353,69.6238,1.50603,5.2258,1.91007,2.66909
1,ADRA2A,0.196819,0.818513,0.0657186,0.321954,1.48313,0.398157,0.0861151,0.0916352,0.0,0.0,0.798061
2,AKAP12,3.75243,7.0299,1.2357,8.3169,26.8543,2.99765,3.04989,5.4899,3.43169,4.47033,2.76503
3,ALDH3B2,34.613,2.74039,2.97506,2.22473,14.3473,2.43056,0.95725,18.7299,2.42432,0.0,8.7501
4,APOD,101.548,3331.85,57.5143,26.3483,574.763,223.767,41.6221,9.0727,134.119,12.3754,62.3337
5,ART3,19.2103,4.69583,80.791,47.8547,0.115521,117.309,13.519,0.270129,1.3833,277.391,1.80536
6,ASPN,31.1651,27.5234,20.2771,14.6382,30.3876,38.9421,28.9929,70.5823,148.766,32.3565,28.774
7,AZGP1,64.9749,112.811,59.9678,144.884,177.346,95.0087,34.8083,4.23143,6.21353,141.167,6.16124
8,BLVRB,6.57613,1.36521,8.24161,1.49672,5.30482,1.69152,0.760424,1.05937,3.29221,1.6655,1.94294
9,C7,0.29143,9.02806,1.01661,4.52315,23.1979,0.131227,0.936934,2.81788,1.21194,2.97795,1.22548
10,CCL5,1.03708,15.388,0.0,6.02102,0.0,55.7447,1.6864,16.908,13.0437,1.16553,10.7786
11,CD36,36.5005,1102.89,19.9552,80.6752,104.969,30.3092,35.4874,12.1829,37.5269,9.68515,9.62158
12,CD52,5.15236,120.281,4.53303,14.2911,9.90376,50.9935,10.8174,40.1669,9.26877,3.93531,8.39226
13,CDC20,19.1111,15.8234,33.2568,4.88095,0.207432,8.34843,8.45575,24.5544,9.88436,11.3276,16.0755
14,CHI3L1,52.4824,2.97668,183.889,21.8619,9.01373,265.642,22.6098,23.7297,1.13169,21.1168,6.07407
15,COL2A1,124.822,0.0649235,8.5081,8.71282,1.51601,82.9299,42.1761,0.467588,1.11024,110.558,1.0013
16,COL5A1,145.37,56.8638,40.8437,36.7694,34.9603,39.1658,30.6618,116.302,30.5437,27.9453,75.7083
17,COL5A2,202.313,67.1142,41.0361,49.6448,40.3863,37.0824,58.7905,217.037,90.4159,66.3652,115.303
