,gene_short_name,V515-06187-A1,TNT-271,TNT-14,TNT-225,17-00141-7_S14Aligned_cufflinks,17-00280-7_S4Aligned_cufflinks,TNT-45,TNT-104,TNT-219,TNT-310,17-00174-6_S15Aligned_cufflinks
0,ABCA8,1.07397,19.3019,1.68679,19.7157,10.5345,1.96104,69.6238,45.0011,11.2782,1.50603,1.75724
1,ADRA2A,0.196819,0.10425,0.104517,0.313514,1.99187,0.330945,0.0861151,0.0269278,0.249391,0.0916352,0.124234
2,AKAP12,3.75243,9.75869,2.16044,11.701,12.7907,1.98968,3.04989,14.8787,10.7207,5.4899,3.42367
3,ALDH3B2,34.613,0.0485039,5.56607,0.0,3.54849,75.8959,0.95725,134.5,6.22725,18.7299,14.6796
4,APOD,101.548,18.8019,10.9277,86.1188,24.0673,25.2137,41.6221,16699.3,53.501,9.0727,20.8128
5,ART3,19.2103,8.40444,31.6725,44.2138,0.899191,0.0257765,13.519,0.0,1.06999,0.270129,9.87219
6,ASPN,31.1651,13.9833,9.50099,112.768,73.3324,12.2085,28.9929,93.4608,27.237,70.5823,4.02062
7,AZGP1,64.9749,22.8252,31.8473,68.2212,44.7696,140.03,34.8083,438.903,100.254,4.23143,130.353
8,BLVRB,6.57613,2.31812,7.24225,0.938568,3.11342,4.51035,0.760424,5.2299,4.64941,1.05937,6.01812
9,C7,0.29143,16.2719,0.419171,7.47819,5.79552,1.81111,0.936934,28.9865,122.073,2.81788,4.77522
10,CCL5,1.03708,5.6622,6.55539,2.44293,2.20958,0.0,1.6864,10.9451,18.7046,16.908,3.03196
11,CD36,36.5005,17.8922,19.3488,47.8398,8.51482,13.3628,35.4874,126.937,16.0908,12.1829,93.6689
12,CD52,5.15236,56.5306,20.7734,54.5642,3.28078,23.5318,10.8174,29.5778,123.578,40.1669,12.6645
13,CDC20,19.1111,15.4698,23.4345,16.8549,3.57694,8.15715,8.45575,0.0650128,3.64656,24.5544,11.3567
14,CHI3L1,52.4824,2.46457,14.9398,13.4776,49.6044,3.32298,22.6098,1.02785,0.043036,23.7297,205.727
15,COL2A1,124.822,2.82534,0.862205,2.20486,6.22864,0.0195043,42.1761,0.222123,4.67146,0.467588,0.0402543
16,COL5A1,145.37,17.2159,30.3356,113.037,179.457,44.028,30.6618,47.013,47.8762,116.302,116.103
17,COL5A2,202.313,18.8124,32.3981,173.274,139.583,82.8314,58.7905,87.7715,49.8738,217.037,95.3652
18,CRAT,3.09639,3.4731,12.9929,1.33989,13.306,24.1691,1.07721,22.0853,3.71347,4.10859,5.54589
19,CROT,17.2031,12.1045,3.99236,8.52486,11.8014,15.8075,5.64661,53.6453,18.417,3.20186,18.127
20,CXCL10,2.29941,37.9725,29.3048,8.15851,1.77745,50.6872,43.0563,10.2874,25.0919,111.717,3.53341
21,CXCL11,0.642556,13.7021,6.51251,0.637592,0.511637,10.4707,13.4844,3.13731,4.67742,9.69977,0.954956
22,CXCL13,0.0413495,40.998,7.50828,6.32163,0.10165,11.7207,1.80252,1.02818,13.2194,12.3011,1.16539
23,CYP4F8,0.0480191,3.53668,0.0,0.169669,0.0,0.562419,0.113976,1.23534,0.0,0.0,1.4973
24,DBI,412.371,128.253,145.792,130.439,41.5496,128.964,61.8241,300.908,76.507,156.67,69.2038
25,DEFB1,3.16262,3.92841,2.80244,0.0909353,0.928965,1.20338,0.17211,0.0,0.0,1.00589,7.12312
26,DHCR24,38.1374,7.86456,86.3851,9.11603,8.79103,57.3044,6.56267,43.5835,68.512,31.9861,82.1604
27,DUSP5,2.66143,3.62355,6.16071,4.35424,9.1031,1.67691,2.98412,1.31806,6.56814,13.7116,2.09469
28,FABP7,2.25652,5.55782,1.2532,54.5626,0.729541,2.61417,19.2089,1.60248,0.0,1.21934,0.0
29,FASN,124.609,6.34887,69.7638,1.28864,110.826,284.185,7.90951,68.8874,53.3196,3.16328,92.0659
30,FGFR4,2.32432,2.49633,0.547024,0.044059,1.23672,7.21331,0.676813,9.37874,0.0,0.0814148,0.56631
31,FGL2,2.48121,6.75181,3.21642,7.08488,2.91686,9.03129,2.29528,9.87236,6.80796,4.93389,2.71377
32,FOXA1,1.38574,4.95611,0.205656,1.95141,22.9237,166.256,4.18446,106.805,91.4593,1.50615,3.41172
33,FOXC1,9.10755,67.9424,32.1182,23.0437,18.3546,1.51493,82.3449,1.76016,0.735023,11.1416,29.4622
34,GABRP,8.66089,86.5647,841.158,369.529,145.533,5.34289,429.953,7.01519,0.0,187.597,1.23011
35,GALNT7,12.4003,16.9407,7.97859,29.7218,17.1514,58.7644,34.2443,359.37,42.2046,19.2626,11.8491
36,GBP1,41.394,131.35,144.463,106.125,92.1187,101.148,124.809,36.3345,95.0405,338.003,135.247
37,GCHFR,0.422531,0.113979,0.0,0.166209,0.0,0.738543,0.342741,0.200914,0.0,0.178939,1.3619
38,GPR87,0.951488,3.44062,0.958196,5.90917,0.0,0.14515,3.55765,0.679588,0.96726,3.60517,4.33496
39,GZMB,1.4986,7.38486,2.58473,1.69408,0.557907,3.98824,3.96746,4.66964,4.36542,30.9291,1.89397
40,HGD,4.21735,29.4843,0.59584,3.43558,3.67167,83.8595,0.926136,0.0,5.92545,1.62972,9.09241
41,HTRA1,91.2943,12.6539,16.6235,176.986,106.556,47.9654,23.6414,55.0878,58.4941,34.0357,38.6136
42,IDO1,0.291424,23.1689,5.88304,3.65246,0.683896,4.65914,4.55117,6.65627,11.2391,38.4846,21.1778
43,IGFBP4,13.3498,0.158976,2.86242,0.558173,37.1521,6.40402,0.610431,1.3245,2.90062,0.379314,18.0548
44,IGHM,55.219,56.023,144.626,6.72957,0.0,125.662,60.1804,62.7591,168.525,16.8415,13.6533
45,IGJ,20.0186,155.781,39.4167,36.8565,196.381,139.326,113.147,363.991,240.695,50.8293,20.4514
46,IGKC,182.346,924.153,9184.18,343.623,2241.32,1796.2,5655.79,1291.64,8029.29,198.732,533.576
47,IL23A,0.0490073,0.0,0.0,0.0341362,0.239204,0.158848,0.226546,0.0,0.0,0.378659,0.294789
48,IL33,0.883329,3.25231,0.458886,1.94563,1.8586,0.668787,0.455691,9.4019,5.45782,1.29778,2.28455
49,INPP4B,37.1722,7.73724,12.2175,14.5634,25.1375,28.0165,10.6943,22.5329,47.1711,16.2271,19.0709
50,ITM2A,5.13433,8.80392,4.72404,33.9687,6.32241,17.5325,7.11034,22.7929,46.4792,6.27794,5.51003
51,JAM2,11.2143,5.62351,2.37097,14.1057,10.662,25.3646,6.61829,17.7037,6.03214,5.41631,5.43396
52,KCNK5,7.32046,0.537532,1.8995,0.961422,1.93303,0.341336,2.44618,0.138828,0.0989018,1.14972,3.38603
53,KIAA1324,6.46799,41.736,0.938493,2.77433,4.31167,106.109,47.721,94.4477,81.4101,3.70693,7.09193
54,KMO,1.44589,9.41635,10.7046,7.30783,3.59431,17.2094,5.06744,84.6825,4.78878,8.79561,1.93187
55,KRT14,118.371,2.72891,2.10125,125.86,36.7775,20.0869,3.86085,7.57929,0.12216,12.8933,708.661
56,KRT16,91.0343,46.2,24.2042,16.3566,53.5803,0.975338,16.9141,2.51083,2.40834,383.517,2146.49
57,KRT17,105.347,14.5706,48.217,84.9056,207.128,40.3273,73.8602,5.32091,0.0,521.369,1735.05
58,KRT6A,54.2242,119.982,10.656,39.4656,95.3601,2.17874,8.03037,1.85392,0.0207626,634.612,3704.04
