,gene_short_name,V515-06187-A1,TNT-85,TNT-194,TNT-80,17-00103-7_S3Aligned_cufflinks,TNT-234,TNT-27,17-00269-8_S12Aligned_cufflinks,TNT-49,TNT-121,TNT-313
0,ABCA8,1.07397,13.9148,13.5865,22.0769,17.5334,4.49278,1.91007,10.5754,46.919,3.96188,11.8392
1,ADRA2A,0.196819,0.126968,0.308895,0.0131794,1.10499,0.631742,0.0,0.231559,0.128019,0.0,0.166689
2,AKAP12,3.75243,9.65515,10.3491,2.49283,7.26494,13.1758,4.47033,3.77041,3.20903,11.4793,5.92393
3,ALDH3B2,34.613,3.09142,2.39483,58.4224,4.13598,1.06207,0.0,3.69538,9.3486,2.11688,0.129083
4,APOD,101.548,880.669,20.1919,819.493,23.9471,158.972,12.3754,55.1521,473.105,39.2727,68.6262
5,ART3,19.2103,23.9716,91.6903,0.0,8.81953,45.8656,277.391,42.777,31.5205,10.848,5.75635
6,ASPN,31.1651,34.7116,138.753,14.3354,75.8475,10.3409,32.3565,28.712,46.012,56.5755,30.4671
7,AZGP1,64.9749,35.7304,56.8318,29.0099,2.74417,199.492,141.167,109.388,53.7874,13.4647,86.0315
8,BLVRB,6.57613,1.67536,2.52836,4.11966,4.59856,5.22607,1.6655,3.27189,0.257732,1.03409,2.56904
9,C7,0.29143,2.5042,2.26536,0.597286,3.04093,8.1721,2.97795,9.23125,3.14767,0.278673,2.91216
10,CCL5,1.03708,8.38996,4.14474,17.3256,0.0,20.0857,1.16553,16.1353,50.3871,6.49841,6.95546
11,CD36,36.5005,17.1364,52.8562,29.4388,25.8122,6.57482,9.68515,88.0077,71.9816,39.212,7.60346
12,CD52,5.15236,20.4057,30.274,157.474,22.1463,203.874,3.93531,16.4224,92.3369,0.0,146.87
13,CDC20,19.1111,9.41933,12.6889,10.063,10.9556,15.2527,11.3276,24.4458,4.09511,15.5014,4.35256
