,gene_short_name,V515-06187-A1,TNT-113,17-00113-4_S11_cufflinks,TNT-81,17-00269-8_S12Aligned_cufflinks,17-00119-5_S5_cufflinks,TNT-152,TNT-1,TNT-18,17-00124-3_S12Aligned_cufflinks,17-00099-0_S15_cufflinks
0,ABCA8,1.07397,6.802,15.3024,1.02282,10.5754,4.38939,28.3027,47.3435,10.5629,19.1922,2.37642
1,ADRA2A,0.196819,1.08531,1.17333,0.0734277,0.231559,1.83867,0.562541,0.120636,0.337047,0.730596,1.096
2,AKAP12,3.75243,12.1145,3.48712,3.73951,3.77041,12.7491,19.0715,4.00906,10.1055,8.16971,3.23311
3,ALDH3B2,34.613,4.95691,0.0,3.98663,3.69538,2.70957,134.872,8.46557,1.59088,0.523783,15.2987
4,APOD,101.548,207.709,364.672,14.2743,55.1521,24.8244,3238.15,6.4374,126.366,26.8377,3.69936
5,ART3,19.2103,4.94533,34.7165,495.448,42.777,0.22605,0.0,0.194101,3.08163,28.6469,1.17291
6,ASPN,31.1651,14.3444,24.2658,10.681,28.712,12.4372,89.7133,38.4711,127.877,11.0376,2.13178
7,AZGP1,64.9749,17.8315,1.9705,482.125,109.388,8.47719,678.875,13.4994,0.397821,51.8361,223.53
8,BLVRB,6.57613,3.42228,1.36413,1.83979,3.27189,2.12154,9.51428,23.8841,0.272242,1.62151,8.86817
9,C7,0.29143,1.1787,1.0167,0.195679,9.23125,415.24,41.1971,0.277686,11.973,17.412,51.6333
10,CCL5,1.03708,31.8243,18.6956,8.62397,16.1353,0.0,12.9609,5.85725,84.2759,4.40667,9.70031
11,CD36,36.5005,31.2782,17.7305,13.4593,88.0077,39.1275,35.2708,12.6625,68.0838,19.8167,54.5393
12,CD52,5.15236,157.061,10.3919,16.5691,16.4224,114.693,82.2545,28.6878,238.279,23.7771,125.986
13,CDC20,19.1111,50.0459,13.2209,22.4607,24.4458,2.32812,4.50527,10.419,11.1176,7.08699,33.8445
14,CHI3L1,52.4824,12.6521,14.252,147.222,49.4362,1.54651,0.786117,5.10433,18.0344,4.73689,17.7339
15,COL2A1,124.822,0.0,40.7805,0.299693,0.383356,0.0473942,0.0,0.0,0.0,0.0,0.0618147
16,COL5A1,145.37,13.4753,68.1556,24.3791,46.8246,23.2912,108.138,136.494,103.642,58.7164,26.4936
17,COL5A2,202.313,46.0854,101.402,58.7019,95.8911,27.0054,322.448,181.264,167.425,38.1792,15.8177
18,CRAT,3.09639,19.5146,2.69333,2.05338,5.72902,3.23364,31.2169,8.60203,4.53159,14.2827,64.8689
19,CROT,17.2031,14.5467,5.8188,4.48754,5.47545,10.7352,26.5717,8.03371,3.88368,12.7956,4.61783
20,CXCL10,2.29941,290.819,26.4345,121.374,109.851,17.0314,11.4495,18.7691,196.435,7.52891,11.4388
21,CXCL11,0.642556,36.1052,5.58739,8.79376,38.6206,11.8683,0.0,4.29667,15.9079,1.41623,2.75201
22,CXCL13,0.0413495,155.442,7.41406,9.30649,10.1775,30.9216,15.7339,16.4184,26.3849,0.0,28.2446
23,CYP4F8,0.0480191,0.0,0.0,0.0,0.0,0.0,15.6348,0.0,0.0623461,0.0,1.3096
24,DBI,412.371,147.908,79.2129,212.48,139.231,67.8746,565.778,88.0907,120.508,21.4471,354.092
25,DEFB1,3.16262,0.0,0.0,0.684066,1.12128,1.44756,0.0,0.0,0.0,0.0,3.46354
26,DHCR24,38.1374,9.0368,4.51013,34.6919,35.2547,4.19175,94.5633,85.4416,13.6373,3.58161,70.036
27,DUSP5,2.66143,6.14911,2.29512,2.93328,2.6019,11.8552,2.44871,4.9567,3.30187,6.59482,7.49855
28,FABP7,2.25652,0.0481688,7.17503,0.310352,711.522,0.571087,235.759,0.0,14.5807,0.0,0.0870091
29,FASN,124.609,2.73138,36.0866,33.2144,37.527,20.8026,218.648,71.0935,13.9948,77.9135,50.4576
30,FGFR4,2.32432,0.0,0.484282,2.73629,0.468103,1.18964,15.2911,2.29939,0.0,0.0,0.908697
31,FGL2,2.48121,14.189,3.70126,4.93832,7.09258,13.6287,11.0158,4.36658,9.61383,9.62687,5.3003
32,FOXA1,1.38574,0.184148,1.02879,0.618512,5.58076,8.50756,26.0362,61.0078,0.0,0.181899,1.55697
33,FOXC1,9.10755,38.9412,44.431,40.557,15.7271,27.3498,0.79214,0.485797,7.67033,1.64669,26.2312
34,GABRP,8.66089,427.715,461.206,181.197,110.373,22.5738,18.8446,0.0561244,218.567,269.497,7.99554
35,GALNT7,12.4003,32.677,17.6967,41.0609,33.2821,12.5529,26.0401,42.6968,10.3138,5.79069,22.437
36,GBP1,41.394,282.29,75.7986,169.347,132.468,218.482,80.4756,324.355,228.894,90.1077,69.2423
37,GCHFR,0.422531,0.0,0.0,0.216991,0.294779,0.572959,1.02698,0.707112,0.0,0.0,0.963942
38,GPR87,0.951488,0.0,1.64538,0.404947,0.632517,0.173787,0.0,7.8752,0.886211,0.0,0.738929
39,GZMB,1.4986,37.6163,2.88027,8.98988,3.95032,4.79188,0.0,15.83,12.0025,1.12176,3.81677
40,HGD,4.21735,0.0,1.52329,5.39687,0.353446,0.634893,92.871,15.9397,0.255356,7.50475,1.41826
41,HTRA1,91.2943,22.529,48.8061,20.6326,40.5043,75.21,142.922,36.8865,77.4917,49.397,17.2681
42,IDO1,0.291424,39.3203,3.82295,7.92839,30.934,11.7061,0.843558,6.85727,23.029,29.3957,3.97728
43,IGFBP4,13.3498,2.82959,12.6485,0.6105,8.82504,18.3406,7.36641,16.5499,3.41105,45.4229,4.1304
44,IGHM,55.219,268.148,0.0,61.1895,0.0,0.0,329.702,62.2751,607.324,152.941,0.0
45,IGJ,20.0186,155.94,33.6241,177.291,113.142,848.005,568.173,22.5761,234.809,159.86,285.552
46,IGKC,182.346,5559.58,606.637,1570.97,1150.07,5155.81,12039.2,396.902,1594.26,2589.9,13083.9
47,IL23A,0.0490073,0.0,0.619544,0.305157,6.55169,0.749035,0.0,0.0712402,0.0,0.0,0.299525
48,IL33,0.883329,1.15545,2.72849,0.335632,2.21377,10.104,9.99245,0.878771,6.74491,20.4372,2.63393
49,INPP4B,37.1722,46.5469,8.61467,11.2516,6.02461,42.2099,40.6346,63.8126,19.7162,31.2191,10.0338
50,ITM2A,5.13433,24.0381,6.46899,6.43805,9.43338,46.61,61.5291,5.07621,45.3222,37.63,12.7708
51,JAM2,11.2143,3.97831,6.65171,1.8402,5.72804,17.4894,14.2398,2.33896,11.1208,11.1531,2.30041
52,KCNK5,7.32046,0.340533,0.70677,1.13588,0.511742,0.260677,0.0,0.0888601,0.0901098,1.67404,0.46282
53,KIAA1324,6.46799,22.8026,10.0233,19.5404,5.38614,29.6361,70.4997,1.43479,8.63215,11.4137,3.25853
54,KMO,1.44589,5.52365,13.7969,3.92246,4.13572,9.29535,34.7041,0.897208,13.1194,8.75989,15.1432
55,KRT14,118.371,78.6777,161.559,2.13292,166.331,8.22153,9.55122,1.22776,94.5936,11.6942,11.9138
56,KRT16,91.0343,50.6836,25.2559,20.101,73.708,0.399931,8.6163,14.0226,18.4317,48.806,114.52
57,KRT17,105.347,29.8449,332.388,46.0299,231.475,2.72871,8.75166,25.952,40.1927,91.1917,198.33
58,KRT6A,54.2242,120.645,16.0704,0.884666,150.395,5.65316,20.8353,1012.79,41.4118,334.97,94.1318
59,KRT6B,86.6584,54.9532,38.2187,5.00267,137.776,0.318894,2.54416,30.132,18.6307,105.533,156.107
60,KYNU,14.7879,10.4972,23.7754,5.33408,142.601,6.0292,107.061,371.408,6.18662,2.09661,8.68389
