,gene_short_name,V515-06187-A1,17-00143-5_S2Aligned_cufflinks,17-00099-0_S15_cufflinks,TNT-79,TNT-73,17-00101-5_S19Aligned_cufflinks,TNT-227,TNT-141,17-00139-2_S9Aligned_cufflinks,TNT-274,TNT-67
0,ABCA8,1.07397,0.809124,2.37642,1.87166,7.78546,0.969992,0.876496,68.4435,3.646,1.87787,38.3062
1,ADRA2A,0.196819,0.0726771,1.096,0.0,0.224004,0.117883,0.949996,1.30754,0.21834,0.0,0.801187
2,AKAP12,3.75243,0.951425,3.23311,1.64424,6.59172,3.1793,4.58848,7.14621,2.68102,2.28224,27.6458
3,ALDH3B2,34.613,19.1452,15.2987,41.6244,8.95057,9.692,0.0,2.52334,27.7129,4.41511,33.9557
4,APOD,101.548,10.9531,3.69936,9.53523,2468.97,100.422,13.7345,265.929,8.01472,1713.18,850.293
5,ART3,19.2103,0.422378,1.17291,2.56881,37.2875,2.1157,53.495,0.0,1.5872,9.25212,0.535039
6,ASPN,31.1651,3.69349,2.13178,18.7191,20.8746,23.3006,14.4329,101.719,9.94837,14.8356,175.454
7,AZGP1,64.9749,85.8713,223.53,9.81098,4.87138,21.4744,9.19289,113.574,1.50857,9.61207,391.013
8,BLVRB,6.57613,3.81422,8.86817,1.21768,0.227389,1.61289,3.1071,1.96374,1.37106,0.0,3.14037
9,C7,0.29143,0.0263386,51.6333,0.483138,3.75633,0.0133464,4.99071,3.17775,0.645289,0.905123,52.2921
10,CCL5,1.03708,1.59721,9.70031,2.0161,5.16692,1.71611,26.5416,13.5378,2.11983,1.50133,15.48
11,CD36,36.5005,30.0312,54.5393,15.2303,29.3908,9.85445,17.3573,83.8034,14.3767,6.41063,175.374
12,CD52,5.15236,2.29825,125.986,15.6613,22.8146,2.09752,480.968,19.6056,2.72221,13.366,39.5948
13,CDC20,19.1111,48.5456,33.8445,16.0607,6.30304,18.1155,10.3227,0.0477458,34.2285,3.08772,0.482607
14,CHI3L1,52.4824,0.326855,17.7339,9.11061,17.4637,5.95113,7.42916,0.177651,127.334,6.41977,4.42293
15,COL2A1,124.822,0.0149873,0.0618147,0.270489,0.257811,1.56677,0.609106,0.0,0.569296,0.114744,0.0
16,COL5A1,145.37,70.9135,26.4936,15.6803,28.7026,99.6617,27.5166,76.7943,28.6234,20.4873,143.662
