,gene_short_name,V515-06187-A1,TNT-83,17-00107-9_S10Aligned_cufflinks,TNT-299,17-00141-7_S14Aligned_cufflinks,TNT-166,TNT-293,TNT-80,17-00103-7_S3Aligned_cufflinks,17-00121-8_S12_cufflinks,17-00116-9_S2Aligned_cufflinks
0,ABCA8,1.07397,5.23671,54.7654,8.87917,10.5345,8.04194,8.95136,22.0769,17.5334,43.7288,140.738
1,ADRA2A,0.196819,0.0484197,2.2659,0.321954,1.99187,0.172444,0.0,0.0131794,1.10499,1.48313,1.49006
2,AKAP12,3.75243,10.1537,17.232,8.3169,12.7907,11.4176,2.21784,2.49283,7.26494,26.8543,40.9208
3,ALDH3B2,34.613,11.9552,1.86159,2.22473,3.54849,11.936,16.92,58.4224,4.13598,14.3473,20.2994
4,APOD,101.548,45.576,39.7176,26.3483,24.0673,59.2515,9.12083,819.493,23.9471,574.763,620.083
5,ART3,19.2103,1.52685,0.0,47.8547,0.899191,20.1966,0.088062,0.0,8.81953,0.115521,1.45964
6,ASPN,31.1651,19.273,238.974,14.6382,73.3324,58.4273,10.0876,14.3354,75.8475,30.3876,32.8564
7,AZGP1,64.9749,89.7751,22.0611,144.884,44.7696,279.162,42.7428,29.0099,2.74417,177.346,241.997
8,BLVRB,6.57613,6.63001,3.8647,1.49672,3.11342,3.27208,3.33307,4.11966,4.59856,5.30482,2.14395
9,C7,0.29143,1.0988,2.41996,4.52315,5.79552,1.81001,6.76911,0.597286,3.04093,23.1979,53.7412
10,CCL5,1.03708,8.35195,0.0,6.02102,2.20958,2.824,3.03217,17.3256,0.0,0.0,0.0
11,CD36,36.5005,764.051,34.8926,80.6752,8.51482,87.4212,929.357,29.4388,25.8122,104.969,138.951
12,CD52,5.15236,28.8448,30.9282,14.2911,3.28078,16.3847,12.8056,157.474,22.1463,9.90376,6.29418
13,CDC20,19.1111,6.66027,5.44464,4.88095,3.57694,15.1124,9.34047,10.063,10.9556,0.207432,0.614254
14,CHI3L1,52.4824,3.39355,9.49815,21.8619,49.6044,33.8687,7.55722,2.58198,49.4244,9.01373,4.86842
15,COL2A1,124.822,0.133147,0.126291,8.71282,6.22864,26.8688,0.109884,0.0,0.114516,1.51601,1.07359
16,COL5A1,145.37,51.9884,413.834,36.7694,179.457,226.456,32.5814,21.4176,134.716,34.9603,23.4437
17,COL5A2,202.313,109.752,461.219,49.6448,139.583,340.562,33.3523,28.2956,139.918,40.3863,53.7108
18,CRAT,3.09639,9.24005,25.2676,4.59752,13.306,7.41778,2.81116,1.06871,7.02926,4.42961,5.82666
19,CROT,17.2031,16.4538,6.63046,13.238,11.8014,5.9184,6.16501,29.4058,9.5261,20.8255,26.6722
20,CXCL10,2.29941,54.7547,2.41063,37.0993,1.77745,11.8491,140.839,89.9105,34.2045,6.51344,5.26548
21,CXCL11,0.642556,29.7078,0.0,5.75257,0.511637,4.78148,34.2832,17.3448,3.2623,5.30341,1.43686
22,CXCL13,0.0413495,20.3493,10.4913,4.01488,0.10165,2.45979,11.5668,22.875,18.8237,0.26274,2.66206
23,CYP4F8,0.0480191,9.35929,0.0,2.01316,0.0,0.0,73.739,8.74314,0.0,0.71787,17.0825
24,DBI,412.371,121.336,99.9534,210.795,41.5496,270.719,89.8314,260.025,71.6972,94.8186,156.991
25,DEFB1,3.16262,0.0,0.0,1.58477,0.928965,0.57757,1.13114,0.0,0.0,1.39579,2.59282
26,DHCR24,38.1374,75.9645,10.5088,7.01083,8.79103,90.6298,25.4588,50.5079,43.1474,39.1465,33.11
27,DUSP5,2.66143,14.2512,14.5782,4.16149,9.1031,7.79961,14.419,12.2729,3.92321,11.8711,16.321
28,FABP7,2.25652,0.405342,0.0,8.85291,0.729541,4.6843,0.0,0.0,0.0,2.92749,0.903434
29,FASN,124.609,155.987,45.8677,2.40165,110.826,46.1734,27.7993,30.1502,48.321,36.53,21.7879
30,FGFR4,2.32432,16.3501,1.69929,2.10462,1.23672,0.964925,7.47289,13.3853,1.37858,0.871586,0.706173
31,FGL2,2.48121,5.12706,12.1398,4.40214,2.91686,5.57745,5.11273,12.4533,12.1423,12.79,7.72553
32,FOXA1,1.38574,121.246,22.1995,1.74342,22.9237,2.54634,141.468,145.191,4.26885,58.3932,64.6535
33,FOXC1,9.10755,0.746015,9.45654,41.9665,18.3546,26.0138,1.44127,1.18777,16.9357,19.229,10.4657
34,GABRP,8.66089,1.4016,16.6435,3.87573,145.533,599.52,0.892506,58.7474,589.325,89.7943,132.79
35,GALNT7,12.4003,25.489,30.8292,14.0614,17.1514,11.9974,27.0483,54.0238,18.8425,23.2172,47.2601
36,GBP1,41.394,140.442,81.1056,101.957,92.1187,528.756,105.467,176.493,204.124,148.097,222.501
37,GCHFR,0.422531,0.275027,0.0,0.0,0.0,0.134001,0.0,0.0906165,0.28362,0.19197,0.0822039
38,GPR87,0.951488,0.163561,0.0,3.18233,0.0,0.296476,0.345952,2.53209,0.0857639,1.04821,0.775497
39,GZMB,1.4986,1.84185,1.17603,1.18102,0.557907,0.587438,1.97432,18.5237,6.38493,0.501315,2.04875
40,HGD,4.21735,1.96698,0.0,5.35348,3.67167,8.57844,9.78665,59.0274,1.21189,6.06733,3.62948
41,HTRA1,91.2943,89.2542,226.924,29.4327,106.556,135.492,17.1681,11.7082,113.456,107.586,112.858
42,IDO1,0.291424,13.1393,0.0,5.30639,0.683896,6.50028,5.33777,10.3645,8.94561,1.6029,3.61266
43,IGFBP4,13.3498,1.48589,63.5614,0.510139,37.1521,8.68595,0.428086,0.690163,19.3841,40.6251,37.0916
44,IGHM,55.219,842.693,119.759,3.53685,0.0,34.2624,78.512,86.5714,362.516,0.0,0.0
45,IGJ,20.0186,829.929,35.7426,33.8066,196.381,14.8734,192.232,74.4326,336.337,1857.11,462.423
46,IGKC,182.346,11160.5,1401.24,90.5595,2241.32,116.018,728.295,668.733,5557.59,5230.68,3684.97
47,IL23A,0.0490073,0.265761,0.0,0.444703,0.239204,0.351562,0.373443,0.0,0.0,0.0,0.0
48,IL33,0.883329,0.475432,7.38764,0.618799,1.8586,0.900668,0.348064,1.69859,3.651,15.1477,8.58171
49,INPP4B,37.1722,16.3814,18.2547,7.82662,25.1375,18.4035,10.0589,50.2206,15.0117,42.4202,44.9221
50,ITM2A,5.13433,15.1301,34.7873,10.8233,6.32241,7.83349,7.60788,24.3508,12.7233,109.881,74.617
51,JAM2,11.2143,4.95407,26.792,7.39559,10.662,3.25852,1.93265,5.70313,8.33709,43.4717,38.1645
52,KCNK5,7.32046,0.599162,0.0,0.959165,1.93303,7.58505,0.533724,0.0,0.806314,0.897058,0.880842
53,KIAA1324,6.46799,40.057,2.88067,17.3401,4.31167,63.5315,37.4749,94.6725,0.733045,51.9074,38.8219
54,KMO,1.44589,4.60907,3.68603,11.9762,3.59431,2.38074,11.3961,33.757,7.71199,0.307289,3.63311
55,KRT14,118.371,3.08023,30.8586,25.6825,36.7775,47.2158,0.118683,5.44961,0.0353425,616.609,216.08
56,KRT16,91.0343,1.06099,68.4428,56.8354,53.5803,133.144,0.450311,6.32739,0.109901,44.915,257.9
57,KRT17,105.347,5.62649,48.4916,26.0235,207.128,245.901,0.10699,10.6754,888.039,1050.05,579.032
58,KRT6A,54.2242,0.0177209,48.3622,44.845,95.3601,76.9669,1.64438,0.308611,14.0728,159.842,954.628
59,KRT6B,86.6584,0.492023,20.933,37.9913,46.9562,116.964,0.044044,1.82451,25.4113,109.401,358.395
60,KYNU,14.7879,11.6398,2.84132,5.05969,4.16904,3.64302,31.2463,21.3514,14.0936,10.171,6.18401
61,LBP,0.573258,3.66205,0.0,15.463,0.0597122,0.718695,4.93654,1.27204,18.0162,0.029159,0.0
62,LHFP,2.0952,2.28782,5.20087,0.406424,3.25874,3.70826,0.488182,1.01609,1.44218,5.71544,5.35082
63,MFAP4,1.60954,3.27463,57.6063,1.01978,13.5576,7.15011,0.652204,3.71103,11.969,25.4246,25.4718
64,MIA,21.0747,0.59864,7.68816,36.2504,9.90153,53.5438,0.51859,0.0,0.0,20.5634,11.8188
65,MID1,36.2366,14.9831,8.02387,19.6522,32.269,39.7655,21.0676,17.8698,16.711,19.6636,23.0088
66,MYBL1,4.60362,13.5443,0.866525,63.3801,16.2934,21.8306,23.7944,9.31624,2.44602,2.93888,2.02718
67,NEK2,17.1321,10.8591,1.70088,32.8681,11.1588,6.9051,25.7407,33.0849,16.632,0.954536,0.774146
68,NTN3,0.0235576,0.0,0.0,0.0,0.294553,0.0,0.0,0.0,0.0,0.115061,0.0
69,OGN,1.27872,8.2237,74.2179,14.3594,18.2678,8.7343,19.9502,24.4999,33.1891,59.6459,78.5414
70,PI3,0.0,0.271929,4.58679,19.5937,0.242034,1.22656,0.630875,0.0,56.2403,4.09301,12.7654
71,PLEKHB1,14.583,0.557688,0.0,2.56001,9.12156,3.85211,0.13943,2.19269,7.59394,1.97379,1.59507
72,PMAIP1,1.62393,0.719421,0.0,4.82886,0.240557,0.803867,0.839744,0.0,1.49607,0.931723,0.32492
73,PSMB9,0.0,21.4879,0.0,5.5591,0.0,12.0206,8.91372,11.7228,0.0,0.0,0.0
74,PTGDS,1.49063,0.75678,6.37324,2.39453,6.30433,1.78555,0.314559,3.91785,1.97478,21.2047,21.3059
75,RARRES3,10.7933,169.065,12.6041,7.02467,8.45957,9.4068,43.7136,64.2713,16.534,41.5227,19.6742
76,RTP4,0.772275,5.00847,0.803098,3.77599,0.76704,1.53828,2.4733,5.03062,0.845501,0.450242,0.674889
77,S100A1,196.638,4.87729,0.0,32.7335,76.9885,35.0289,0.361616,8.52798,0.319159,7.33411,2.97989
78,S100A7,6.57916,0.174539,6.51391,7.09766,1.72329,1.92766,6.68707,143.445,0.0,0.154637,13.0315
79,S100A8,3.49996,1.39343,27.7981,24.8919,0.295455,0.512749,2.92903,2.6507,7.16315,4.58775,7.83451
80,SCRG1,23.222,0.287289,0.0,35.6581,0.362433,8.70316,1.0085,6.72893,0.0,0.0372818,0.146746
81,SEMA3C,89.189,15.3978,63.9728,37.7756,75.3746,16.292,25.0484,28.6527,30.594,122.44,151.089
82,SERHL2,5.02658,142.226,1.83139,0.538739,5.89006,1.3535,71.7846,8.24695,2.41013,22.6899,31.3695
83,SFRP1,35.3095,0.416292,1.20859,11.8774,6.9682,95.0425,0.0869003,0.560566,2.36344,22.2943,16.9775
84,SIDT1,0.909009,16.3553,24.0965,2.94446,5.71251,4.05504,19.8668,15.5163,3.21991,9.90997,5.80579
85,SOX10,3.84721,0.0883835,0.0,2.03024,5.33047,4.69807,0.0,0.0,0.0,5.7557,4.77844
86,SPDEF,0.141878,11.802,0.0,0.868376,1.26166,1.81419,5.743,6.83263,0.0819532,3.26226,1.30039
87,SPRR1B,0.0944781,0.0,7.9079,0.278642,0.0,0.0,0.0,0.0,0.384352,0.109718,20.3387
88,SPTLC2,28.7351,99.8843,20.6055,26.9449,37.3209,44.4199,165.094,67.5695,36.1338,47.5721,34.1525
89,SRPX,12.4869,2.11423,9.57411,2.8907,4.75576,6.65442,1.01191,1.18188,6.0477,14.9014,25.4276
90,TCF7L1,11.751,5.28734,5.48526,10.5965,12.9167,16.6514,2.28561,7.05186,4.27525,18.4465,17.4147
91,TFAP2B,1.18026,91.2466,0.202828,2.20139,2.29971,0.0,93.3454,107.23,0.374233,5.71247,7.85881
92,THBS4,8.67223,8.67857,33.2562,8.9721,0.902938,39.9089,5.02284,37.9981,5.72026,2.38517,10.1741
93,TNFAIP8,5.97248,26.934,5.88908,8.40701,10.2742,9.97907,9.34912,47.828,16.8954,9.13379,9.37209
94,TNFSF10,24.8142,50.7573,27.9843,8.92687,8.05405,30.8127,83.9819,74.6867,77.0824,39.5965,43.2856
95,TRIM68,7.67148,3.34384,7.91414,1.65405,5.42481,3.2868,2.45632,2.57683,1.7915,3.06494,3.76877
96,TSC22D3,7.24202,77.8816,13.8724,13.1949,12.8591,13.0726,10.5057,17.4109,28.9859,52.072,24.8325
97,UBD,0.0,1.80774,0.0,2.67944,0.0,3.85e-284,3.78e-11,20.8482,0.0,0.0,0.0
98,UGT2B28,0.0,0.0177382,0.0,6.18025,0.0,0.0429629,0.0814354,0.332913,0.0,2.56628,0.934496
99,XBP1,26.3139,206.047,20.5809,22.8505,63.0414,31.0008,139.92,120.918,71.1081,159.843,183.032
100,ZCCHC24,0.75321,4.52648,1.1772,0.174409,3.65675,1.46109,0.298602,0.155914,1.05722,1.65591,2.31948
