,gene_short_name,V515-06187-A1,TNT-219,TNT-24,TNT-57,TNT-50,17-00159-1_S1Aligned_cufflinks,TNT-310,17-00163-6_S7Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-58,TNT-252
0,ABCA8,1.07397,11.2782,4.7176,6.46901,6.27059,1.78272,1.50603,0.770148,94.4592,0.0,8.54573
1,ADRA2A,0.196819,0.249391,0.167515,0.408656,0.613286,0.424612,0.0916352,0.0657186,1.63707,0.0,0.303387
2,AKAP12,3.75243,10.7207,3.76727,6.26016,15.7193,1.92959,5.4899,1.2357,66.8964,6.38661,3.34193
3,ALDH3B2,34.613,6.22725,0.891775,0.100817,19.4221,6.39422,18.7299,2.97506,1.05881,3.93287,0.0
4,APOD,101.548,53.501,95.7435,51.8919,34.8661,18.7033,9.0727,57.5143,86.1078,100.746,7.80339
5,ART3,19.2103,1.06999,20.4122,29.1496,0.671865,4.70398,0.270129,80.791,0.0,0.0,0.337303
6,ASPN,31.1651,27.237,29.0862,78.5235,72.6274,19.8562,70.5823,20.2771,162.196,46.5225,15.8789
7,AZGP1,64.9749,100.254,54.919,118.518,94.0011,48.381,4.23143,59.9678,24.7804,3.73036,7.40158
8,BLVRB,6.57613,4.64941,5.63407,4.33147,4.233,2.25105,1.05937,8.24161,8.9017,0.152304,0.871201
9,C7,0.29143,122.073,3.52878,2.87842,5.63905,1.47221,2.81788,1.01661,5.02005,0.0578067,24.0301
10,CCL5,1.03708,18.7046,34.721,3.70974,2.46692,6.76955,16.908,0.0,22.5121,0.0831699,2.64418
11,CD36,36.5005,16.0908,13.4455,21.4543,17.4704,5.67052,12.1829,19.9552,142.117,8.52927,13.2741
12,CD52,5.15236,123.578,55.9095,16.7951,26.2153,14.8266,40.1669,4.53303,25.0099,0.0,437.321
13,CDC20,19.1111,3.64656,27.8803,26.4927,6.63309,11.108,24.5544,33.2568,0.0,10.7521,7.2855
14,CHI3L1,52.4824,0.043036,31.8305,15.99,23.1543,50.8293,23.7297,183.889,0.551848,0.872301,0.0682052
15,COL2A1,124.822,4.67146,111.174,0.548056,0.7584,0.0353123,0.467588,8.5081,0.0370783,2.1362,0.0
16,COL5A1,145.37,47.8762,80.0339,87.4963,129.285,52.709,116.302,40.8437,246.791,9.41421,2.78046
17,COL5A2,202.313,49.8738,150.156,121.088,232.429,119.371,217.037,41.0361,326.53,34.2399,6.94899
18,CRAT,3.09639,3.71347,8.24192,8.62563,9.18802,18.9193,4.10859,9.7429,11.3141,0.44309,0.663326
19,CROT,17.2031,18.417,3.43788,4.78488,5.88813,9.75512,3.20186,5.1833,48.7835,13.287,14.7668
20,CXCL10,2.29941,25.0919,216.143,4.72286,15.6837,25.0864,111.717,24.1237,1.17114,0.0,12.4893
21,CXCL11,0.642556,4.67742,61.4537,0.976804,1.43911,19.2674,9.69977,1.88411,5.74158,0.0,2.66393
22,CXCL13,0.0413495,13.2194,102.936,2.67622,5.55664,8.60834,12.3011,1.72447,0.0,0.583879,106.426
23,CYP4F8,0.0480191,0.0,0.444958,0.859841,0.310565,0.0,0.0,0.0,8.00879,0.0,0.0
24,DBI,412.371,76.507,169.278,123.693,139.829,107.402,156.67,307.908,42.2468,221.397,55.1479
25,DEFB1,3.16262,0.0,2.59478,0.239474,10.9841,3.38358,1.00589,0.14658,0.0,0.0,0.0
26,DHCR24,38.1374,68.512,37.4488,26.688,61.7799,27.97,31.9861,62.1057,2.16125,8.59466,2.528
27,DUSP5,2.66143,6.56814,10.3833,2.64648,4.47715,2.60064,13.7116,0.552712,21.4802,0.667679,2.4734
28,FABP7,2.25652,0.0,0.489068,33.7576,0.0,3.41217,1.21934,5.85038,2.38455,5.85369,0.0
29,FASN,124.609,53.3196,41.3008,20.7734,57.4616,88.7778,3.16328,95.661,7.55502,12.6822,1.5318
30,FGFR4,2.32432,0.0,2.47027,0.19916,1.32382,0.476452,0.0814148,4.11049,0.0,2.10194,0.0
31,FGL2,2.48121,6.80796,8.67615,3.20866,5.51389,6.80476,4.93389,1.78384,7.85378,5.94705,12.8518
32,FOXA1,1.38574,91.4593,1.60243,1.82645,1.90232,1.33065,1.50615,0.108081,12.0454,0.0,3.50368
33,FOXC1,9.10755,0.735023,88.3583,53.8272,39.9886,35.2897,11.1416,78.4953,4.88963,5.94384,7.21536
34,GABRP,8.66089,0.0,896.727,573.122,23.6083,225.11,187.597,542.833,47.4048,153.087,1.02746
35,GALNT7,12.4003,42.2046,24.1949,11.9499,11.5386,24.6473,19.2626,33.3183,7.85692,5.65318,18.9048
36,GBP1,41.394,95.0405,317.85,99.511,71.5431,275.592,338.003,46.4511,226.628,47.5023,121.363
37,GCHFR,0.422531,0.0,0.280473,0.167516,0.20549,0.160495,0.178939,0.465567,0.0,0.108339,0.227852
38,GPR87,0.951488,0.96726,4.14233,1.00728,4.06842,0.104302,3.60517,0.133773,0.0,3.10629,0.766842
39,GZMB,1.4986,4.36542,18.8047,1.48368,2.96307,4.56122,30.9291,1.03451,8.07085,5.09338,8.41786
40,HGD,4.21735,5.92545,3.29947,13.2817,2.01073,0.833944,1.62972,24.1865,0.0,0.15142,1.45083
41,HTRA1,91.2943,58.4941,59.9396,72.1096,121.513,47.9099,34.0357,14.6065,154.797,10.4044,5.43078
42,IDO1,0.291424,11.2391,44.933,1.98322,8.63063,19.2801,38.4846,1.14673,0.0,0.0,15.7534
43,IGFBP4,13.3498,2.90062,5.12951,4.93166,3.08424,7.13662,0.379314,4.64398,20.7561,0.824005,0.0
44,IGHM,55.219,168.525,187.014,31.8551,119.376,0.0,16.8415,18.7739,0.0,1.92816,106.34
45,IGJ,20.0186,240.695,472.398,40.1732,101.14,77.3318,50.8293,13.3345,275.119,1.072,328.976
46,IGKC,182.346,8029.29,11973.6,1984.64,1160.89,14095.2,198.732,961.871,1201.25,8.48629,992.901
47,IL23A,0.0490073,0.0,0.229037,0.0454602,0.391571,0.0,0.378659,0.0545834,2.68049,0.0,0.0
48,IL33,0.883329,5.45782,1.20917,0.692623,0.928946,0.859708,1.29778,0.150471,2.62703,0.0,15.2296
49,INPP4B,37.1722,47.1711,13.4709,6.03674,17.8934,11.3144,16.2271,6.14113,23.4842,7.69827,58.8828
50,ITM2A,5.13433,46.4792,17.2039,23.561,4.17182,8.41499,6.27794,2.36489,21.3658,0.0,45.778
51,JAM2,11.2143,6.03214,5.36198,6.3534,6.59347,2.70201,5.41631,1.97447,29.9117,0.212544,8.81388
52,KCNK5,7.32046,0.0989018,3.72339,1.77673,0.660506,3.4465,1.14972,3.80893,0.0,0.19696,0.0
53,KIAA1324,6.46799,81.4101,15.5619,2.57743,4.37915,0.791815,3.70693,29.0089,0.461752,22.2454,5.25825
54,KMO,1.44589,4.78878,5.29445,1.47099,11.1279,4.76638,8.79561,3.89631,2.81473,0.0,21.5079
55,KRT14,118.371,0.12216,11.775,1136.84,1233.01,10.2547,12.8933,12.3077,32.5228,263.761,0.0739849
56,KRT16,91.0343,2.40834,156.186,139.312,553.128,27.661,383.517,331.452,113.622,394.447,0.145122
57,KRT17,105.347,0.0,237.929,701.986,379.872,192.048,521.369,128.648,109.838,219.698,1.70607
58,KRT6A,54.2242,0.0207626,12.9195,57.0774,1349.87,30.5498,634.612,7.01012,176.732,25.8248,0.0
59,KRT6B,86.6584,0.742875,75.9562,140.572,247.092,245.352,361.065,36.4685,27.5727,73.8423,0.0526903
60,KYNU,14.7879,8.8547,11.8771,10.002,7.27038,9.28449,19.1746,17.2676,11.2024,9.77141,29.8573
61,LBP,0.573258,0.0,0.114002,0.338633,0.417463,0.196241,1.34411,0.215567,0.334001,0.0,1.23834
62,LHFP,2.0952,1.40999,1.22997,1.29417,2.67659,0.894104,1.09806,0.448266,5.09697,0.0553289,0.400838
63,MFAP4,1.60954,8.48944,4.47361,5.12276,5.69762,0.823587,1.66199,0.849838,33.1626,0.0,1.56435
64,MIA,21.0747,1.07783,9.45441,0.850025,3.17113,0.942924,16.103,47.2477,0.0,8.05077,0.0
65,MID1,36.2366,3.86644,24.9344,33.3046,33.7614,10.7215,14.1269,28.5098,24.305,23.0528,6.97419
66,MYBL1,4.60362,9.22631,50.6087,10.4917,31.0013,10.0835,30.6222,82.4844,9.16538,23.7178,22.9374
67,NEK2,17.1321,6.11541,7.70819,35.0042,14.2564,16.537,33.0367,32.5305,0.0,101.637,7.60347
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0553104,0.0,0.0,0.164755,0.0,0.0
69,OGN,1.27872,9.62504,7.16578,16.0085,7.41343,0.708249,9.56982,1.08168,69.1051,15.4139,14.1862
70,PI3,0.0,0.0,0.310929,0.744111,0.342042,1.86329,21.9419,4.07075,42.1368,1.67842,0.0
71,PLEKHB1,14.583,0.163102,3.86976,5.52137,0.336417,3.64876,0.528322,2.10874,0.0,3.98637,0.264925
72,PMAIP1,1.62393,5.16143,2.36075,3.21203,1.51222,2.72951,17.9833,1.47062,0.0,0.0,3.18964
73,PSMB9,0.0,11.1204,49.1147,3.98618,3.58191,0.0,17.6594,7.11358,0.0,1.84833,25.7982
74,PTGDS,1.49063,11.7022,2.5061,0.871184,1.76951,1.85197,0.832665,1.03946,15.7746,0.0,13.8446
75,RARRES3,10.7933,45.042,45.1789,4.60827,6.06596,16.1216,19.9078,2.74916,4.08928,0.0,33.9218
76,RTP4,0.772275,2.86061,8.94065,3.89184,2.39764,4.29513,5.4329,2.11816,0.0,0.0,3.18352
77,S100A1,196.638,0.760753,88.1761,39.311,57.1312,3.22839,1.8748,210.674,0.0,5.76327,0.289516
78,S100A7,6.57916,0.0,4.37861,1.07452,21.4672,21.2915,493.525,4.38432,800.868,5.43066,0.0
79,S100A8,3.49996,1.15485,6.0969,0.912848,4.79337,3.98419,160.404,24.6743,356.125,0.0,0.927515
80,SCRG1,23.222,0.253287,8.62836,51.566,0.967221,0.152753,0.0,55.2941,0.0,6.73151,0.2654
81,SEMA3C,89.189,41.6009,11.163,14.4221,140.37,5.02335,20.3951,13.6893,84.3966,5.29232,3.39758
82,SERHL2,5.02658,2.98422,1.56208,2.41741,12.6058,1.77492,2.09642,2.30145,0.0,0.873811,2.05094
83,SFRP1,35.3095,0.601146,22.0046,41.9017,16.7954,5.7912,1.07838,1.57306,4.28439,1.5655,0.86701
84,SIDT1,0.909009,15.2371,3.34404,1.0019,1.63791,3.49898,3.39723,0.513963,1.81069,0.0,29.98
85,SOX10,3.84721,0.0738485,3.58091,4.40662,0.0526336,6.33002,0.328327,0.0,0.0,3.62671,0.0
86,SPDEF,0.141878,4.07118,0.433642,0.0267275,3.06071,0.23276,0.0370245,0.223563,0.790368,0.0,0.293069
87,SPRR1B,0.0944781,0.0,0.0,0.428247,0.104007,2.66537,0.118248,0.308586,408.354,0.0,0.0
88,SPTLC2,28.7351,44.4583,59.4068,51.2638,168.345,39.8789,30.5086,32.8332,11.6443,4.23276,69.7546
89,SRPX,12.4869,3.4648,5.28882,7.25335,3.51456,1.90092,3.37921,1.92123,6.32479,0.102861,1.39382
90,TCF7L1,11.751,2.14677,13.9768,51.5262,8.4502,7.08186,5.79892,26.805,8.40343,22.6994,1.03906
91,TFAP2B,1.18026,0.0,0.236124,0.631304,6.84501,0.0,0.420905,0.956076,3.19162,2.55401,0.705329
92,THBS4,8.67223,105.4,4.62645,6.38016,6.72779,1.58316,3.69999,1.21156,1.54847,1.68743,19.072
93,TNFAIP8,5.97248,43.0629,29.7009,12.7164,16.5976,14.9388,21.7827,8.02079,24.3064,8.26238,152.685
94,TNFSF10,24.8142,17.9517,125.454,14.0494,21.0228,22.6113,30.3236,3.33955,17.6515,9.4525,20.8352
95,TRIM68,7.67148,1.91721,3.02313,3.50355,2.09031,2.67506,3.65989,0.83077,0.409947,0.251423,0.917264
96,TSC22D3,7.24202,28.1163,28.3699,9.53371,16.4595,6.06061,11.0228,18.3645,6.55994,0.0487917,5.53498
97,UBD,0.0,7.89514,82.3521,1.25475,1.46836,0.0,94.0798,0.0,0.319009,0.0,27.5734
98,UGT2B28,0.0,0.0,0.0,0.803126,0.036528,0.0552717,0.318409,0.0,0.0,0.0,0.0
99,XBP1,26.3139,235.39,91.0118,62.5597,53.3026,111.005,28.2853,39.7686,34.5791,29.2347,27.9228
100,ZCCHC24,0.75321,2.29724,1.52345,0.80106,2.49551,0.399621,0.14841,0.257006,0.781416,0.00572394,0.291738
