,gene_short_name,V515-06187-A1,TNT-201,TNT-33,TNT-186,TNT-167,TNT-218,17-00159-1_S1Aligned_cufflinks,TNT-14,17-00105-7_S10_cufflinks,17-00131-5_S8Aligned_cufflinks,TNT-24
0,ABCA8,1.07397,6.476459999999999,42.1504,7.3715399999999995,2.02615,0.23111700000000002,1.78272,1.6867900000000002,15.2433,3.02603,4.7176
1,ADRA2A,0.196819,0.195692,0.7035100000000001,0.8646780000000001,0.0,1.2081600000000001,0.424612,0.10451700000000001,1.61281,0.42561099999999996,0.167515
2,AKAP12,3.7524300000000004,12.689,6.5784,15.2398,7.73556,2.32421,1.9295900000000001,2.1604400000000004,20.4997,0.384289,3.76727
3,ALDH3B2,34.613,8.55663,19.4297,4.60629,172.847,16.6609,6.39422,5.56607,2.3132599999999996,15.5005,0.891775
4,APOD,101.54799999999999,127.635,462.319,97.3845,7071.89,3.9072,18.7033,10.9277,82.3389,1.2395399999999999,95.7435
5,ART3,19.2103,64.8882,29.9479,63.2559,0.0,42.4891,4.7039800000000005,31.6725,0.37242600000000003,0.635686,20.4122
6,ASPN,31.1651,46.2732,23.2841,390.19,45.1213,8.27807,19.8562,9.50099,41.4929,2.46604,29.0862
7,AZGP1,64.9749,651.6469999999999,146.048,1.162,166.08900000000003,17.1262,48.381,31.8473,5.05436,5.0511099999999995,54.919
8,BLVRB,6.57613,2.21732,3.32387,0.0,25.1259,1.33646,2.25105,7.24225,2.24939,2.44601,5.6340699999999995
9,C7,0.29143,4.18576,16.7384,9.532119999999999,0.157557,14.321,1.47221,0.419171,18.676,0.593221,3.5287800000000002
10,CCL5,1.03708,3.4542599999999997,55.5323,13.7499,1.86065,2.72617,6.76955,6.555389999999999,5.25453,5.70474,34.721
11,CD36,36.5005,37.1595,32.6821,39.8265,25.8007,5.77646,5.67052,19.3488,26.3072,9.64332,13.4455
12,CD52,5.15236,17.2804,360.04699999999997,29.1361,26.8185,124.915,14.8266,20.7734,2.1478599999999997,3.68263,55.9095
13,CDC20,19.1111,15.1737,5.45902,11.82,4.66745,6.84373,11.107999999999999,23.4345,2.38084,8.15222,27.8803
14,CHI3L1,52.4824,27.7612,5.50906,4.8263300000000005,1.77787,50.4066,50.8293,14.9398,4.30004,168.771,31.8305
15,COL2A1,124.822,0.10346400000000001,0.0,8.11158,1.9458900000000001,0.31563800000000003,0.035312300000000005,0.8622049999999999,0.613052,0.035063699999999996,111.17399999999999
16,COL5A1,145.37,60.1661,32.1906,194.264,147.642,11.295,52.708999999999996,30.3356,145.623,11.9765,80.0339
17,COL5A2,202.313,118.01899999999999,45.924,232.826,115.101,6.21086,119.37100000000001,32.3981,236.74099999999999,14.2269,150.156
18,CRAT,3.09639,6.1247300000000005,3.40098,4.23051,22.9121,0.5931930000000001,18.9193,12.9929,10.8298,1.26799,8.24192
19,CROT,17.2031,3.2792,8.39303,17.5123,39.1676,12.5985,9.75512,3.9923599999999997,13.6305,5.52752,3.4378800000000003
20,CXCL10,2.29941,34.8583,101.54799999999999,6.97502,8.31703,39.2311,25.0864,29.3048,3.5350699999999997,58.1687,216.143
21,CXCL11,0.642556,7.684660000000001,19.4311,4.2247,0.0,3.00026,19.2674,6.51251,1.68925,8.21909,61.4537
22,CXCL13,0.0413495,6.53752,85.5384,2.33203,1116.82,63.1377,8.60834,7.50828,1.16042,9.9852,102.936
23,CYP4F8,0.048019099999999995,0.0988321,0.00161719,0.358575,12.9503,2.6428700000000003,0.0,0.0,0.0,0.0,0.444958
