,gene_short_name,V515-06187-A1,TNT-27,17-00104-2_S7Aligned_cufflinks,TNT-24,17-00159-1_S1Aligned_cufflinks,TNT-44,17-00114-7_S13_cufflinks,TNT-100,TNT-240,17-00152-9_S4Aligned_cufflinks,TNT-192
0,ABCA8,1.07397,1.91007,7.99826,4.7176,1.78272,57.5774,4.78456,10.2128,4.22404,0.0,119.155
1,ADRA2A,0.196819,0.0,0.145057,0.167515,0.424612,0.627014,1.9036,0.218344,0.0,0.0,0.801336
2,AKAP12,3.75243,4.47033,0.644769,3.76727,1.92959,29.6051,7.9425,6.21779,4.96255,0.0,35.9662
3,ALDH3B2,34.613,0.0,28.0666,0.891775,6.39422,0.0,10.6038,3.95048,0.0,159.809,68.1928
4,APOD,101.548,12.3754,6.77016,95.7435,18.7033,551.695,15.2827,169.251,0.97078,103.494,11869.7
5,ART3,19.2103,277.391,6.09762,20.4122,4.70398,17.6012,8.70104,165.481,267.907,69.9625,0.0
6,ASPN,31.1651,32.3565,3.64492,29.0862,19.8562,37.2942,206.11,26.1134,11.6138,0.0,142.614
7,AZGP1,64.9749,141.167,56.5053,54.919,48.381,63.9359,3.75124,6.8005,1.17118,8.79505,771.028
8,BLVRB,6.57613,1.6655,1.03463,5.63407,2.25105,2.47625,7.71371,1.16798,1.01991,3.61882,5.36615
9,C7,0.29143,2.97795,0.923272,3.52878,1.47221,15.2903,3.69818,3.11435,0.303186,15.638,4.10235
10,CCL5,1.03708,1.16553,0.26264,34.721,6.76955,6.20512,0.0,19.74,56.2359,0.0,18.4049
11,CD36,36.5005,9.68515,96.9286,13.4455,5.67052,161.29,15.9088,37.6889,0.331216,0.0,134.586
12,CD52,5.15236,3.93531,0.315542,55.9095,14.8266,76.5111,39.7689,134.336,225.587,95.8765,123.244
13,CDC20,19.1111,11.3276,15.73,27.8803,11.108,6.29946,7.44323,8.90459,1.93134,0.0,4.20426
14,CHI3L1,52.4824,21.1168,3.18682,31.8305,50.8293,19.8265,25.4046,24.0775,12.467,21.7065,0.0
15,COL2A1,124.822,110.558,0.0598273,111.174,0.0353123,0.369471,37.2636,0.112568,12.0136,0.0,0.0
16,COL5A1,145.37,27.9453,12.4204,80.0339,52.709,75.9328,106.224,29.7421,6.52259,18.0897,49.6839
17,COL5A2,202.313,66.3652,14.4705,150.156,119.371,135.933,160.553,89.4079,13.8008,0.0,216.858
18,CRAT,3.09639,2.29762,12.0212,8.24192,18.9193,7.36069,8.31036,2.41362,4.80961,0.0,12.229
19,CROT,17.2031,33.2998,20.2671,3.43788,9.75512,5.74807,6.30745,6.30357,0.0727257,85.5425,70.1636
20,CXCL10,2.29941,17.1828,0.414279,216.143,25.0864,56.0996,12.5891,240.759,630.34,0.0,10.1642
21,CXCL11,0.642556,0.123562,0.0733103,61.4537,19.2674,1.58942,2.87613,44.6731,44.9543,0.0,25.8333
22,CXCL13,0.0413495,23.0044,0.20138,102.936,8.60834,4.79564,9.07559,63.115,91.6347,0.0,10.7731
23,CYP4F8,0.0480191,0.00678974,0.0,0.444958,0.0,3.50692,0.0,0.0,0.0414823,0.0,0.0
24,DBI,412.371,152.017,51.5305,169.278,107.402,108.177,148.145,96.7272,118.743,0.0,542.624
25,DEFB1,3.16262,0.0,6.74654,2.59478,3.38358,0.977303,0.373373,3.17559,0.0,0.0,3.86087
26,DHCR24,38.1374,3.88958,67.6527,37.4488,27.97,7.28549,14.1302,11.8349,0.817277,18.8087,49.4777
27,DUSP5,2.66143,0.0,2.25617,10.3833,2.60064,6.42948,2.26818,5.35534,19.3721,0.0,10.3889
28,FABP7,2.25652,66.6622,16.3438,0.489068,3.41217,1.81101,0.439255,0.585031,0.665736,0.0,13.1366
29,FASN,124.609,1.39044,49.9543,41.3008,88.7778,6.20384,21.2144,11.798,2.22264,133.656,26.719
30,FGFR4,2.32432,1.45713,0.516594,2.47027,0.476452,0.634329,0.0,0.757059,0.0,0.0,1.14408
31,FGL2,2.48121,11.4318,0.393938,8.67615,6.80476,7.86297,9.25424,11.0687,1.62754,0.0,8.68063
32,FOXA1,1.38574,0.606611,7.66108,1.60243,1.33065,4.48069,0.345068,1.26925,0.212673,20.6189,55.0153
33,FOXC1,9.10755,24.7188,21.056,88.3583,35.2897,20.1979,44.4172,41.8014,75.5876,3.16898,3.64372
34,GABRP,8.66089,709.436,26.6801,896.727,225.11,162.789,24.0438,358.421,316.714,52.1578,53.2833
35,GALNT7,12.4003,17.0417,26.588,24.1949,24.6473,8.8823,18.0233,29.8137,14.0325,12.9507,58.9319
36,GBP1,41.394,69.6213,12.1963,317.85,275.592,181.968,93.6811,388.829,470.393,0.0,185.853
37,GCHFR,0.422531,0.0,0.190252,0.280473,0.160495,0.0,0.90489,0.313997,0.0,0.0,0.948322
38,GPR87,0.951488,5.22374,21.0117,4.14233,0.104302,3.86145,0.0,1.30861,0.106292,0.0,0.0
39,GZMB,1.4986,0.0,0.0,18.8047,4.56122,1.57691,1.6308,8.78789,54.2343,0.0,2.56301
40,HGD,4.21735,1.32979,2.79309,3.29947,0.833944,2.59817,4.69812,0.638701,0.0418277,0.0,25.9325
41,HTRA1,91.2943,21.1824,6.07297,59.9396,47.9099,135.477,218.9,46.1997,6.53994,0.0,118.212
42,IDO1,0.291424,2.01125,0.0,44.933,19.2801,11.717,7.6962,26.7969,3.4327,0.0,3.9493
43,IGFBP4,13.3498,0.227153,9.80542,5.12951,7.13662,6.03804,21.2358,1.63244,0.0745325,0.0,3.45961
44,IGHM,55.219,44.0223,0.0,187.014,0.0,50.9729,0.0,2633.01,597.353,36.7639,67.8109
45,IGJ,20.0186,68.2601,4.29243,472.398,77.3318,252.016,235.514,1101.02,100.612,0.0,845.132
46,IGKC,182.346,396.311,66.0953,11973.6,14095.2,928.331,8047.69,13908.6,7653.8,613.677,2130.1
47,IL23A,0.0490073,0.133329,0.0,0.229037,0.0,0.0,0.144022,0.111458,0.0,0.0,0.0
48,IL33,0.883329,4.7099,1.19507,1.20917,0.859708,10.2893,2.26153,4.16297,0.268377,0.0,13.1507
49,INPP4B,37.1722,17.0103,7.46138,13.4709,11.3144,35.38,14.0964,16.4583,8.53091,40.7486,27.5809
50,ITM2A,5.13433,13.3371,3.30896,17.2039,8.41499,43.8775,12.9495,43.1574,0.105632,17.7311,22.2147
