,gene_short_name,V515-06187-A1,TNT-225,TNT-209,TNT-8,TNT-152,TNT-278,TNT-194,TNT-71,17-00139-2_S9Aligned_cufflinks,TNT-139,TNT-122
0,ABCA8,1.07397,19.7157,5.75345,21.1353,28.3027,6.094869999999999,13.5865,12.9025,3.6460000000000004,4.2190199999999995,88.0911
1,ADRA2A,0.196819,0.313514,1.18075,0.39815700000000004,0.562541,0.0,0.308895,0.12659700000000002,0.21834,0.358636,0.408986
2,AKAP12,3.7524300000000004,11.700999999999999,5.17876,2.99765,19.0715,4.77909,10.3491,3.09258,2.68102,4.57451,15.4194
3,ALDH3B2,34.613,0.0,5.1982800000000005,2.43056,134.872,1.8783400000000001,2.39483,24.6302,27.7129,4.68061,23.2977
4,APOD,101.54799999999999,86.1188,12.3961,223.767,3238.15,86.3132,20.1919,769.0139999999999,8.01472,1392.61,1264.04
5,ART3,19.2103,44.2138,1.0586,117.309,0.0,0.0,91.6903,47.9684,1.5872,83.5008,0.293089
6,ASPN,31.1651,112.76799999999999,14.174000000000001,38.9421,89.7133,11.8417,138.753,21.4233,9.948369999999999,37.7036,81.4283
7,AZGP1,64.9749,68.2212,10.708,95.0087,678.875,134.856,56.8318,39.1429,1.50857,111.613,235.84599999999998
8,BLVRB,6.57613,0.9385680000000001,0.623746,1.6915200000000001,9.51428,0.0,2.5283599999999997,2.8226,1.37106,1.9139400000000002,2.1386700000000003
9,C7,0.29143,7.47819,31.5904,0.131227,41.1971,19.5287,2.26536,0.8062819999999999,0.645289,5.49728,112.07600000000001
10,CCL5,1.03708,2.44293,9.20102,55.7447,12.9609,8.68593,4.1447400000000005,7.98503,2.11983,4.08448,4.87955
11,CD36,36.5005,47.8398,18.8618,30.3092,35.2708,36.6558,52.8562,18.241,14.3767,19.0127,122.99799999999999
12,CD52,5.15236,54.5642,472.935,50.9935,82.2545,147.046,30.274,27.5781,2.72221,12.3884,124.007
13,CDC20,19.1111,16.8549,7.589060000000001,8.34843,4.505269999999999,1.44794,12.6889,7.511880000000001,34.2285,39.6781,0.59246
14,CHI3L1,52.4824,13.4776,0.796208,265.642,0.786117,0.1863,14.9525,304.561,127.334,11.9292,13.0996
15,COL2A1,124.822,2.20486,0.0,82.9299,0.0,0.0171505,11.6999,0.165655,0.569296,14.4149,0.8434200000000001
16,COL5A1,145.37,113.037,6.43656,39.1658,108.13799999999999,27.0808,142.66299999999998,30.2796,28.6234,75.3596,117.70299999999999
17,COL5A2,202.313,173.274,6.4269300000000005,37.0824,322.448,52.0394,192.696,70.6025,24.2914,97.3976,98.3706
18,CRAT,3.09639,1.33989,2.4713,6.769639999999999,31.2169,0.810681,6.37593,6.561939999999999,1.5318200000000002,2.73225,12.8588
19,CROT,17.2031,8.52486,9.5381,4.73515,26.5717,24.511999999999997,6.02665,5.04884,2.58029,11.9831,15.5807
