,gene_short_name,V515-06187-A1,TNT-111,TNT-53,TNT-94,17-00174-6_S15Aligned_cufflinks,TNT-310,TNT-100,TNT-50,17-00122-1_S1_cufflinks,TNT-265,TNT-4
0,ABCA8,1.07397,14.8562,12.7482,2.84949,1.75724,1.50603,10.2128,6.27059,15.2547,2.63255,37.7185
1,ADRA2A,0.196819,1.03917,0.0994593,0.0,0.124234,0.0916352,0.218344,0.613286,1.06565,0.860494,4.02106
2,AKAP12,3.75243,15.7074,2.72579,20.2867,3.42367,5.4899,6.21779,15.7193,3.36502,4.09434,17.7207
3,ALDH3B2,34.613,575.453,0.586071,22.8759,14.6796,18.7299,3.95048,19.4221,19.7483,7.94478,42.5699
4,APOD,101.548,10225.5,108.636,147.095,20.8128,9.0727,169.251,34.8661,39.0799,3.24389,2583.61
5,ART3,19.2103,0.175385,384.85,22.2765,9.87219,0.270129,165.481,0.671865,0.0,29.0535,0.0
6,ASPN,31.1651,130.499,30.5316,57.3841,4.02062,70.5823,26.1134,72.6274,22.2786,6.48189,315.638
7,AZGP1,64.9749,1218.82,239.112,70.096,130.353,4.23143,6.8005,94.0011,21.2686,109.885,298.58
8,BLVRB,6.57613,7.4401,2.26478,1.20029,6.01812,1.05937,1.16798,4.233,2.08356,2.82875,7.36637
9,C7,0.29143,2.59044,2.08852,0.887843,4.77522,2.81788,3.11435,5.63905,16.0706,16.1298,8.53666
10,CCL5,1.03708,1.97053,29.3619,4.13599,3.03196,16.908,19.74,2.46692,0.0,6.73407,13.303
11,CD36,36.5005,94.8575,35.2486,22.7489,93.6689,12.1829,37.6889,17.4704,6.42672,69.7685,100.477
12,CD52,5.15236,24.4018,13.2733,0.0,12.6645,40.1669,134.336,26.2153,12.6459,370.823,48.9762
13,CDC20,19.1111,3.73782,16.9774,6.50334,11.3567,24.5544,8.90459,6.63309,28.4023,22.7002,2.96756
14,CHI3L1,52.4824,7.57694,47.8151,2.53769,205.727,23.7297,24.0775,23.1543,3.28866,22.1167,5.7134
15,COL2A1,124.822,0.0,31.4125,6.00303,0.0402543,0.467588,0.112568,0.7584,5.51192,0.120885,0.149369
16,COL5A1,145.37,219.154,57.393,28.5161,116.103,116.302,29.7421,129.285,105.517,6.09765,225.483
