,gene_short_name,V515-06187-A1,TNT-62,TNT-281,17-00252-2_S13Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks,TNT-98,TNT-113,TNT-177,17-00104-2_S7Aligned_cufflinks,TNT-1,TNT-304
0,ABCA8,1.07397,6.79048,39.0365,10.1006,0.0,46.1161,6.802,9.29659,7.99826,47.3435,3.65161
1,ADRA2A,0.196819,0.338394,0.0,0.666199,0.0,0.44963,1.08531,0.268389,0.145057,0.120636,0.0
2,AKAP12,3.75243,11.6889,10.6971,3.59153,0.0,5.98117,12.1145,2.95332,0.644769,4.00906,1.82451
3,ALDH3B2,34.613,0.220724,4.00447,57.0737,159.809,8.66927,4.95691,8.06703,28.0666,8.46557,1.69334
4,APOD,101.548,305.796,0.109307,2264.75,103.494,165.228,207.709,139.493,6.77016,6.4374,171.879
5,ART3,19.2103,30.5461,34.497,2.61983,69.9625,0.235613,4.94533,4.00471,6.09762,0.194101,181.128
6,ASPN,31.1651,53.1139,7.35584,17.5097,0.0,28.8722,14.3444,37.577,3.64492,38.4711,54.125
7,AZGP1,64.9749,169.289,48.4283,375.78,8.79505,5.12935,17.8315,95.197,56.5053,13.4994,300.948
8,BLVRB,6.57613,2.32839,0.0,9.26335,3.61882,6.78249,3.42228,3.74146,1.03463,23.8841,4.18302
9,C7,0.29143,0.517314,18.9547,11.5843,15.638,25.5063,1.1787,0.643378,0.923272,0.277686,1.88416
10,CCL5,1.03708,6.88384,6.88903,0.0,0.0,25.8249,31.8243,7.50898,0.26264,5.85725,9.38296
11,CD36,36.5005,14.0796,17.1781,40.6657,0.0,44.3127,31.2782,57.821,96.9286,12.6625,40.2595
12,CD52,5.15236,22.6616,13.2159,19.3989,95.8765,94.6313,157.061,35.5903,0.315542,28.6878,85.9483
13,CDC20,19.1111,14.1862,44.7677,2.81438,0.0,1.15338,50.0459,29.8034,15.73,10.419,16.8101
14,CHI3L1,52.4824,18.4108,10.2393,2.7861,21.7065,4.21273,12.6521,11.0398,3.18682,5.10433,5.51471
15,COL2A1,124.822,68.7017,6.14411,0.157048,0.0,0.0772557,0.0,246.991,0.0598273,0.0,219.151
16,COL5A1,145.37,60.9466,57.647,57.8154,18.0897,42.4369,13.4753,179.114,12.4204,136.494,19.8955
17,COL5A2,202.313,69.9364,29.8201,105.309,0.0,46.0351,46.0854,152.074,14.4705,181.264,47.714
18,CRAT,3.09639,2.38769,0.0595784,30.4788,0.0,25.9658,19.5146,0.280142,12.0212,8.60203,1.28039
19,CROT,17.2031,6.43286,6.07646,37.0803,85.5425,8.24655,14.5467,10.992,20.2671,8.03371,4.93747
20,CXCL10,2.29941,48.9493,63.3418,17.8862,0.0,197.953,290.819,36.2774,0.414279,18.7691,191.918
21,CXCL11,0.642556,6.47729,0.856393,3.95835,0.0,53.6756,36.1052,1.84482,0.0733103,4.29667,27.7435
22,CXCL13,0.0413495,19.8752,61.5422,5.9954,0.0,12.9855,155.442,0.0,0.20138,16.4184,38.1041
23,CYP4F8,0.0480191,0.467952,1.11157,0.20557,0.0,21.6456,0.0,2.76604,0.0,0.0,0.0
24,DBI,412.371,120.785,104.124,141.197,0.0,74.6477,147.908,138.371,51.5305,88.0907,151.897
25,DEFB1,3.16262,0.0,0.755909,0.207869,0.0,24.0657,0.0,0.0,6.74654,0.0,3.25182
26,DHCR24,38.1374,18.6129,11.9895,108.111,18.8087,50.351,9.0368,18.1352,67.6527,85.4416,9.19186
27,DUSP5,2.66143,3.29349,1.57865,1.75253,0.0,4.34839,6.14911,9.42159,2.25617,4.9567,0.5457
28,FABP7,2.25652,49.2833,59.3406,7.67591,0.0,0.713272,0.0481688,9.03826,16.3438,0.0,18.7847
29,FASN,124.609,9.07795,21.6485,636.474,133.656,9.73159,2.73138,22.3397,49.9543,71.0935,2.77579
30,FGFR4,2.32432,1.12382,10.5211,12.591,0.0,0.0,0.0,4.81442,0.516594,2.29939,0.0
31,FGL2,2.48121,6.69295,6.78257,5.83078,0.0,15.2264,14.189,3.7914,0.393938,4.36658,4.1749
32,FOXA1,1.38574,5.66134,1.55029,154.413,20.6189,40.2709,0.184148,7.3197,7.66108,61.0078,2.88396
33,FOXC1,9.10755,32.0002,8.70012,3.43366,3.16898,12.4904,38.9412,108.721,21.056,0.485797,23.4572
34,GABRP,8.66089,410.733,175.713,1.59203,52.1578,391.156,427.715,602.953,26.6801,0.0561244,963.374
35,GALNT7,12.4003,12.125,8.25552,105.712,12.9507,26.8092,32.677,5.39991,26.588,42.6968,22.0505
36,GBP1,41.394,540.702,535.638,66.9108,0.0,319.245,282.29,153.465,12.1963,324.355,130.413
37,GCHFR,0.422531,0.0847417,0.0,0.55625,0.0,0.279883,0.0,0.0,0.190252,0.707112,0.0
38,GPR87,0.951488,1.63898,0.519255,0.048275,0.0,1.56249,0.0,8.35425,21.0117,7.8752,11.4268
39,GZMB,1.4986,6.41301,6.77791,2.13779,0.0,10.0195,37.6163,1.7166,0.0,15.83,2.90341
40,HGD,4.21735,3.7083,8.12714,138.276,0.0,15.2235,0.0,0.0,2.79309,15.9397,0.424599
41,HTRA1,91.2943,37.4484,9.95982,49.4055,0.0,37.2753,22.529,78.6975,6.07297,36.8865,30.6134
42,IDO1,0.291424,33.6168,24.7108,3.06081,0.0,41.407,39.3203,10.2732,0.0,6.85727,6.73041
43,IGFBP4,13.3498,0.729982,0.510661,13.3171,0.0,3.38196,2.82959,9.74421,9.80542,16.5499,0.532935
44,IGHM,55.219,1047.04,213.67,0.0,36.7639,227.045,268.148,14.0452,0.0,62.2751,58.2375
45,IGJ,20.0186,377.016,378.825,328.423,0.0,353.98,155.94,44.6267,4.29243,22.5761,358.417
46,IGKC,182.346,9856.55,2270.71,6002.41,613.677,8207.61,5559.58,102.776,66.0953,396.902,2858.74
