,gene_short_name,V515-06187-A1,TNT-300,TNT-18,TNT-117,TNT-92,17-00116-9_S2Aligned_cufflinks,17-00252-2_S13Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks,17-00125-8_S13Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,TNT-265
0,ABCA8,1.07397,2.02342,10.5629,14.5549,32.1067,140.738,10.1006,10.5754,55.5194,0.719822,2.63255
1,ADRA2A,0.196819,0.0194261,0.337047,1.06228,0.187864,1.49006,0.666199,0.231559,4.31788,0.203424,0.860494
2,AKAP12,3.75243,1.30359,10.1055,1.69174,5.51587,40.9208,3.59153,3.77041,25.364,1.14141,4.09434
3,ALDH3B2,34.613,11.2568,1.59088,20.3454,8.09628,20.2994,57.0737,3.69538,14.4216,5.40626,7.94478
4,APOD,101.548,4.16083,126.366,63.9205,227.124,620.083,2264.75,55.1521,136.705,10.1478,3.24389
5,ART3,19.2103,547.518,3.08163,17.0419,1.03436,1.45964,2.61983,42.777,0.0,5.25832,29.0535
6,ASPN,31.1651,11.5862,127.877,23.7047,108.547,32.8564,17.5097,28.712,44.1739,21.9529,6.48189
7,AZGP1,64.9749,175.447,0.397821,11.4011,23.496,241.997,375.78,109.388,178.998,45.7678,109.885
8,BLVRB,6.57613,0.0,0.272242,1.52703,2.3271,2.14395,9.26335,3.27189,5.03918,3.17095,2.82875
9,C7,0.29143,0.345662,11.973,0.964774,5.15895,53.7412,11.5843,9.23125,19.783,0.745285,16.1298
10,CCL5,1.03708,3.93922,84.2759,24.8368,5.3861,0.0,0.0,16.1353,2.22877,0.0,6.73407
11,CD36,36.5005,11.0441,68.0838,19.3201,13.668,138.951,40.6657,88.0077,182.748,5.95287,69.7685
12,CD52,5.15236,21.7633,238.279,108.542,51.077,6.29418,19.3989,16.4224,0.0,12.1882,370.823
13,CDC20,19.1111,26.3353,11.1176,11.3241,2.62069,0.614254,2.81438,24.4458,0.0,12.6869,22.7002
14,CHI3L1,52.4824,65.2282,18.0344,49.0583,93.8031,4.86842,2.7861,49.4362,5.63374,40.6979,22.1167
15,COL2A1,124.822,0.0351797,0.0,0.0492249,0.145719,1.07359,0.157048,0.383356,0.0,0.0209768,0.120885
16,COL5A1,145.37,35.0878,103.642,36.8377,32.6411,23.4437,57.8154,46.8246,160.153,51.4022,6.09765
17,COL5A2,202.313,51.2796,167.425,37.1575,57.8362,53.7108,105.309,95.8911,136.536,114.544,8.16721
18,CRAT,3.09639,1.56885,4.53159,2.27399,5.01356,5.82666,30.4788,5.72902,20.777,20.0761,2.73679
19,CROT,17.2031,8.74621,3.88368,7.60702,13.2484,26.6722,37.0803,5.47545,4.49909,6.76398,5.86815
20,CXCL10,2.29941,153.815,196.435,122.946,60.784,5.26548,17.8862,109.851,0.0,31.7238,56.437
21,CXCL11,0.642556,16.6523,15.9079,9.78471,3.28281,1.43686,3.95835,38.6206,0.0,17.1679,20.7628
22,CXCL13,0.0413495,23.0488,26.3849,37.6351,10.8363,2.66206,5.9954,10.1775,0.0,5.12899,79.1886
