,gene_short_name,V515-06187-A1,TNT-275,17-00119-5_S5_cufflinks,TNT-152,17-00252-2_S13Aligned_cufflinks,TNT-318,17-00127-8_S3Aligned_cufflinks,TNT-73,TNT-117,17-00125-8_S13Aligned_cufflinks,TNT-69
0,ABCA8,1.07397,4.6609,4.38939,28.3027,10.1006,1.60268,5.2732,7.78546,14.5549,55.5194,6.33428
1,ADRA2A,0.196819,0.629714,1.83867,0.562541,0.666199,0.37137,0.0,0.224004,1.06228,4.31788,0.150311
2,AKAP12,3.75243,4.96091,12.7491,19.0715,3.59153,7.96738,1.2662,6.59172,1.69174,25.364,8.43398
3,ALDH3B2,34.613,4.76105,2.70957,134.872,57.0737,1.01293,3.25937,8.95057,20.3454,14.4216,2.33555
4,APOD,101.548,27.9631,24.8244,3238.15,2264.75,29.2845,81.4037,2468.97,63.9205,136.705,334.261
5,ART3,19.2103,30.6309,0.22605,0.0,2.61983,123.448,34.0727,37.2875,17.0419,0.0,11.878
6,ASPN,31.1651,30.936,12.4372,89.7133,17.5097,98.3062,0.0,20.8746,23.7047,44.1739,32.2778
7,AZGP1,64.9749,0.675944,8.47719,678.875,375.78,1.34766,195.738,4.87138,11.4011,178.998,41.8629
8,BLVRB,6.57613,0.581462,2.12154,9.51428,9.26335,2.31512,0.0,0.227389,1.52703,5.03918,0.226859
9,C7,0.29143,4.90062,415.24,41.1971,11.5843,0.160282,0.0,3.75633,0.964774,19.783,2.44299
10,CCL5,1.03708,15.9024,0.0,12.9609,0.0,17.1213,0.0,5.16692,24.8368,2.22877,2.95312
11,CD36,36.5005,28.1601,39.1275,35.2708,40.6657,44.9068,0.0,29.3908,19.3201,182.748,24.2
12,CD52,5.15236,41.958,114.693,82.2545,19.3989,94.2685,0.0,22.8146,108.542,0.0,15.9388
13,CDC20,19.1111,12.0694,2.32812,4.50527,2.81438,13.9145,19.4809,6.30304,11.3241,0.0,31.1055
14,CHI3L1,52.4824,67.2472,1.54651,0.786117,2.7861,68.8217,3.86062,17.4637,49.0583,5.63374,13.2155
15,COL2A1,124.822,0.233095,0.0473942,0.0,0.157048,3.97345,9.34079,0.257811,0.0492249,0.0,143.943
16,COL5A1,145.37,48.0836,23.2912,108.138,57.8154,137.63,74.985,28.7026,36.8377,160.153,40.5398
17,COL5A2,202.313,82.2014,27.0054,322.448,105.309,225.741,26.139,55.1583,37.1575,136.536,54.6831
18,CRAT,3.09639,2.18717,3.23364,31.2169,30.4788,4.9586,0.737631,7.99856,2.27399,20.777,5.31904
19,CROT,17.2031,6.23139,10.7352,26.5717,37.0803,14.1979,21.1361,8.95417,7.60702,4.49909,4.64999
20,CXCL10,2.29941,69.4529,17.0314,11.4495,17.8862,130.123,14.1618,79.1191,122.946,0.0,83.8667
21,CXCL11,0.642556,15.7259,11.8683,0.0,3.95835,13.0947,0.0,17.9889,9.78471,0.0,1.3225
22,CXCL13,0.0413495,95.0912,30.9216,15.7339,5.9954,28.7339,0.0,25.8386,37.6351,0.0,5.60261
23,CYP4F8,0.0480191,0.0434614,0.0,15.6348,0.20557,0.0,0.0,0.116758,0.355451,5.58269,0.54584
24,DBI,412.371,83.2867,67.8746,565.778,141.197,116.994,94.0731,191.018,76.2147,14.5811,110.56
25,DEFB1,3.16262,0.0,1.44756,0.0,0.207869,0.610028,0.0,82.746,1.98514,0.0,0.0
26,DHCR24,38.1374,3.70262,4.19175,94.5633,108.111,11.4754,9.27006,24.2594,32.4208,26.3007,10.5851
27,DUSP5,2.66143,3.85473,11.8552,2.44871,1.75253,3.1831,2.0363,2.62585,8.2184,17.2635,1.88482
28,FABP7,2.25652,2.26773,0.571087,235.759,7.67591,0.788269,4.2431,0.245451,0.985374,1.47972,31.3579
29,FASN,124.609,2.44852,20.8026,218.648,636.474,9.75475,36.2518,2.2914,9.33763,188.596,5.36818
30,FGFR4,2.32432,0.464383,1.18964,15.2911,12.591,0.0277075,0.755862,0.103253,0.0,0.0,3.41509
31,FGL2,2.48121,6.60571,13.6287,11.0158,5.83078,7.74637,0.0598873,5.20114,10.2123,5.21316,2.24482
32,FOXA1,1.38574,2.06513,8.50756,26.0362,154.413,0.753702,5.49379,0.840333,0.275353,70.9237,0.252733
33,FOXC1,9.10755,35.8189,27.3498,0.79214,3.43366,32.566,26.7646,39.4518,43.8821,12.1608,33.4287
34,GABRP,8.66089,2.98012,22.5738,18.8446,1.59203,262.378,223.362,788.549,1315.98,79.957,723.575
35,GALNT7,12.4003,25.0354,12.5529,26.0401,105.712,19.94,27.8541,32.0451,12.4562,20.9316,15.0502
36,GBP1,41.394,129.284,218.482,80.4756,66.9108,656.55,162.607,162.272,140.223,93.6234,128.634
37,GCHFR,0.422531,0.0,0.572959,1.02698,0.55625,0.2555,0.857477,0.0,0.348706,8.82467,0.0870739
38,GPR87,0.951488,1.75632,0.173787,0.0,0.048275,0.376912,3.83835,5.26291,1.68203,0.0,2.20498
39,GZMB,1.4986,23.4412,4.79188,0.0,2.13779,8.29775,0.0,3.86003,24.1368,6.68157,2.27449
40,HGD,4.21735,0.400065,0.634893,92.871,138.276,2.33301,27.7859,0.0,0.958811,0.0,0.0599395
41,HTRA1,91.2943,40.4474,75.21,142.922,49.4055,120.001,2.7259,18.7356,17.8627,84.7862,27.0333
42,IDO1,0.291424,21.4754,11.7061,0.843558,3.06081,31.5634,0.0,9.27438,24.9349,0.0,2.31777
43,IGFBP4,13.3498,0.682398,18.3406,7.36641,13.3171,3.62924,8.38525,1.43517,1.75791,60.3488,0.690966
44,IGHM,55.219,10.3864,0.0,329.702,0.0,50.3045,117.986,92.9612,803.919,31.0737,26.5525
45,IGJ,20.0186,52.2957,848.005,568.173,328.423,30.7047,38.8323,384.288,225.572,110.391,138.646
46,IGKC,182.346,3001.92,5155.81,12039.2,6002.41,1016.39,1588.56,2785.71,5939.7,689.578,701.15
47,IL23A,0.0490073,0.993935,0.749035,0.0,0.314108,0.153345,0.0,0.40242,0.872439,0.0,1.17162
48,IL33,0.883329,1.72384,10.104,9.99245,3.52174,0.296424,0.0,4.19605,1.801,3.16025,0.411647
49,INPP4B,37.1722,6.37368,42.2099,40.6346,20.183,18.8154,4.56173,9.91178,14.0739,22.2753,4.95234
50,ITM2A,5.13433,4.27775,46.61,61.5291,17.6302,26.9578,0.0,7.0714,27.0888,8.81775,6.33672
51,JAM2,11.2143,15.0548,17.4894,14.2398,11.0531,9.58214,17.1649,7.17962,2.2762,19.4021,5.17669
52,KCNK5,7.32046,0.499491,0.260677,0.0,0.294427,0.68934,1.90994,0.0679313,1.19372,1.11295,1.70494
