,gene_short_name,V515-06187-A1,TNT-326,17-00131-5_S8Aligned_cufflinks,17-00125-8_S13Aligned_cufflinks,17-00139-2_S9Aligned_cufflinks,17-00252-2_S13Aligned_cufflinks,TNT-208,TNT-227,17-00270-5_S14Aligned_cufflinks,TNT-186,TNT-187
0,ABCA8,1.07397,0.03846,3.02603,55.5194,3.646,10.1006,16.3134,0.876496,2.10963,7.37154,12.5347
1,ADRA2A,0.196819,0.917432,0.425611,4.31788,0.21834,0.666199,0.492345,0.949996,0.785147,0.864678,0.0689046
2,AKAP12,3.75243,7.45648,0.384289,25.364,2.68102,3.59153,22.9325,4.58848,3.93642,15.2398,10.9667
3,ALDH3B2,34.613,4.99358,15.5005,14.4216,27.7129,57.0737,7.12214,0.0,173.954,4.60629,7.42946
4,APOD,101.548,12.6566,1.23954,136.705,8.01472,2264.75,55.8797,13.7345,1702.36,97.3845,32.7622
5,ART3,19.2103,12.2091,0.635686,0.0,1.5872,2.61983,0.39968,53.495,0.0,63.2559,3.3322
6,ASPN,31.1651,15.8107,2.46604,44.1739,9.94837,17.5097,21.4995,14.4329,97.1702,390.19,55.6868
7,AZGP1,64.9749,30.6143,5.05111,178.998,1.50857,375.78,170.612,9.19289,433.668,1.162,85.9447
8,BLVRB,6.57613,0.0,2.44601,5.03918,1.37106,9.26335,2.03717,3.1071,17.5144,0.0,2.38092
9,C7,0.29143,6.06215,0.593221,19.783,0.645289,11.5843,35.7726,4.99071,0.913499,9.53212,4.16421
10,CCL5,1.03708,15.9662,5.70474,2.22877,2.11983,0.0,3.74656,26.5416,0.0,13.7499,2.99886
11,CD36,36.5005,9.50935,9.64332,182.748,14.3767,40.6657,21.7614,17.3573,5.78937,39.8265,36.7609
12,CD52,5.15236,164.909,3.68263,0.0,2.72221,19.3989,78.3063,480.968,25.8947,29.1361,9.19472
13,CDC20,19.1111,6.93203,8.15222,0.0,34.2285,2.81438,5.1962,10.3227,2.98538,11.82,15.332
14,CHI3L1,52.4824,1.96055,168.771,5.63374,127.334,2.7861,22.6745,7.42916,16.8958,4.82633,9.608
15,COL2A1,124.822,5.7244,0.0350637,0.0,0.569296,0.157048,0.281686,0.609106,0.0,8.11158,0.771233
16,COL5A1,145.37,27.0058,11.9765,160.153,28.6234,57.8154,161.51,27.5166,159.398,194.264,147.105
17,COL5A2,202.313,23.1253,14.2269,136.536,24.2914,105.309,119.762,44.3055,332.476,232.826,314.266
18,CRAT,3.09639,0.143253,1.26799,20.777,1.53182,30.4788,5.62084,2.44925,35.1876,4.23051,6.443
19,CROT,17.2031,2.16177,5.52752,4.49909,2.58029,37.0803,21.1445,7.98903,61.1756,17.5123,5.30959
20,CXCL10,2.29941,56.2198,58.1687,0.0,20.0542,17.8862,21.9312,195.173,47.1377,6.97502,79.7082
21,CXCL11,0.642556,13.0665,8.21909,0.0,6.05504,3.95835,2.78925,17.6549,17.4057,4.2247,15.2041
22,CXCL13,0.0413495,85.4836,9.9852,0.0,0.924701,5.9954,13.4793,31.79,13.6215,2.33203,8.6131
23,CYP4F8,0.0480191,0.0,0.0,5.58269,0.0,0.20557,11.5078,0.276966,2.87166,0.358575,0.301548
24,DBI,412.371,65.8549,19.1439,14.5811,77.3433,141.197,363.298,147.596,458.192,100.988,147.524
25,DEFB1,3.16262,0.0,2.9607,0.0,0.254765,0.207869,1.37071,1.68765,2.34702,0.0,0.744099
