,gene_short_name,V515-06187-A1,TNT-132,17-00124-3_S12Aligned_cufflinks,TNT-44,TNT-73,TNT-53,TNT-296,17-00112-1_S7_cufflinks,TNT-231,TNT-92,TNT-6
0,ABCA8,1.07397,13.1009,19.1922,57.5774,7.78546,12.7482,12.0717,0.0,3.88278,32.1067,9.6574
1,ADRA2A,0.196819,0.0,0.730596,0.627014,0.224004,0.0994593,0.51861,0.403755,1.04498,0.187864,1.35793
2,AKAP12,3.75243,10.4829,8.16971,29.6051,6.59172,2.72579,3.8555,1.65867,8.51694,5.51587,11.312
3,ALDH3B2,34.613,14.3204,0.523783,0.0,8.95057,0.586071,2.50943,5.14396,10.2769,8.09628,433.613
4,APOD,101.548,905.295,26.8377,551.695,2468.97,108.636,16.3223,1.08372,279.533,227.124,13601.3
5,ART3,19.2103,0.0,28.6469,17.6012,37.2875,384.85,4.89082,24.2354,0.0,1.03436,0.0
6,ASPN,31.1651,168.678,11.0376,37.2942,20.8746,30.5316,13.9013,10.7154,29.2722,108.547,106.78
7,AZGP1,64.9749,66.7659,51.8361,63.9359,4.87138,239.112,0.852334,4.52898,316.875,23.496,1632.76
8,BLVRB,6.57613,5.60583,1.62151,2.47625,0.227389,2.26478,0.378983,5.08205,2.59229,2.3271,17.4411
9,C7,0.29143,39.2885,17.412,15.2903,3.75633,2.08852,12.4669,0.246947,3.38337,5.15895,3.83002
10,CCL5,1.03708,37.3394,4.40667,6.20512,5.16692,29.3619,2.0144,5.41056,4.01815,5.3861,5.02728
11,CD36,36.5005,220.64,19.8167,161.29,29.3908,35.2486,18.1203,4.14895,21.4639,13.668,52.468
12,CD52,5.15236,145.508,23.7771,76.5111,22.8146,13.2733,23.3851,9.67866,72.6561,51.077,20.3981
13,CDC20,19.1111,1.11341,7.08699,6.29946,6.30304,16.9774,21.6756,28.2348,24.5621,2.62069,6.40956
14,CHI3L1,52.4824,0.735538,4.73689,19.8265,17.4637,47.8151,10.3386,38.8357,0.0151373,93.8031,0.854684
15,COL2A1,124.822,0.0,0.0,0.369471,0.257811,31.4125,0.276578,6.85636,0.111929,0.145719,0.407516
16,COL5A1,145.37,86.3879,58.7164,75.9328,28.7026,57.393,16.8683,33.8627,87.8761,32.6411,210.775
17,COL5A2,202.313,115.257,38.1792,135.933,55.1583,62.0196,13.0316,43.6341,82.9914,57.8362,301.151
18,CRAT,3.09639,49.512,14.2827,7.36069,7.99856,4.58664,1.49166,6.98667,4.96534,5.01356,270.69
19,CROT,17.2031,76.9528,12.7956,5.74807,8.95417,3.75997,21.9133,2.18058,10.7887,13.2484,71.4203
20,CXCL10,2.29941,60.3684,7.52891,56.0996,79.1191,1027.76,12.8441,6.59414,39.3975,60.784,6.60035
21,CXCL11,0.642556,0.809112,1.41623,1.58942,17.9889,117.484,2.58412,2.54401,14.1107,3.28281,0.934983
22,CXCL13,0.0413495,55.4755,0.0,4.79564,25.8386,13.8145,12.7154,2.94027,52.2161,10.8363,1.54946
23,CYP4F8,0.0480191,6.69571,0.0,3.50692,0.116758,0.446875,0.800571,0.0,0.010545,0.0470314,30.0292
24,DBI,412.371,281.14,21.4471,108.177,191.018,341.228,92.3906,126.042,105.985,62.0434,646.11
25,DEFB1,3.16262,5.28935,0.0,0.977303,82.746,1.69422,0.186356,0.655946,6.56505,6.211,0.0
26,DHCR24,38.1374,36.6759,3.58161,7.28549,24.2594,20.8399,7.1537,17.7634,52.1513,18.6696,231.222
