,gene_short_name,V515-06187-A1,17-00100-2_S17Aligned_cufflinks,TNT-299,17-00160-1_S2Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-194,TNT-289,17-00104-2_S7Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,TNT-328,TNT-104
0,ABCA8,1.07397,2.66909,8.87917,0.719822,0.809124,13.5865,7.5326,7.99826,0.969992,9.23817,45.0011
1,ADRA2A,0.196819,0.798061,0.321954,0.203424,0.0726771,0.308895,0.0190859,0.145057,0.117883,0.0,0.0269278
2,AKAP12,3.75243,2.76503,8.3169,1.14141,0.951425,10.3491,16.4518,0.644769,3.1793,9.39584,14.8787
3,ALDH3B2,34.613,8.7501,2.22473,5.40626,19.1452,2.39483,0.340181,28.0666,9.692,14.562,134.5
4,APOD,101.548,62.3337,26.3483,10.1478,10.9531,20.1919,86.5343,6.77016,100.422,32.4682,16699.3
5,ART3,19.2103,1.80536,47.8547,5.25832,0.422378,91.6903,11.7816,6.09762,2.1157,13.5651,0.0
6,ASPN,31.1651,28.774,14.6382,21.9529,3.69349,138.753,99.797,3.64492,23.3006,15.9623,93.4608
7,AZGP1,64.9749,6.16124,144.884,45.7678,85.8713,56.8318,22.8969,56.5053,21.4744,39.4368,438.903
8,BLVRB,6.57613,1.94294,1.49672,3.17095,3.81422,2.52836,1.22331,1.03463,1.61289,1.26662,5.2299
9,C7,0.29143,1.22548,4.52315,0.745285,0.0263386,2.26536,2.7102,0.923272,0.0133464,0.0,28.9865
10,CCL5,1.03708,10.7786,6.02102,0.0,1.59721,4.14474,1.12449,0.26264,1.71611,1.60917,10.9451
11,CD36,36.5005,9.62158,80.6752,5.95287,30.0312,52.8562,18.9896,96.9286,9.85445,18.5983,126.937
12,CD52,5.15236,8.39226,14.2911,12.1882,2.29825,30.274,1.74964,0.315542,2.09752,0.0,29.5778
13,CDC20,19.1111,16.0755,4.88095,12.6869,48.5456,12.6889,40.1167,15.73,18.1155,10.2348,0.0650128
14,CHI3L1,52.4824,6.07407,21.8619,40.6979,0.326855,14.9525,14.14,3.18682,5.95113,30.5357,1.02785
15,COL2A1,124.822,1.0013,8.71282,0.0209768,0.0149873,11.6999,47.6574,0.0598273,1.56677,147.203,0.222123
16,COL5A1,145.37,75.7083,36.7694,51.4022,70.9135,142.663,387.034,12.4204,99.6617,38.532,47.013
17,COL5A2,202.313,115.303,49.6448,114.544,19.6112,192.696,272.664,14.4705,144.19,25.6229,87.7715
