,gene_short_name,V515-06187-A1,TNT-288,TNT-14,17-00166-3_S11Aligned_cufflinks,TNT-259,TNT-313,TNT-30,17-00214-4_S8Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks,TNT-194,17-00141-7_S14Aligned_cufflinks
0,ABCA8,1.07397,10.8786,1.68679,0.866845,7.3788,11.8392,3.51604,11.9716,16.9844,13.5865,10.5345
1,ADRA2A,0.196819,0.283499,0.104517,0.325163,0.0622414,0.166689,0.202828,0.345093,0.861454,0.308895,1.99187
2,AKAP12,3.75243,16.0737,2.16044,3.71364,10.4078,5.92393,9.44357,3.78327,6.21113,10.3491,12.7907
3,ALDH3B2,34.613,0.561817,5.56607,3.38865,2.39888,0.129083,10.5998,2.57587,1.16447,2.39483,3.54849
4,APOD,101.548,110.571,10.9277,35.2126,16.1725,68.6262,78.6344,26.8391,126.973,20.1919,24.0673
5,ART3,19.2103,3.38112,31.6725,98.6914,2.83927,5.75635,2.3747,6.02904,44.8952,91.6903,0.899191
6,ASPN,31.1651,117.07,9.50099,41.3579,59.7246,30.4671,73.809,30.315,13.6802,138.753,73.3324
7,AZGP1,64.9749,19.9515,31.8473,376.117,0.0,86.0315,43.5564,38.5871,200.774,56.8318,44.7696
8,BLVRB,6.57613,3.17771,7.24225,3.44108,1.77913,2.56904,4.9334,2.90951,4.50545,2.52836,3.11342
9,C7,0.29143,2.26989,0.419171,0.843649,1.07913,2.91216,0.511494,2.65029,14.7516,2.26536,5.79552
10,CCL5,1.03708,1.42702,6.55539,4.18384,24.4902,6.95546,4.70011,0.0,12.1232,4.14474,2.20958
11,CD36,36.5005,21.039,19.3488,4.51973,36.2403,7.60346,15.5684,25.0631,83.1513,52.8562,8.51482
12,CD52,5.15236,1.79485,20.7734,5.31024,178.9,146.87,11.0281,7.45981,40.0504,30.274,3.28078
13,CDC20,19.1111,35.8456,23.4345,11.8555,10.0606,4.35256,5.88238,13.8681,9.73773,12.6889,3.57694
14,CHI3L1,52.4824,14.8201,14.9398,6.08895,17.9288,122.696,52.7601,43.1058,37.6528,14.9525,49.6044
15,COL2A1,124.822,59.1868,0.862205,0.927259,0.0,0.485265,0.0929615,38.3583,1.37617,11.6999,6.22864
16,COL5A1,145.37,299.167,30.3356,124.721,40.4405,57.3617,179.379,117.968,43.5904,142.663,179.457
17,COL5A2,202.313,316.313,32.3981,174.918,44.154,79.4514,246.265,94.7823,65.8261,192.696,139.583
18,CRAT,3.09639,6.10748,12.9929,5.89456,4.1209,0.906711,4.45403,9.62832,5.4019,6.37593,13.306
19,CROT,17.2031,10.527,3.99236,7.40678,13.6541,9.1463,9.49973,4.80993,8.93674,6.02665,11.8014
20,CXCL10,2.29941,4.03918,29.3048,28.1471,384.484,48.9679,24.6676,17.2238,19.6909,67.1186,1.77745
21,CXCL11,0.642556,1.12534,6.51251,12.1489,110.538,3.51615,2.20598,7.14727,7.80281,6.41966,0.511637
22,CXCL13,0.0413495,3.11947,7.50828,3.38269,627.493,64.2703,7.55091,4.41918,17.615,13.1159,0.10165
23,CYP4F8,0.0480191,0.703976,0.0,0.0,0.184965,0.150132,0.0,0.0,0.362664,0.602536,0.0
24,DBI,412.371,91.1501,145.792,46.0439,102.259,139.847,185.61,68.0057,113.507,534.099,41.5496
25,DEFB1,3.16262,0.348327,2.80244,0.498385,1.4857,0.954595,3.46823,0.217003,0.496301,0.0,0.928965
26,DHCR24,38.1374,23.7835,86.3851,26.1331,27.5106,20.656,21.093,48.2115,28.1741,14.7549,8.79103
27,DUSP5,2.66143,3.32927,6.16071,2.81645,0.760338,7.48927,5.77455,2.85197,3.21569,4.69127,9.1031
28,FABP7,2.25652,20.3719,1.2532,0.403842,9.44809,0.0867112,4.77493,1.79528,1.89392,15.2167,0.729541
29,FASN,124.609,18.5795,69.7638,45.6413,1.18795,2.98044,33.5896,46.6293,103.232,8.69055,110.826
30,FGFR4,2.32432,3.64999,0.547024,1.89591,0.335385,0.253247,2.3529,1.46328,2.18025,2.74081,1.23672
31,FGL2,2.48121,2.4655,3.21642,5.58276,6.70472,5.94021,3.95632,3.71159,11.3333,6.57174,2.91686
32,FOXA1,1.38574,0.323396,0.205656,3.05573,0.319283,1.1556,0.279061,0.913379,2.32873,0.0,22.9237
33,FOXC1,9.10755,73.7762,32.1182,70.048,3.57756,47.1304,28.9814,62.6473,49.3215,33.5466,18.3546
34,GABRP,8.66089,16.815,841.158,457.054,740.411,236.085,193.312,38.9273,213.666,156.577,145.533
35,GALNT7,12.4003,5.88805,7.97859,38.6016,9.15928,16.6628,6.88271,22.3963,30.3282,7.91952,17.1514
36,GBP1,41.394,217.057,144.463,191.847,218.737,222.533,178.531,330.432,174.017,326.483,92.1187
37,GCHFR,0.422531,0.0,0.0,0.525515,0.0,0.0,0.153757,0.469542,0.132039,0.0,0.0
38,GPR87,0.951488,0.800444,0.958196,8.13279,7.69994,0.22917,0.514935,0.205251,0.0951555,0.84336,0.0
39,GZMB,1.4986,0.375847,2.58473,0.877462,32.7245,3.70516,1.30313,3.3492,23.5314,6.66218,0.557907
40,HGD,4.21735,1.92722,0.59584,2.14065,5.68914,0.120586,0.539208,4.26171,1.43833,1.71567,3.67167
41,HTRA1,91.2943,82.3084,16.6235,76.5058,40.9797,49.7,72.8846,68.2334,52.5467,63.7738,106.556
42,IDO1,0.291424,2.89899,5.88304,10.7333,56.6019,7.03383,6.29501,22.6298,16.5229,5.87991,0.683896
43,IGFBP4,13.3498,5.49812,2.86242,9.77887,0.438883,1.0656,6.21226,20.0795,20.4877,4.61299,37.1521
44,IGHM,55.219,1.60124,144.626,189.21,136.843,804.47,25.1123,0.0,0.0,32.755,0.0
45,IGJ,20.0186,4.11939,39.4167,121.97,120.395,696.573,71.54,94.8326,254.797,30.8332,196.381
46,IGKC,182.346,30.4239,9184.18,2977.05,1516.83,16377.5,887.219,5541.41,9760.16,600.582,2241.32
47,IL23A,0.0490073,0.195698,0.0,0.123057,0.0,0.246941,0.0,0.0,0.15506,0.0,0.239204
48,IL33,0.883329,0.20175,0.458886,0.485035,0.602038,0.673393,0.679134,0.159488,5.68884,0.234677,1.8586
49,INPP4B,37.1722,2.2043,12.2175,10.4929,13.6166,7.73018,14.2863,11.7989,32.4208,11.2239,25.1375
50,ITM2A,5.13433,7.76191,4.72404,6.25922,18.4724,27.5243,3.2629,2.32602,23.9956,11.2737,6.32241
51,JAM2,11.2143,13.6999,2.37097,2.39053,2.31682,5.56231,6.0877,4.97098,11.0835,9.66172,10.662
52,KCNK5,7.32046,1.51053,1.8995,3.73451,0.449249,1.89058,3.35824,4.70967,3.18271,2.25602,1.93303
