,gene_short_name,V515-06187-A1,TNT-300,17-00131-5_S8Aligned_cufflinks,17-00119-5_S5_cufflinks,TNT-224,TNT-194,TNT-48,17-00159-1_S1Aligned_cufflinks,TNT-281,TNT-71,TNT-322
0,ABCA8,1.07397,2.02342,3.02603,4.389390000000001,11.0932,13.5865,251.734,1.78272,39.0365,12.9025,2.96949
1,ADRA2A,0.196819,0.019426099999999998,0.42561099999999996,1.83867,0.5215270000000001,0.308895,1.7314599999999998,0.424612,0.0,0.12659700000000002,0.47120200000000007
2,AKAP12,3.7524300000000004,1.30359,0.384289,12.7491,12.9614,10.3491,12.1732,1.9295900000000001,10.6971,3.09258,10.0738
3,ALDH3B2,34.613,11.2568,15.5005,2.7095700000000003,4.94473,2.39483,10.1174,6.39422,4.0044699999999995,24.6302,2.3968599999999998
4,APOD,101.54799999999999,4.160830000000001,1.2395399999999999,24.8244,72.6231,20.1919,578.9540000000001,18.7033,0.10930699999999999,769.0139999999999,43.1584
5,ART3,19.2103,547.518,0.635686,0.22605,2.7877400000000003,91.6903,31.8858,4.7039800000000005,34.497,47.9684,30.7849
6,ASPN,31.1651,11.5862,2.46604,12.4372,241.52200000000002,138.753,90.9032,19.8562,7.35584,21.4233,71.8074
7,AZGP1,64.9749,175.447,5.0511099999999995,8.47719,3.9754199999999997,56.8318,83.2889,48.381,48.4283,39.1429,78.8806
8,BLVRB,6.57613,0.0,2.44601,2.12154,3.5285300000000004,2.5283599999999997,2.19929,2.25105,0.0,2.8226,1.60934
9,C7,0.29143,0.34566199999999997,0.593221,415.24,1.91188,2.26536,34.6236,1.47221,18.9547,0.8062819999999999,6.31146
10,CCL5,1.03708,3.9392199999999997,5.70474,0.0,3.2060000000000004,4.1447400000000005,21.9388,6.76955,6.88903,7.98503,1.6988599999999998
11,CD36,36.5005,11.0441,9.64332,39.1275,20.0619,52.8562,251.09099999999998,5.67052,17.1781,18.241,28.7743
12,CD52,5.15236,21.7633,3.68263,114.693,21.1463,30.274,52.2935,14.8266,13.2159,27.5781,13.838
13,CDC20,19.1111,26.3353,8.15222,2.32812,10.5139,12.6889,2.9954,11.107999999999999,44.7677,7.511880000000001,6.0292
14,CHI3L1,52.4824,65.2282,168.771,1.54651,3.66954,14.9525,7.455139999999999,50.8293,10.2393,304.561,35.8325
15,COL2A1,124.822,0.035179699999999994,0.035063699999999996,0.0473942,0.014313,11.6999,9.20578,0.035312300000000005,6.1441099999999995,0.165655,53.7069
16,COL5A1,145.37,35.0878,11.9765,23.2912,156.747,142.66299999999998,75.0766,52.708999999999996,57.647,30.2796,112.95200000000001
17,COL5A2,202.313,51.2796,14.2269,27.0054,292.85200000000003,192.696,77.8726,119.37100000000001,29.8201,70.6025,161.19899999999998
18,CRAT,3.09639,1.56885,1.26799,3.2336400000000003,4.7487900000000005,6.37593,4.91709,18.9193,0.0595784,6.561939999999999,4.34071
19,CROT,17.2031,8.746210000000001,5.52752,10.7352,20.3725,6.02665,12.5076,9.75512,6.07646,5.04884,12.2274
20,CXCL10,2.29941,153.815,58.1687,17.0314,35.6,67.1186,14.2373,25.0864,63.3418,219.018,18.7623
21,CXCL11,0.642556,16.6523,8.21909,11.8683,6.50349,6.4196599999999995,0.0,19.2674,0.8563930000000001,11.3213,4.628769999999999
22,CXCL13,0.0413495,23.0488,9.9852,30.9216,3.2785800000000003,13.1159,5.16943,8.60834,61.5422,29.1612,3.45115
23,CYP4F8,0.048019099999999995,0.119626,0.0,0.0,0.064249,0.602536,2.12906,0.0,1.1115700000000002,0.0,0.319508
24,DBI,412.371,118.947,19.1439,67.8746,71.4454,534.099,191.773,107.402,104.124,162.036,322.902
25,DEFB1,3.16262,17.0221,2.9607,1.44756,75.0567,0.0,0.0,3.3835800000000003,0.755909,34.9808,0.0
26,DHCR24,38.1374,98.1209,7.69733,4.19175,35.0216,14.7549,10.783,27.97,11.9895,41.8574,13.3313
27,DUSP5,2.6614299999999997,4.9109,1.1767,11.8552,13.804,4.691269999999999,4.1079300000000005,2.6006400000000003,1.57865,3.61122,3.6230800000000003
28,FABP7,2.25652,0.577967,0.609712,0.571087,0.0,15.2167,3.7808900000000003,3.4121699999999997,59.3406,0.7407279999999999,9.84249
29,FASN,124.609,30.4868,141.922,20.8026,2.27257,8.69055,12.8,88.7778,21.6485,7.28892,4.11901
30,FGFR4,2.32432,2.06335,0.555021,1.18964,1.20116,2.7408099999999997,0.136404,0.47645200000000004,10.5211,0.162787,1.26775
31,FGL2,2.48121,5.92215,9.03785,13.6287,5.29089,6.571739999999999,8.078710000000001,6.804760000000001,6.78257,4.60607,4.80815
32,FOXA1,1.38574,3.2480700000000002,0.399233,8.50756,35.7877,0.0,1.29449,1.33065,1.55029,5.15771,3.72445
33,FOXC1,9.10755,25.3759,71.1802,27.3498,9.267430000000001,33.5466,16.4598,35.2897,8.70012,27.0297,53.1081
34,GABRP,8.66089,1312.73,192.75900000000001,22.5738,0.360717,156.577,336.68199999999996,225.11,175.713,664.1030000000001,9.75716
35,GALNT7,12.4003,28.9779,13.0624,12.5529,97.6033,7.9195199999999994,12.8103,24.6473,8.255519999999999,30.12,8.96135
36,GBP1,41.394,381.344,226.399,218.482,95.76700000000001,326.483,69.3219,275.592,535.638,69.4365,72.4958
37,GCHFR,0.42253100000000005,0.0,0.589551,0.572959,0.12175799999999999,0.0,0.571889,0.160495,0.0,0.0,0.0
38,GPR87,0.9514879999999999,1.8344,1.2016200000000001,0.173787,5.18365,0.84336,10.7434,0.10430199999999999,0.519255,1.21789,0.811492
39,GZMB,1.4986,2.3361099999999997,5.461040000000001,4.79188,3.7382199999999997,6.66218,0.42035500000000003,4.56122,6.77791,4.58183,2.85827
40,HGD,4.21735,2.68364,0.948775,0.634893,6.23131,1.71567,0.0,0.833944,8.127139999999999,4.08314,0.723087
41,HTRA1,91.2943,15.2161,5.30595,75.21,140.532,63.7738,72.5206,47.9099,9.95982,21.8461,89.2861
