,gene_short_name,V515-06187-A1,TNT-283,TNT-26,TNT-113,TNT-6,TNT-14,17-00125-8_S13Aligned_cufflinks,TNT-67,TNT-83,TNT-293,TNT-141
0,ABCA8,1.07397,5.2258,4.23117,6.802,9.6574,1.68679,55.5194,38.3062,5.23671,8.95136,68.4435
1,ADRA2A,0.196819,0.0,0.999606,1.08531,1.35793,0.104517,4.31788,0.801187,0.0484197,0.0,1.30754
2,AKAP12,3.75243,3.43169,16.1452,12.1145,11.312,2.16044,25.364,27.6458,10.1537,2.21784,7.14621
3,ALDH3B2,34.613,2.42432,2.66442,4.95691,433.613,5.56607,14.4216,33.9557,11.9552,16.92,2.52334
4,APOD,101.548,134.119,23.2556,207.709,13601.3,10.9277,136.705,850.293,45.576,9.12083,265.929
5,ART3,19.2103,1.3833,11.4363,4.94533,0.0,31.6725,0.0,0.535039,1.52685,0.088062,0.0
6,ASPN,31.1651,148.766,99.8197,14.3444,106.78,9.50099,44.1739,175.454,19.273,10.0876,101.719
7,AZGP1,64.9749,6.21353,8.42855,17.8315,1632.76,31.8473,178.998,391.013,89.7751,42.7428,113.574
8,BLVRB,6.57613,3.29221,1.88214,3.42228,17.4411,7.24225,5.03918,3.14037,6.63001,3.33307,1.96374
9,C7,0.29143,1.21194,1.55763,1.1787,3.83002,0.419171,19.783,52.2921,1.0988,6.76911,3.17775
10,CCL5,1.03708,13.0437,0.328596,31.8243,5.02728,6.55539,2.22877,15.48,8.35195,3.03217,13.5378
11,CD36,36.5005,37.5269,27.8522,31.2782,52.468,19.3488,182.748,175.374,764.051,929.357,83.8034
12,CD52,5.15236,9.26877,2.72588,157.061,20.3981,20.7734,0.0,39.5948,28.8448,12.8056,19.6056
13,CDC20,19.1111,9.88436,14.2065,50.0459,6.40956,23.4345,0.0,0.482607,6.66027,9.34047,0.0477458
14,CHI3L1,52.4824,1.13169,20.8098,12.6521,0.854684,14.9398,5.63374,4.42293,3.39355,7.55722,0.177651
15,COL2A1,124.822,1.11024,105.473,0.0,0.407516,0.862205,0.0,0.0,0.133147,0.109884,0.0
16,COL5A1,145.37,30.5437,269.701,13.4753,210.775,30.3356,160.153,143.662,51.9884,32.5814,76.7943
17,COL5A2,202.313,90.4159,409.89,46.0854,301.151,32.3981,136.536,330.43,109.752,33.3523,68.5018
18,CRAT,3.09639,1.09201,3.72703,19.5146,270.69,12.9929,20.777,8.76498,9.24005,2.81116,17.8855
19,CROT,17.2031,7.69125,5.29179,14.5467,71.4203,3.99236,4.49909,12.809,16.4538,6.16501,5.49525
20,CXCL10,2.29941,57.2712,4.17567,290.819,6.60035,29.3048,0.0,8.31688,54.7547,140.839,28.4844
21,CXCL11,0.642556,9.65099,0.0,36.1052,0.934983,6.51251,0.0,1.34316,29.7078,34.2832,17.67
22,CXCL13,0.0413495,30.5927,1.4694,155.442,1.54946,7.50828,0.0,2.82177,20.3493,11.5668,0.0
23,CYP4F8,0.0480191,0.368212,0.0,0.0,30.0292,0.0,5.58269,0.0558274,9.35929,73.739,0.0
24,DBI,412.371,168.356,99.8671,147.908,646.11,145.792,14.5811,146.652,121.336,89.8314,89.2729
