,gene_short_name,V515-06187-A1,TNT-239,TNT-13,TNT-1,17-00100-2_S17Aligned_cufflinks,TNT-117,TNT-113,TNT-282,TNT-50,TNT-211,17-00111-2_S4_cufflinks
0,ABCA8,1.07397,6.36936,26.684,47.3435,2.66909,14.5549,6.802,4.67702,6.27059,61.2901,3.13612
1,ADRA2A,0.196819,0.621933,0.0,0.120636,0.798061,1.06228,1.08531,0.0181278,0.613286,0.395498,1.38168
2,AKAP12,3.75243,7.24354,11.3162,4.00906,2.76503,1.69174,12.1145,3.37991,15.7193,10.4024,6.91818
3,ALDH3B2,34.613,6.83249,8.65127,8.46557,8.7501,20.3454,4.95691,14.2492,19.4221,1.13534,7.41563
4,APOD,101.548,13.232,194.972,6.4374,62.3337,63.9205,207.709,1.37445,34.8661,44.836,53.9198
5,ART3,19.2103,0.155376,1.79984,0.194101,1.80536,17.0419,4.94533,1.17116,0.671865,8.18542,0.0
6,ASPN,31.1651,7.22931,31.9125,38.4711,28.774,23.7047,14.3444,10.9442,72.6274,6.61007,172.134
7,AZGP1,64.9749,20.3111,36.6707,13.4994,6.16124,11.4011,17.8315,58.3199,94.0011,115.596,35.5573
8,BLVRB,6.57613,1.91144,0.0,23.8841,1.94294,1.52703,3.42228,2.42049,4.233,2.0169,5.90259
9,C7,0.29143,63.4141,0.275013,0.277686,1.22548,0.964774,1.1787,0.311238,5.63905,68.3765,2.30553
10,CCL5,1.03708,6.15495,4.13896,5.85725,10.7786,24.8368,31.8243,7.18878,2.46692,5.11297,20.6348
11,CD36,36.5005,25.2455,57.7532,12.6625,9.62158,19.3201,31.2782,31.9388,17.4704,9.93661,34.8274
12,CD52,5.15236,884.803,17.8491,28.6878,8.39226,108.542,157.061,28.9883,26.2153,147.344,43.6633
13,CDC20,19.1111,8.33313,6.74247,10.419,16.0755,11.3241,50.0459,16.4631,6.63309,1.34979,1.21622
14,CHI3L1,52.4824,5.80837,7.76873,5.10433,6.07407,49.0583,12.6521,10.2047,23.1543,1.69353,13.5814
15,COL2A1,124.822,0.441904,1.83737,0.0,1.0013,0.0492249,0.0,0.205631,0.7584,0.726554,0.361854
16,COL5A1,145.37,4.27042,150.34,136.494,75.7083,36.8377,13.4753,8.00722,129.285,11.6013,238.76
17,COL5A2,202.313,7.06516,118.141,181.264,115.303,37.1575,46.0854,9.29631,232.429,8.71812,418.121
18,CRAT,3.09639,1.24437,24.9574,8.60203,1.61387,2.27399,19.5146,1.76532,9.18802,2.71205,7.61619
19,CROT,17.2031,13.1914,10.412,8.03371,12.8803,7.60702,14.5467,17.5883,5.88813,55.7176,9.11234
20,CXCL10,2.29941,30.7011,7.04369,18.7691,33.681,122.946,290.819,44.8489,15.6837,26.1821,26.4698
21,CXCL11,0.642556,4.089,0.0,4.29667,13.7347,9.78471,36.1052,6.8698,1.43911,0.0,9.11358
22,CXCL13,0.0413495,181.287,37.576,16.4184,12.9616,37.6351,155.442,41.0339,5.55664,8.82121,10.9874
23,CYP4F8,0.0480191,0.0,0.0,0.0,0.0,0.355451,0.0,8.54897,0.310565,0.0,0.0
24,DBI,412.371,81.9375,154.939,88.0907,82.3534,76.2147,147.908,94.6861,139.829,90.8411,129.475
25,DEFB1,3.16262,5.28242,1.60599,0.0,2.1062,1.98514,0.0,39.0385,10.9841,0.0,2.63568
26,DHCR24,38.1374,9.51047,0.731201,85.4416,60.8572,32.4208,9.0368,103.38,61.7799,0.456036,18.9708
27,DUSP5,2.66143,2.56,0.0467183,4.9567,2.8738,8.2184,6.14911,1.47901,4.47715,2.08853,4.24291
28,FABP7,2.25652,4.89626,23.0699,0.0,10.516,0.985374,0.0481688,254.779,0.0,0.0475985,0.111069
29,FASN,124.609,4.16085,2.66772,71.0935,77.1645,9.33763,2.73138,13.0917,57.4616,7.09244,49.9008
30,FGFR4,2.32432,0.310047,0.198193,2.29939,1.22252,0.0,0.0,0.356516,1.32382,0.0,0.265341
31,FGL2,2.48121,12.4948,2.36283,4.36658,8.12208,10.2123,14.189,10.6796,5.51389,29.2128,9.96545
