,gene_short_name,V515-06187-A1,TNT-45,17-00174-6_S15Aligned_cufflinks,TNT-33,TNT-234,TNT-311,TNT-217,TNT-177,17-00139-2_S9Aligned_cufflinks,TNT-274,17-00212-8_S3Aligned_cufflinks
0,ABCA8,1.07397,69.6238,1.75724,42.1504,4.49278,34.8692,13.4229,9.29659,3.646,1.87787,10.9008
1,ADRA2A,0.196819,0.0861151,0.124234,0.70351,0.631742,0.0496502,1.51081,0.268389,0.21834,0.0,0.804
2,AKAP12,3.75243,3.04989,3.42367,6.5784,13.1758,15.4658,11.1246,2.95332,2.68102,2.28224,6.45585
3,ALDH3B2,34.613,0.95725,14.6796,19.4297,1.06207,0.56246,0.0,8.06703,27.7129,4.41511,54.5406
4,APOD,101.548,41.6221,20.8128,462.319,158.972,582.871,29.5742,139.493,8.01472,1713.18,1024.91
5,ART3,19.2103,13.519,9.87219,29.9479,45.8656,379.806,9.09987,4.00471,1.5872,9.25212,0.0878982
6,ASPN,31.1651,28.9929,4.02062,23.2841,10.3409,46.0267,13.1715,37.577,9.94837,14.8356,191.273
7,AZGP1,64.9749,34.8083,130.353,146.048,199.492,580.643,0.26194,95.197,1.50857,9.61207,257.364
8,BLVRB,6.57613,0.760424,6.01812,3.32387,5.22607,0.59776,0.657851,3.74146,1.37106,0.0,80.8059
9,C7,0.29143,0.936934,4.77522,16.7384,8.1721,8.6817,94.6797,0.643378,0.645289,0.905123,4.57211
10,CCL5,1.03708,1.6864,3.03196,55.5323,20.0857,2.70085,21.6272,7.50898,2.11983,1.50133,5.79704
11,CD36,36.5005,35.4874,93.6689,32.6821,6.57482,25.2541,26.1072,57.821,14.3767,6.41063,59.1195
12,CD52,5.15236,10.8174,12.6645,360.047,203.874,21.335,592.516,35.5903,2.72221,13.366,31.8435
13,CDC20,19.1111,8.45575,11.3567,5.45902,15.2527,8.48748,11.5408,29.8034,34.2285,3.08772,3.74191
14,CHI3L1,52.4824,22.6098,205.727,5.50906,6.94574,0.922415,1.37138,11.0398,127.334,6.41977,3.51278
15,COL2A1,124.822,42.1761,0.0402543,0.0,14.9827,0.0,1.01694,246.991,0.569296,0.114744,0.029409
16,COL5A1,145.37,30.6618,116.103,32.1906,85.517,45.4507,14.6414,179.114,28.6234,20.4873,109.637
17,COL5A2,202.313,58.7905,95.3652,45.924,97.4348,72.8625,14.9289,152.074,24.2914,25.2911,225.094
18,CRAT,3.09639,1.07721,5.54589,3.40098,3.60935,0.434016,2.88125,0.280142,1.53182,1.1721,37.2093
