,gene_short_name,V515-06187-A1,TNT-24,17-00116-9_S2Aligned_cufflinks,17-00174-6_S15Aligned_cufflinks,17-00107-9_S10Aligned_cufflinks,TNT-325,17-00097-1_S9_cufflinks,TNT-67,TNT-201,17-00118-2_S5Aligned_cufflinks,TNT-239
0,ABCA8,1.07397,4.7176,140.738,1.7572400000000001,54.7654,1.18126,2.1075,38.3062,6.476459999999999,24.4092,6.3693599999999995
1,ADRA2A,0.196819,0.167515,1.49006,0.124234,2.2659,0.271846,0.13051500000000002,0.801187,0.195692,3.19406,0.621933
2,AKAP12,3.7524300000000004,3.76727,40.9208,3.4236699999999995,17.232,2.1819599999999997,1.87044,27.6458,12.689,14.0568,7.243539999999999
3,ALDH3B2,34.613,0.891775,20.2994,14.6796,1.86159,34.041,8.43554,33.9557,8.55663,3.2972599999999996,6.832489999999999
4,APOD,101.54799999999999,95.7435,620.0830000000001,20.8128,39.7176,61.196999999999996,0.669381,850.293,127.635,185.233,13.232000000000001
5,ART3,19.2103,20.4122,1.45964,9.87219,0.0,0.0,4.5019599999999995,0.535039,64.8882,0.0,0.155376
6,ASPN,31.1651,29.0862,32.8564,4.02062,238.97400000000002,42.7013,10.6442,175.454,46.2732,16.7672,7.229310000000001
7,AZGP1,64.9749,54.919,241.997,130.35299999999998,22.0611,1.1505,33.7457,391.01300000000003,651.6469999999999,72.8132,20.3111
8,BLVRB,6.57613,5.6340699999999995,2.14395,6.01812,3.8647,1.8893099999999998,3.99175,3.14037,2.21732,1.8396400000000002,1.9114400000000002
9,C7,0.29143,3.5287800000000002,53.7412,4.77522,2.4199599999999997,0.823103,2.0205599999999997,52.2921,4.18576,24.8705,63.4141
10,CCL5,1.03708,34.721,0.0,3.0319599999999998,0.0,47.0465,0.0,15.48,3.4542599999999997,3.56215,6.15495
11,CD36,36.5005,13.4455,138.951,93.6689,34.8926,13.2001,29.5541,175.37400000000002,37.1595,119.60700000000001,25.2455
12,CD52,5.15236,55.9095,6.29418,12.6645,30.9282,320.42400000000004,10.8883,39.5948,17.2804,2.24641,884.803
13,CDC20,19.1111,27.8803,0.614254,11.3567,5.44464,10.4861,35.847,0.48260699999999995,15.1737,0.0,8.33313
14,CHI3L1,52.4824,31.8305,4.8684199999999995,205.727,9.49815,9.58912,14.2367,4.42293,27.7612,12.7697,5.80837
15,COL2A1,124.822,111.17399999999999,1.07359,0.0402543,0.12629100000000001,0.0,0.21441,0.0,0.10346400000000001,0.0,0.441904
16,COL5A1,145.37,80.0339,23.4437,116.103,413.834,32.1635,99.7165,143.662,60.1661,52.95,4.27042
17,COL5A2,202.313,150.156,53.7108,95.3652,461.219,39.9525,49.6067,330.43,118.01899999999999,24.6562,7.0651600000000006
18,CRAT,3.09639,8.24192,5.8266599999999995,5.54589,25.2676,9.221860000000001,8.16269,8.76498,6.1247300000000005,10.0312,1.24437
19,CROT,17.2031,3.4378800000000003,26.6722,18.127,6.63046,7.78834,4.92995,12.809000000000001,3.2792,11.6213,13.1914
20,CXCL10,2.29941,216.143,5.26548,3.53341,2.41063,85.8427,14.6049,8.316880000000001,34.8583,3.6803,30.7011
21,CXCL11,0.642556,61.4537,1.43686,0.9549559999999999,0.0,3.5587400000000002,2.5685700000000002,1.3431600000000001,7.684660000000001,0.0,4.0889999999999995
22,CXCL13,0.0413495,102.936,2.66206,1.16539,10.4913,47.4504,3.01473,2.82177,6.53752,0.0,181.287
23,CYP4F8,0.048019099999999995,0.444958,17.0825,1.4973,0.0,0.0,0.234377,0.0558274,0.0988321,0.0,0.0
24,DBI,412.371,169.278,156.991,69.2038,99.9534,21.2225,170.882,146.65200000000002,624.9159999999999,19.5872,81.9375
25,DEFB1,3.16262,2.59478,2.59282,7.12312,0.0,50.9421,0.0,0.5832109999999999,2.52093,0.0,5.28242
26,DHCR24,38.1374,37.4488,33.11,82.1604,10.5088,62.9418,44.06100000000001,58.5741,19.4007,14.4419,9.51047
27,DUSP5,2.6614299999999997,10.3833,16.320999999999998,2.09469,14.5782,4.8256,3.6152800000000003,10.2672,3.4079599999999997,11.1119,2.56
28,FABP7,2.25652,0.489068,0.903434,0.0,0.0,0.0,0.060764,0.504147,0.46985200000000005,0.428058,4.89626
29,FASN,124.609,41.3008,21.7879,92.0659,45.8677,10.8743,57.3003,33.9861,22.2212,23.8917,4.16085
30,FGFR4,2.32432,2.47027,0.7061729999999999,0.5663100000000001,1.6992900000000002,6.602360000000001,2.04738,2.0723599999999998,0.47448199999999996,1.08178,0.31004699999999996
31,FGL2,2.48121,8.67615,7.72553,2.7137700000000002,12.1398,7.19821,2.54605,8.229280000000001,2.43645,3.5442400000000003,12.4948
32,FOXA1,1.38574,1.60243,64.6535,3.41172,22.1995,23.6446,0.09799169999999999,41.2711,3.7643400000000002,90.0389,0.0622759
33,FOXC1,9.10755,88.3583,10.4657,29.4622,9.456539999999999,13.7862,65.4708,9.42451,38.1223,15.4442,21.1296
34,GABRP,8.66089,896.727,132.79,1.23011,16.6435,271.08299999999997,7.864789999999999,101.90700000000001,223.33,123.86,204.747
35,GALNT7,12.4003,24.1949,47.2601,11.8491,30.8292,22.686,7.85755,43.7686,8.396339999999999,17.0883,36.8265
36,GBP1,41.394,317.85,222.50099999999998,135.247,81.1056,194.968,84.0119,116.33,125.751,50.1795,123.15799999999999
37,GCHFR,0.42253100000000005,0.28047300000000003,0.0822039,1.3619,0.0,0.0,0.42294,0.176906,0.23903600000000003,0.0,0.276966
38,GPR87,0.9514879999999999,4.14233,0.775497,4.33496,0.0,42.6912,0.0,0.16933,8.07324,1.69062,2.76913
39,GZMB,1.4986,18.8047,2.04875,1.8939700000000002,1.17603,14.0912,1.86027,1.42534,2.32191,0.0,17.8403
40,HGD,4.21735,3.29947,3.6294800000000005,9.092410000000001,0.0,0.0,0.17512,22.0706,9.236989999999999,0.460552,0.9746299999999999
41,HTRA1,91.2943,59.9396,112.85799999999999,38.6136,226.924,11.640999999999998,44.1674,211.365,69.6793,47.1622,14.7131
42,IDO1,0.29142399999999996,44.933,3.61266,21.1778,0.0,166.96,4.31044,1.9392099999999999,6.721989999999999,0.0,11.0866
43,IGFBP4,13.3498,5.12951,37.0916,18.0548,63.5614,4.30028,7.9226399999999995,4.4985599999999994,3.59441,70.1925,0.24547800000000003
44,IGHM,55.218999999999994,187.014,0.0,13.6533,119.759,148.997,0.0,336.39300000000003,111.221,86.3239,235.71400000000003
45,IGJ,20.0186,472.398,462.423,20.4514,35.7426,45.9523,23.1658,2010.26,71.1984,279.78700000000003,255.014
46,IGKC,182.34599999999998,11973.6,3684.97,533.576,1401.24,1067.08,5865.29,9916.74,2074.26,1148.8,1565.35
47,IL23A,0.049007300000000004,0.229037,0.0,0.29478899999999997,0.0,0.0,0.0,0.110175,0.0,0.0,0.342107
48,IL33,0.8833290000000001,1.20917,8.581710000000001,2.28455,7.387639999999999,0.101108,0.470318,13.0023,2.09151,13.1878,21.9688
49,INPP4B,37.1722,13.4709,44.9221,19.0709,18.2547,48.1165,25.3966,53.3911,7.499910000000001,50.4525,27.6685
50,ITM2A,5.13433,17.2039,74.617,5.51003,34.7873,3.7050300000000003,5.86859,35.0003,9.830110000000001,22.506,41.0562
51,JAM2,11.2143,5.36198,38.1645,5.43396,26.791999999999998,12.4208,2.99247,22.9359,5.2201699999999995,36.0985,8.91494
52,KCNK5,7.320460000000001,3.72339,0.880842,3.3860300000000003,0.0,1.05113,2.19827,0.48194899999999996,1.1265100000000001,1.64673,0.285043
53,KIAA1324,6.46799,15.5619,38.8219,7.0919300000000005,2.8806700000000003,8.68953,0.46954799999999997,77.9209,17.717,18.2397,25.3584
54,KMO,1.44589,5.29445,3.63311,1.93187,3.68603,0.0,5.2506,40.0984,5.45015,3.6864800000000004,24.7087
55,KRT14,118.37100000000001,11.775,216.08,708.6610000000001,30.8586,3.03677,62.9592,9.53856,150.591,394.19,2.00679
56,KRT16,91.0343,156.186,257.9,2146.49,68.4428,3.34785,26.2046,3.93344,70.8838,67.3251,17.9436
57,KRT17,105.34700000000001,237.929,579.0319999999999,1735.05,48.4916,0.47600699999999996,9.91211,17.9637,169.791,1029.97,34.4338
58,KRT6A,54.2242,12.9195,954.628,3704.04,48.3622,34.6454,5.23452,12.1585,13.4392,42.1492,82.8246
59,KRT6B,86.6584,75.9562,358.395,1377.33,20.933000000000003,124.62899999999999,3.50011,10.6312,14.2342,58.21,139.554
60,KYNU,14.7879,11.8771,6.18401,23.7252,2.84132,10.7773,5.392,42.0408,2.62625,4.379630000000001,23.0941
61,LBP,0.573258,0.11400199999999999,0.0,17.4641,0.0,0.0,0.652367,109.041,0.99451,0.6302840000000001,3.42086
62,LHFP,2.0952,1.22997,5.35082,1.14329,5.20087,1.67851,0.932149,2.90409,0.828257,6.1212800000000005,0.784121
63,MFAP4,1.60954,4.47361,25.4718,0.5912029999999999,57.6063,0.145341,0.288673,40.0267,5.27245,30.8398,3.85388
64,MIA,21.0747,9.454410000000001,11.8188,4.79669,7.688160000000001,0.0,0.845535,0.31262199999999996,9.45003,10.3012,38.436
65,MID1,36.2366,24.9344,23.0088,30.2772,8.02387,13.4752,13.0013,19.5429,69.4015,13.2023,27.8837
66,MYBL1,4.603619999999999,50.6087,2.02718,7.91887,0.866525,6.891660000000001,88.7484,3.11246,42.8867,1.04872,10.6215
67,NEK2,17.1321,7.708189999999999,0.774146,6.29062,1.70088,31.5251,23.2843,0.0331213,21.1913,0.0,24.1101
68,NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.175515,0.0,0.0,0.10363599999999999,0.0
69,OGN,1.27872,7.165780000000001,78.5414,0.432418,74.2179,31.1962,0.632217,133.8,8.84056,18.294,4.3811
70,PI3,0.0,0.310929,12.7654,224.86,4.586790000000001,151.46200000000002,2.08188,3.1659900000000003,0.0,12.3687,0.0
71,PLEKHB1,14.583,3.86976,1.59507,0.316141,0.0,0.0,0.949499,2.2614400000000003,4.582730000000001,2.82605,1.5604799999999999
72,PMAIP1,1.6239299999999999,2.36075,0.32492,4.270630000000001,0.0,5.23496,2.63308,1.3434700000000002,5.0563199999999995,1.26956,4.33091
73,PSMB9,0.0,49.1147,0.0,0.0,0.0,24.3438,0.0,6.8512,5.581869999999999,7.70055,22.3266
74,PTGDS,1.49063,2.5061,21.3059,11.0692,6.37324,0.0,0.5857060000000001,3.62713,0.552674,15.6347,14.9539
75,RARRES3,10.7933,45.1789,19.6742,17.8571,12.6041,51.3022,7.35418,27.8473,16.6005,1.02773,115.305
76,RTP4,0.772275,8.94065,0.6748890000000001,1.8754099999999998,0.803098,0.0,0.724984,0.386714,2.4659999999999997,0.0,2.47434
77,S100A1,196.638,88.1761,2.97989,33.4893,0.0,0.0,5.58359,0.8709809999999999,58.3911,3.69956,6.14099
78,S100A7,6.579160000000001,4.37861,13.0315,854.8889999999999,6.51391,150.357,0.5287649999999999,550.909,0.0,37.0075,7.22335
79,S100A8,3.4999599999999997,6.0969,7.834510000000001,589.559,27.7981,72.5769,3.62696,273.093,0.64226,37.781,10.8895
80,SCRG1,23.221999999999998,8.62836,0.14674600000000002,0.046442000000000004,0.0,0.0,0.143501,1.82312,26.926,0.0,0.616513
81,SEMA3C,89.189,11.163,151.089,30.0744,63.9728,17.0593,46.9475,97.1217,7.6334,46.8309,63.8822
82,SERHL2,5.02658,1.56208,31.3695,16.4697,1.83139,0.0,9.03314,17.4401,4.88326,9.31367,5.637169999999999
83,SFRP1,35.3095,22.0046,16.9775,6.85617,1.20859,4.72912,31.8986,4.03949,44.181000000000004,13.2394,15.3376
84,SIDT1,0.9090090000000001,3.34404,5.80579,1.85686,24.0965,43.0664,1.4220700000000002,8.95075,2.67896,21.2172,14.1793
85,SOX10,3.84721,3.58091,4.77844,0.0243124,0.0,0.0,0.0,0.0,4.45913,6.1676,0.45138
86,SPDEF,0.141878,0.433642,1.30039,0.604543,0.0,0.9830120000000001,0.7834220000000001,3.88299,1.48852,1.19861,0.381323
87,SPRR1B,0.09447810000000001,0.0,20.3387,267.837,7.9079,0.512416,0.0,0.0,1.12615,0.0,1.77931
88,SPTLC2,28.7351,59.4068,34.1525,60.9163,20.6055,8.20777,44.3926,69.1719,55.1168,10.1009,75.5368
89,SRPX,12.4869,5.288819999999999,25.4276,13.6723,9.574110000000001,0.476734,5.55629,20.0714,4.59853,7.353160000000001,1.4964
90,TCF7L1,11.751,13.9768,17.4147,3.74559,5.48526,5.27969,21.8613,7.453639999999999,18.7519,15.4859,6.582000000000001
91,TFAP2B,1.18026,0.23612399999999997,7.858810000000001,11.5213,0.202828,1.15901,0.418495,29.399,0.514811,10.5496,1.99583
92,THBS4,8.67223,4.62645,10.1741,2.5493099999999997,33.2562,2.09302,1.0911799999999998,26.4865,13.2923,0.844511,5.87345
93,TNFAIP8,5.97248,29.7009,9.37209,14.5558,5.88908,45.8522,9.78406,23.0743,10.9691,12.507,134.384
94,TNFSF10,24.8142,125.454,43.2856,48.0731,27.9843,57.3512,6.811710000000001,33.9976,31.0437,13.4055,70.8998
95,TRIM68,7.67148,3.02313,3.7687699999999995,7.050439999999999,7.91414,0.415434,0.781292,4.33092,0.516001,0.51408,2.42572
96,TSC22D3,7.24202,28.3699,24.8325,19.1824,13.8724,8.925939999999999,8.16817,18.2428,7.32937,41.9399,7.86074
97,UBD,0.0,82.3521,0.0,0.0,0.0,74.485,0.0,4.5420300000000005,3.42841,0.0,46.9344
98,UGT2B28,0.0,0.0,0.9344959999999999,0.0391407,0.0,0.0,0.573986,21.4999,1.67524,0.0,0.36485100000000004
99,XBP1,26.3139,91.0118,183.032,57.3706,20.5809,38.2012,43.428000000000004,161.284,37.2038,82.6609,40.5142
100,ZCCHC24,0.75321,1.52345,2.31948,0.433047,1.1772,0.0,0.9831700000000001,2.91343,0.154573,1.23345,0.334794
