,gene_short_name,V515-06187-A1,17-00124-3_S12Aligned_cufflinks,TNT-121,17-00140-2_S2_cufflinks,TNT-272,17-00123-8_S16Aligned_cufflinks,17-00122-1_S1_cufflinks,TNT-30,17-00118-2_S5Aligned_cufflinks,TNT-138,TNT-311
0,ABCA8,1.07397,19.1922,3.96188,4.1809,4.83654,6.17733,15.2547,3.51604,24.4092,12.6791,34.8692
1,ADRA2A,0.196819,0.730596,0.0,0.974128,0.0985654,0.984298,1.06565,0.202828,3.19406,1.91297,0.0496502
2,AKAP12,3.75243,8.16971,11.4793,1.05279,5.09248,6.51828,3.36502,9.44357,14.0568,7.20418,15.4658
3,ALDH3B2,34.613,0.523783,2.11688,25.7805,9.05696,8.4669,19.7483,10.5998,3.29726,12.4995,0.56246
4,APOD,101.548,26.8377,39.2727,4.29317,49.2309,38.787,39.0799,78.6344,185.233,27.4739,582.871
5,ART3,19.2103,28.6469,10.848,9.72088,2.09522,1.05535,0.0,2.3747,0.0,0.473306,379.806
6,ASPN,31.1651,11.0376,56.5755,10.1457,20.8546,60.2143,22.2786,73.809,16.7672,46.9364,46.0267
7,AZGP1,64.9749,51.8361,13.4647,60.7934,12.4713,11.2503,21.2686,43.5564,72.8132,30.0339,580.643
8,BLVRB,6.57613,1.62151,1.03409,3.62414,2.17826,2.48037,2.08356,4.9334,1.83964,9.23049,0.59776
9,C7,0.29143,17.412,0.278673,0.0,4.18377,11.3646,16.0706,0.511494,24.8705,0.29318,8.6817
10,CCL5,1.03708,4.40667,6.49841,0.0,2.47439,10.7819,0.0,4.70011,3.56215,5.65268,2.70085
11,CD36,36.5005,19.8167,39.212,44.8475,32.304,14.5033,6.42672,15.5684,119.607,30.2316,25.2541
12,CD52,5.15236,23.7771,0.0,6.33001,23.3953,18.0695,12.6459,11.0281,2.24641,35.721,21.335
13,CDC20,19.1111,7.08699,15.5014,9.59021,9.27132,27.82,28.4023,5.88238,0.0,7.31879,8.48748
14,CHI3L1,52.4824,4.73689,13.9052,31.4808,32.4326,3.6709,3.28866,52.7601,12.7697,4.73091,0.922415
15,COL2A1,124.822,0.0,20.653,0.0222491,0.0828534,0.522,5.51192,0.0929615,0.0,28.685,0.0
16,COL5A1,145.37,58.7164,112.066,87.0433,51.0628,137.917,105.517,179.379,52.95,104.083,45.4507
17,COL5A2,202.313,38.1792,133.695,50.7685,69.0274,174.571,45.6436,246.265,24.6562,180.779,72.8625
18,CRAT,3.09639,14.2827,5.60908,6.3588,1.55397,4.87752,3.73345,4.45403,10.0312,21.3933,0.434016
19,CROT,17.2031,12.7956,9.7,18.901,7.78673,18.6583,34.0231,9.49973,11.6213,25.7858,4.08553
20,CXCL10,2.29941,7.52891,25.2886,63.1842,24.672,30.3093,12.7818,24.6676,3.6803,27.7287,27.689
21,CXCL11,0.642556,1.41623,0.0,18.5376,3.95012,15.3951,1.42336,2.20598,0.0,11.7097,5.85182
22,CXCL13,0.0413495,0.0,0.0,16.208,5.80509,14.291,12.3406,7.55091,0.0,47.9078,5.80727
23,CYP4F8,0.0480191,0.0,0.464837,0.467581,0.0274281,0.0991234,0.0,0.0,0.0,0.0,0.149097
24,DBI,412.371,21.4471,121.927,52.3533,138.503,64.7748,19.3784,185.61,19.5872,140.302,155.366
25,DEFB1,3.16262,0.0,0.0,7.87098,15.2837,0.544689,1.33079,3.46823,0.0,0.0,5.24034
26,DHCR24,38.1374,3.58161,7.18474,18.332,24.5306,53.6317,65.7614,21.093,14.4419,10.8436,2.58974
27,DUSP5,2.66143,6.59482,0.0,7.34486,3.18212,8.27994,3.47578,5.77455,11.1119,12.0054,1.8477
28,FABP7,2.25652,0.0,6.4989,5.74169,7.26591,0.668057,0.0,4.77493,0.428058,3.49154,0.259635
29,FASN,124.609,77.9135,4.28607,107.343,8.13864,147.439,97.7484,33.5896,23.8917,84.7906,3.60214
30,FGFR4,2.32432,0.0,0.156723,0.622948,0.174625,7.51737,3.56694,2.3529,1.08178,0.23882,0.0657728
31,FGL2,2.48121,9.62687,4.59367,3.84026,3.37968,8.57437,3.09946,3.95632,3.54424,8.12581,6.20109
32,FOXA1,1.38574,0.181899,0.0,0.725695,1.46699,4.29772,23.318,0.279061,90.0389,0.90897,0.938145
33,FOXC1,9.10755,1.64669,31.2379,17.2027,33.4799,131.829,52.0178,28.9814,15.4442,22.5072,33.2057
34,GABRP,8.66089,269.497,14.2934,275.553,664.593,277.334,191.482,193.312,123.86,866.449,590.01
35,GALNT7,12.4003,5.79069,5.89062,14.8314,16.4421,26.1286,29.3886,6.88271,17.0883,6.7878,14.3397
36,GBP1,41.394,90.1077,175.529,94.1626,155.758,185.822,82.2882,178.531,50.1795,235.575,62.836
37,GCHFR,0.422531,0.0,0.0,0.55353,0.377754,0.795989,1.22014,0.153757,0.0,0.115251,0.0
38,GPR87,0.951488,0.0,2.2259,4.25574,2.13819,0.403662,3.38113,0.514935,1.69062,0.255178,31.4702
39,GZMB,1.4986,1.12176,0.0918933,5.9785,2.63024,8.73698,2.81597,1.30313,0.0,1.47182,2.90159
40,HGD,4.21735,7.50475,2.93827,1.28299,0.707048,0.826148,6.37271,0.539208,0.460552,1.58196,0.233995
41,HTRA1,91.2943,49.397,51.2061,22.5779,34.512,151.223,27.5882,72.8846,47.1622,69.6612,73.8052
42,IDO1,0.291424,29.3957,1.02489,27.5373,4.83116,13.8538,8.7964,6.29501,0.0,5.92848,1.69027
43,IGFBP4,13.3498,45.4229,13.2206,12.5501,1.16592,18.2695,18.099,6.21226,70.1925,3.77543,0.923907
44,IGHM,55.219,152.941,5.04659,707.6,17.8612,0.0,0.0,25.1123,86.3239,2048.59,11.8723
45,IGJ,20.0186,159.86,0.109246,104.183,87.5275,136.656,47.9516,71.54,279.787,667.293,167.984
46,IGKC,182.346,2589.9,29.2,2567.62,1785.49,4362.61,4727.08,887.219,1148.8,12117.4,654.382
47,IL23A,0.0490073,0.0,0.0,0.175638,0.22579,0.164242,1.13321,0.0,0.0,0.0,0.0
48,IL33,0.883329,20.4372,0.120374,4.0518,3.8106,1.91067,0.951573,0.679134,13.1878,0.0,3.43029
49,INPP4B,37.1722,31.2191,2.65465,10.305,7.69379,9.8588,14.2795,14.2863,50.4525,16.7371,11.0164
50,ITM2A,5.13433,37.63,6.71579,5.21597,2.52249,21.2797,3.90784,3.2629,22.506,42.6476,13.8727
51,JAM2,11.2143,11.1531,8.22005,2.42791,2.1981,12.335,8.03298,6.0877,36.0985,0.342646,9.94855
52,KCNK5,7.32046,1.67404,0.970977,1.77677,1.87473,2.75802,0.466118,3.35824,1.64673,1.87699,0.383991
53,KIAA1324,6.46799,11.4137,48.6457,1.1698,5.59984,20.5598,9.57451,9.0147,18.2397,10.5216,7.69644
54,KMO,1.44589,8.75989,10.4129,11.3322,6.06652,5.00099,16.8733,1.48064,3.68648,21.1807,0.66819
55,KRT14,118.371,11.6942,12.2244,568.828,4.91264,30.3446,6.90933,129.012,394.19,12.127,7.60157
56,KRT16,91.0343,48.806,8.0908,340.182,126.281,61.873,51.7403,121.75,67.3251,186.521,29.1762
57,KRT17,105.347,91.1917,0.144039,101.24,447.583,101.258,111.463,731.945,1029.97,58.2138,16.9229
58,KRT6A,54.2242,334.97,15.0652,1898.76,215.078,124.455,98.3427,165.653,42.1492,86.6856,1.96056
59,KRT6B,86.6584,105.533,7.64591,818.47,228.079,43.6084,39.5837,213.366,58.21,18.7345,4.66101
60,KYNU,14.7879,2.09661,1.53855,52.8919,17.0448,11.4566,13.9844,5.51139,4.37963,8.65265,6.33676
61,LBP,0.573258,0.496314,0.938862,0.483336,3.33742,0.122071,0.0,0.599718,0.630284,0.0563157,0.152207
62,LHFP,2.0952,1.68337,1.08578,0.958182,0.78988,1.63633,0.971894,2.68666,6.12128,0.295337,0.938242
63,MFAP4,1.60954,4.52207,3.12375,5.13046,3.68584,17.9225,0.646041,2.07128,30.8398,2.89731,2.46772
64,MIA,21.0747,2.9892,10.0155,10.8721,16.5155,11.4061,2.24355,31.8349,10.3012,9.04942,0.679179
65,MID1,36.2366,20.1044,37.5389,28.4416,35.9257,30.2846,19.3349,18.5919,13.2023,40.5075,20.1731
66,MYBL1,4.60362,29.0565,21.0121,24.7996,8.01273,4.08454,3.20131,11.4295,1.04872,41.9956,35.6761
